key,中文名,英文名,boss.max,boss.min,boss.showdown,boss_colour,debuff.h_size_ge,debuff.is_face,debuff.suit,debuff_text,defeated,demo,dollars,mult,name,order,pos.x,pos.y,vars
bl_arm,手臂,The Arm,10,2,,0.40784313725490196|0.396078431372549|0.9529411764705882|1.0,,,,,False,True,5,2,The Arm,8,0,11,
bl_big,大盲注,Big Blind,,,,,,,,,False,False,4,1.5,Big Blind,2,0,1,
bl_club,梅花,The Club,10,1,,0.7254901960784313|0.796078431372549|0.5725490196078431|1.0,,,Clubs,,False,False,5,2,The Club,9,0,4,
bl_eye,眼睛,The Eye,10,3,,0.29411764705882354|0.44313725490196076|0.8941176470588236|1.0,,,,,False,True,5,2,The Eye,16,0,17,
bl_final_acorn,琥珀之实,Amber Acorn,10,10,True,0.9921568627450981|0.6352941176470588|0.0|1.0,,,,,False,True,8,2,Amber Acorn,26,0,27,
bl_final_bell,蔚蓝之铃,Cerulean Bell,10,10,True,0.0|0.611764705882353|0.9921568627450981|1.0,,,,,False,False,8,2,Cerulean Bell,30,0,26,
bl_final_heart,绯红之心,Crimson Heart,10,10,True,0.6745098039215687|0.19607843137254902|0.19607843137254902|1.0,,,,,False,True,8,2,Crimson Heart,29,0,25,
bl_final_leaf,翠绿之叶,Verdant Leaf,10,10,True,0.33725490196078434|0.6549019607843137|0.5254901960784314|1.0,,,,,False,True,8,2,Verdant Leaf,27,0,28,
bl_final_vessel,靛紫之杯,Violet Vessel,10,10,True,0.5411764705882353|0.44313725490196076|0.8823529411764706|1.0,,,,,False,True,8,6,Violet Vessel,28,0,29,
bl_fish,鱼,The Fish,10,2,,0.24313725490196078|0.5215686274509804|0.7411764705882353|1.0,,,,,False,False,5,2,The Fish,10,0,5,
bl_flint,燧石,The Flint,10,2,,0.8980392156862745|0.41568627450980394|0.1843137254901961|1.0,,,,,False,True,5,2,The Flint,24,0,24,
bl_goad,挑衅,The Goad,10,1,,0.7254901960784313|0.3607843137254902|0.5882352941176471|1.0,,,Spades,,False,True,5,2,The Goad,12,0,13,
bl_head,头部,The Head,10,1,,0.6745098039215687|0.615686274509804|0.7058823529411765|1.0,,,Hearts,,False,True,5,2,The Head,22,0,21,
bl_hook,钩子,The Hook,10,1,,0.6588235294117647|0.25098039215686274|0.1411764705882353|1.0,,,,,False,False,5,2,The Hook,3,0,7,
bl_house,房屋,The House,10,2,,0.3176470588235294|0.5254901960784314|0.6588235294117647|1.0,,,,,False,False,5,2,The House,5,0,3,
bl_manacle,镣铐,The Manacle,10,1,,0.3411764705882353|0.3411764705882353|0.3411764705882353|1.0,,,,,False,False,5,2,The Manacle,15,0,8,
bl_mark,标记,The Mark,10,2,,0.41568627450980394|0.2196078431372549|0.2784313725490196|1.0,,,,,False,False,5,2,The Mark,25,0,23,
bl_mouth,嘴巴,The Mouth,10,2,,0.6823529411764706|0.44313725490196076|0.5568627450980392|1.0,,,,,False,False,5,2,The Mouth,17,0,18,
bl_needle,针,The Needle,10,2,,0.3607843137254902|0.43137254901960786|0.19215686274509805|1.0,,,,,False,True,5,1,The Needle,21,0,20,
bl_ox,公牛,The Ox,10,6,,0.7254901960784313|0.3568627450980392|0.03137254901960784|1.0,,,,,False,False,5,2,The Ox,4,0,2,localize:ph_most_played
bl_pillar,支柱,The Pillar,10,1,,0.49411764705882355|0.403921568627451|0.3215686274509804|1.0,,,,,False,True,5,2,The Pillar,20,0,16,
bl_plant,植物,The Plant,10,4,,0.4392156862745098|0.5725490196078431|0.5176470588235295|1.0,,face,,,False,True,5,2,The Plant,18,0,19,
bl_psychic,灵媒,The Psychic,10,1,,0.9372549019607843|0.7529411764705882|0.23529411764705882|1.0,5,,,,False,True,5,2,The Psychic,11,0,12,
bl_serpent,巨蟒,The Serpent,10,5,,0.2627450980392157|0.6039215686274509|0.30980392156862746|1.0,,,,,False,True,5,2,The Serpent,19,0,15,
bl_small,小盲注,Small Blind,,,,,,,,,False,False,3,1,Small Blind,1,0,0,
bl_tooth,牙齿,The Tooth,10,3,,0.7098039215686275|0.17647058823529413|0.17647058823529413|1.0,,,,,False,False,5,2,The Tooth,23,0,22,
bl_wall,围墙,The Wall,10,2,,0.5411764705882353|0.34901960784313724|0.6470588235294118|1.0,,,,,False,False,5,4,The Wall,6,0,9,
bl_water,水,The Water,10,2,,0.7764705882352941|0.8784313725490196|0.9215686274509803|1.0,,,,,False,True,5,2,The Water,13,0,14,
bl_wheel,车轮,The Wheel,10,2,,0.3137254901960784|0.7490196078431373|0.48627450980392156|1.0,,,,,False,True,5,2,The Wheel,7,0,10,
bl_window,窗口,The Window,10,1,,0.6627450980392157|0.6352941176470588|0.5843137254901961|1.0,,,Diamonds,,False,True,5,2,The Window,14,0,6,
