key,中文名,英文名,atlas,available,blueprint_compat,config.Xmult,config.ante_scaling,config.bonus,config.choose,config.consumable_slot,config.consumables,config.d_size,config.discards,config.dollars,config.extra,config.extra.Xmult,config.extra.chip_mod,config.extra.chips,config.extra.d_remaining,config.extra.destroy,config.extra.discard_sub,config.extra.discards,config.extra.dollars,config.extra.every,config.extra.faces,config.extra.h_mod,config.extra.h_plays,config.extra.h_size,config.extra.hand_add,config.extra.increase,config.extra.max,config.extra.min,config.extra.mult,config.extra.odds,config.extra.poker_hand,config.extra.remaining,config.extra.s_mult,config.extra.size,config.extra.suit,config.extra.xmult,config.extra_discard_bonus,config.extra_disp,config.extra_hand_bonus,config.h_dollars,config.h_size,config.h_x_mult,config.hand_size,config.hand_type,config.hands,config.joker_slot,config.max_highlighted,config.min_highlighted,config.mod_conv,config.mult,config.no_interest,config.p_dollars,config.planets,config.randomize_rank_suit,config.remove_card,config.remove_faces,config.softlock,config.spectral_rate,config.suit_conv,config.t_chips,config.t_mult,config.tarots,config.type,config.voucher,config.vouchers,consumeable,cost,cost_mult,demo,discovered,effect,enhancement_gate,eternal_compat,freq,hidden,kind,label,line,max,name,no_pool_flag,omit,order,perishable_compat,pos.x,pos.y,rarity,requires,set,soul_pos.x,soul_pos.y,stake,start_alerted,start_discovered,start_locked,unlock_condition.amount,unlock_condition.ante,unlock_condition.chips,unlock_condition.deck,unlock_condition.extra,unlock_condition.extra.count,unlock_condition.extra.e_key,unlock_condition.extra.enhancement,unlock_condition.extra.polychrome,unlock_condition.extra.suit,unlock_condition.extra.tally,unlock_condition.hidden,unlock_condition.n_rounds,unlock_condition.planet_count,unlock_condition.stake,unlock_condition.tarot_count,unlock_condition.type,unlocked,weight,yes_pool_flag
b_abandoned,废弃牌组,Abandoned Deck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,,,Abandoned Deck,,,9,,3,3,,,Back,,,1,,,True,,,,b_green,,,,,,,,,,,,,win_deck,False,,
b_anaglyph,浮雕牌组,Anaglyph Deck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,Anaglyph Deck,,,13,,2,4,,,Back,,,1,,,True,,,,,,,,,,,,,,,4,,win_stake,False,,
b_black,黑色牌组,Black Deck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,Black Deck,,,5,,3,2,,,Back,,,1,,,True,100,,,,,,,,,,,,,,,,discover_amount,False,,
b_blue,蓝色牌组,Blue Deck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,Blue Deck,,,2,,0,2,,,Back,,,1,,,True,20,,,,,,,,,,,,,,,,discover_amount,False,,
b_challenge,挑战牌组,Challenge Deck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,Challenge Deck,,True,16,,0,4,,,Back,,,1,,,,,,,,,,,,,,,,,,,,,True,,
b_checkered,方格牌组,Checkered Deck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,Checkered Deck,,,10,,1,3,,,Back,,,1,,,True,,,,b_black,,,,,,,,,,,,,win_deck,False,,
b_erratic,古怪牌组,Erratic Deck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,True,,,,,,,,,,,Erratic Deck,,,15,,2,3,,,Back,,,1,,,True,,,,,,,,,,,,,,,7,,win_stake,False,,
b_ghost,幽灵牌组,Ghost Deck,,,,,,,,,c_hex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,True,,,,,,,,,,,Ghost Deck,,,8,,6,2,,,Back,,,1,,,True,,,,b_yellow,,,,,,,,,,,,,win_deck,False,,
b_green,绿色牌组,Green Deck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,Green Deck,,,4,,2,2,,,Back,,,1,,,True,75,,,,,,,,,,,,,,,,discover_amount,False,,
b_magic,魔法牌组,Magic Deck,,,,,,,,,c_fool|c_fool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v_crystal_ball,,,,,False,,,,,,,,,,,Magic Deck,,,6,,0,3,,,Back,,,1,,,True,,,,b_red,,,,,,,,,,,,,win_deck,False,,
b_nebula,星云牌组,Nebula Deck,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v_telescope,,,,,True,,,,,,,,,,,Nebula Deck,,,7,,3,0,,,Back,,,1,,,True,,,,b_blue,,,,,,,,,,,,,win_deck,False,,
b_painted,彩绘牌组,Painted Deck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,-1,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,Painted Deck,,,12,,4,3,,,Back,,,1,,,True,,,,,,,,,,,,,,,3,,win_stake,False,,
