机制,源,目标,说明
A 反协同,DNA,侵蚀,"⚠ DNA 往牌组加牌,侵蚀靠牌少吃饭"
A 反协同,全息影像,侵蚀,⚠ 同上
A 反协同,六六大顺,卡文迪什,⚠ 自毁几率 1/1000 -> 1/500
A 反协同,六六大顺,大麦克香蕉,⚠ 自毁几率 1/6 -> 1/3
A 反协同,吸血鬼,招财猫,"⚠ 同上,幸运牌被吃掉就不再触发"
A 反协同,吸血鬼,玻璃小丑,"⚠ 同上,吸血鬼会把玻璃牌的强化吃掉"
A 反协同,吸血鬼,钢铁小丑,"⚠ 吸血鬼每吃一张强化牌就移除其强化,钢铁小丑吃的正是钢铁牌存量"
A 反协同,吸血鬼,驾驶执照,"⚠ 驾驶执照要牌组里 ≥16 张强化牌,吸血鬼在反向拆"
A 反协同,模具小丑,(任何满槽构筑),"⚠ 模具小丑按空槽算 X 倍率,装满小丑等于把它废掉"
A 反协同,模糊小丑,花盆,"⚠ 花盆要四种花色各一张,模糊小丑把四色并成两色"
C 复制(通用),头脑风暴,一家人,"头脑风暴 复制 一家人,X 倍率直接进 Π 项再乘一次"
C 复制(通用),头脑风暴,三重奏,"头脑风暴 复制 三重奏,X 倍率直接进 Π 项再乘一次"
C 复制(通用),头脑风暴,上路吧杰克,"头脑风暴 复制 上路吧杰克,X 倍率直接进 Π 项再乘一次"
C 复制(通用),头脑风暴,二重奏,"头脑风暴 复制 二重奏,X 倍率直接进 Π 项再乘一次"
C 复制(通用),头脑风暴,偶像,"头脑风暴 复制 偶像,X 倍率直接进 Π 项再乘一次"
C 复制(通用),头脑风暴,全息影像,"头脑风暴 复制 全息影像,X 倍率直接进 Π 项再乘一次"
C 复制(通用),头脑风暴,卡尼奥,"头脑风暴 复制 卡尼奥,X 倍率直接进 Π 项再乘一次"
C 复制(通用),头脑风暴,卡文迪什,"头脑风暴 复制 卡文迪什,X 倍率直接进 Π 项再乘一次"
C 复制(通用),头脑风暴,古老小丑,"头脑风暴 复制 古老小丑,X 倍率直接进 Π 项再乘一次"
C 复制(通用),头脑风暴,吸血鬼,"头脑风暴 复制 吸血鬼,X 倍率直接进 Π 项再乘一次"
C 复制(通用),头脑风暴,回溯,"头脑风暴 复制 回溯,X 倍率直接进 Π 项再乘一次"
C 复制(通用),头脑风暴,拉面,"头脑风暴 复制 拉面,X 倍率直接进 Π 项再乘一次"
C 复制(通用),头脑风暴,招财猫,"头脑风暴 复制 招财猫,X 倍率直接进 Π 项再乘一次"
C 复制(通用),头脑风暴,方尖石塔,"头脑风暴 复制 方尖石塔,X 倍率直接进 Π 项再乘一次"
C 复制(通用),头脑风暴,星座,"头脑风暴 复制 星座,X 倍率直接进 Π 项再乘一次"
C 复制(通用),头脑风暴,杂技演员,"头脑风暴 复制 杂技演员,X 倍率直接进 Π 项再乘一次"
C 复制(通用),头脑风暴,棒球卡,"头脑风暴 复制 棒球卡,X 倍率直接进 Π 项再乘一次"
C 复制(通用),头脑风暴,模具小丑,"头脑风暴 复制 模具小丑,X 倍率直接进 Π 项再乘一次"
C 复制(通用),头脑风暴,照片,"头脑风暴 复制 照片,X 倍率直接进 Π 项再乘一次"
C 复制(通用),头脑风暴,特里布莱,"头脑风暴 复制 特里布莱,X 倍率直接进 Π 项再乘一次"
C 复制(通用),头脑风暴,玻璃小丑,"头脑风暴 复制 玻璃小丑,X 倍率直接进 Π 项再乘一次"
C 复制(通用),头脑风暴,男爵,"头脑风暴 复制 男爵,X 倍率直接进 Π 项再乘一次"
C 复制(通用),头脑风暴,疯狂,"头脑风暴 复制 疯狂,X 倍率直接进 Π 项再乘一次"
C 复制(通用),头脑风暴,秩序,"头脑风暴 复制 秩序,X 倍率直接进 Π 项再乘一次"
C 复制(通用),头脑风暴,积分卡,"头脑风暴 复制 积分卡,X 倍率直接进 Π 项再乘一次"
C 复制(通用),头脑风暴,篝火,"头脑风暴 复制 篝火,X 倍率直接进 Π 项再乘一次"
C 复制(通用),头脑风暴,约里克,"头脑风暴 复制 约里克,X 倍率直接进 Π 项再乘一次"
C 复制(通用),头脑风暴,老千小丑,"头脑风暴 复制 老千小丑,X 倍率直接进 Π 项再乘一次"
C 复制(通用),头脑风暴,花盆,"头脑风暴 复制 花盆,X 倍率直接进 Π 项再乘一次"
C 复制(通用),头脑风暴,血石,"头脑风暴 复制 血石,X 倍率直接进 Π 项再乘一次"
C 复制(通用),头脑风暴,部落,"头脑风暴 复制 部落,X 倍率直接进 Π 项再乘一次"
C 复制(通用),头脑风暴,重影,"头脑风暴 复制 重影,X 倍率直接进 Π 项再乘一次"
C 复制(通用),头脑风暴,钢铁小丑,"头脑风暴 复制 钢铁小丑,X 倍率直接进 Π 项再乘一次"
C 复制(通用),头脑风暴,驾驶执照,"头脑风暴 复制 驾驶执照,X 倍率直接进 Π 项再乘一次"
C 复制(通用),头脑风暴,黑板,"头脑风暴 复制 黑板,X 倍率直接进 Π 项再乘一次"
C 复制(通用),帕奇欧,一家人,"帕奇欧 复制 一家人,X 倍率直接进 Π 项再乘一次"
C 复制(通用),帕奇欧,三重奏,"帕奇欧 复制 三重奏,X 倍率直接进 Π 项再乘一次"
C 复制(通用),帕奇欧,上路吧杰克,"帕奇欧 复制 上路吧杰克,X 倍率直接进 Π 项再乘一次"
C 复制(通用),帕奇欧,二重奏,"帕奇欧 复制 二重奏,X 倍率直接进 Π 项再乘一次"
C 复制(通用),帕奇欧,偶像,"帕奇欧 复制 偶像,X 倍率直接进 Π 项再乘一次"
C 复制(通用),帕奇欧,全息影像,"帕奇欧 复制 全息影像,X 倍率直接进 Π 项再乘一次"
C 复制(通用),帕奇欧,卡尼奥,"帕奇欧 复制 卡尼奥,X 倍率直接进 Π 项再乘一次"
C 复制(通用),帕奇欧,卡文迪什,"帕奇欧 复制 卡文迪什,X 倍率直接进 Π 项再乘一次"
C 复制(通用),帕奇欧,古老小丑,"帕奇欧 复制 古老小丑,X 倍率直接进 Π 项再乘一次"
C 复制(通用),帕奇欧,吸血鬼,"帕奇欧 复制 吸血鬼,X 倍率直接进 Π 项再乘一次"
C 复制(通用),帕奇欧,回溯,"帕奇欧 复制 回溯,X 倍率直接进 Π 项再乘一次"
