key,中文名,稀有度,售价,流派,流派标签,计分轴,产出资源,消耗资源,中文描述
j_joker,小丑,1-普通,2,牌型流,hand,轴B 倍率(加法),,,+4倍率
j_greedy_joker,贪婪小丑,1-普通,5,花色流/逐张计分,suit/percard,轴B 倍率(加法),,,打出的 Diamonds花色牌 在计分时给予+3倍率
j_lusty_joker,色欲小丑,1-普通,5,花色流/逐张计分,suit/percard,轴B 倍率(加法),,,打出的 Hearts花色牌 在计分时给予+3倍率
j_wrathful_joker,愤怒小丑,1-普通,5,花色流/逐张计分,suit/percard,轴B 倍率(加法),,,打出的 Spades花色牌 在计分时给予+3倍率
j_gluttenous_joker,暴食小丑,1-普通,5,花色流/逐张计分,suit/percard,轴B 倍率(加法),,,打出的 Clubs花色牌 在计分时给予+3倍率
j_jolly,开心小丑,1-普通,3,牌型流,hand,轴B 倍率(加法),,,如果打出的牌中 包含Pair +8倍率
j_zany,古怪小丑,1-普通,4,牌型流,hand,轴B 倍率(加法),,,如果打出的牌中 包含Three of a Kind +12倍率
j_mad,疯狂小丑,1-普通,4,牌型流,hand,轴B 倍率(加法),,,如果打出的牌中 包含Two Pair +10倍率
j_crazy,狂野小丑,1-普通,4,牌型流,hand,轴B 倍率(加法),,,如果打出的牌中 包含Straight +12倍率
j_droll,滑稽小丑,1-普通,4,牌型流,hand,轴B 倍率(加法),,,如果打出的牌中 包含Flush +10倍率
j_sly,奸诈小丑,1-普通,3,牌型流,hand,轴A 筹码(加法),,,如果打出的牌中 包含Pair +50筹码
j_wily,狡猾小丑,1-普通,4,牌型流,hand,轴A 筹码(加法),,,如果打出的牌中 包含Three of a Kind +100筹码
j_clever,聪敏小丑,1-普通,4,牌型流,hand,轴A 筹码(加法),,,如果打出的牌中 包含Two Pair +80筹码
j_devious,阴险小丑,1-普通,4,牌型流,hand,轴A 筹码(加法),,,如果打出的牌中 包含Straight +100筹码
j_crafty,精明小丑,1-普通,4,牌型流,hand,轴A 筹码(加法),,,如果打出的牌中 包含Flush +80筹码
j_half,半张小丑,1-普通,5,牌型流,hand,轴B 倍率(加法),,,如果打出的牌 少于等于3张 +20倍率
j_stencil,模具小丑,2-罕见,8,槽位规则,slot,轴C X倍率(乘法),,,每个空的小丑牌槽位 获得 X1倍率 模具小丑算作空位 （当前为 X1 ）
j_four_fingers,四指,2-罕见,7,使能器,enabler,功能/规则,,,所有同花和 顺子都可以 由4张牌组成
j_mime,哑剧演员,2-罕见,5,重复触发源/手牌保留流,retrigger/held,功能/规则,,手牌保留效果,重新触发所有 留在手牌中的 牌的能力
j_credit_card,信用卡,1-普通,1,经济流,econ,经济,,,可以负债 最多-$20
j_ceremonial,仪式匕首,2-罕见,6,自增成长型,selfgrow,轴B 倍率(加法),,,在选择盲注时 摧毁右侧的小丑牌 并将其售价的两倍 永久添加至这张牌的倍率 （当前为+0倍）
j_banner,旗帜,1-普通,5,弃牌流,discard,轴A 筹码(加法),,,每一个剩余的 弃牌次数 +30筹码
j_mystic_summit,神秘之峰,1-普通,5,弃牌流,discard,轴B 倍率(加法),,,当剩余0次 弃牌次数 +15倍率
j_marble,大理石小丑,2-罕见,6,强化牌流/牌组体积流,enh/decksize,功能/规则,石头牌,,选择盲注后 牌组中会添加 一张石头牌
j_loyalty_card,积分卡,2-罕见,5,自增成长型,selfgrow,轴C X倍率(乘法),,,每第6次出牌时 给予 X4 倍率 （type = 'variable）
j_8_ball,八号球,1-普通,5,点数流/消耗品流,rank/consum,功能/规则,塔罗牌,,打出的每一张8 有1/4几率在计分时 生成一张塔罗牌 （必须有空位）
j_misprint,印错小丑,1-普通,4,槽位规则,slot,功能/规则,,,
j_dusk,黄昏,2-罕见,5,重复触发源,retrigger,功能/规则,,,每回合的 最后一次出牌时 所有打出的牌会被触发两次
j_raised_fist,致胜之拳,1-普通,5,手牌保留流,held,轴B 倍率(加法),,,将留在手牌中点数最小牌 点数的两倍 加到倍率上
j_chaos,混沌小丑,1-普通,4,经济流,econ,经济,,,每次商店 1次免费重掷
j_fibonacci,斐波那契,2-罕见,8,点数流/逐张计分,rank/percard,轴B 倍率(加法),,,打出的每一张 A、2、3、5、8 在计分时给予+8倍率
j_steel_joker,钢铁小丑,2-罕见,7,强化牌流,enh,轴C X倍率(乘法),,钢铁牌,完整牌组内每有一张 钢铁牌 给予 X0.2 倍率 （当前为X1倍率）
j_scary_face,恐怖面孔,1-普通,4,人头牌流/逐张计分,face/percard,轴A 筹码(加法),,,打出的人头牌 在计分时 给予+30筹码
j_abstract,抽象小丑,1-普通,4,槽位规则,slot,功能/规则,,,每有一张小丑牌 +3倍率 （当前为+(G.jokers and G.jokers.cards and #G.jokers.cards or 0)*3倍率）
j_delayed_grat,延迟满足,1-普通,4,弃牌流/经济流,discard/econ,经济,,,如果在回合结束时 没有使用弃牌，则每把弃牌 获得$2
j_hack,烂脱口秀演员,2-罕见,6,重复触发源/点数流,retrigger/rank,功能/规则,,,重新触发 所有打出的 2、3、4和5
j_pareidolia,幻视,2-罕见,5,使能器,enabler,功能/规则,,,所有卡牌 均视为 人头牌
j_gros_michel,大麦克香蕉,1-普通,5,自增成长型,selfgrow,轴B 倍率(加法),,,+15倍率 回合结束时 有1/6的几率 摧毁此牌
j_even_steven,偶数史蒂文,1-普通,4,点数流/逐张计分,rank/percard,轴B 倍率(加法),,,打出的点数为 偶数的牌 在计分时给予+4倍率 （10、8、6、4、2）
j_odd_todd,奇数托德,1-普通,4,点数流/逐张计分,rank/percard,轴A 筹码(加法),,,打出的点数为 奇数的牌 在计分时给予+31筹码 （A、9、7、5、3）
j_scholar,学者,1-普通,4,点数流/逐张计分,rank/percard,轴B 倍率(加法),,,打出的A牌 在计分时给予 +4倍率 和+20筹码
j_business,名片,1-普通,4,人头牌流/经济流,face/econ,经济,,,打出的人头牌在计分时 有1/2的几率 获得$2
j_supernova,超新星,1-普通,5,牌型流/自增成长型,hand/selfgrow,轴B 倍率(加法),,牌型等级,将牌型在本赛局内 被打出过的次数 添加至倍率
j_ride_the_bus,搭乘巴士,1-普通,6,人头牌流/自增成长型,face/selfgrow,轴B 倍率(加法),,,连续打出没有 计分人头牌的牌时 这张小丑牌获得+1倍率 失败将会重置倍率 （当前为+0倍率）
j_space,太空小丑,2-罕见,5,牌型流/消耗品流,hand/consum,功能/规则,牌型等级,,有1/4的 几率升级 打出的牌型等级
j_egg,鸡蛋,1-普通,4,经济流,econ,经济,,,在回合结束时 本卡的出售价值 增加$3
j_burglar,窃贼,2-罕见,6,弃牌流,discard,功能/规则,,,选择盲注后 出牌次数+3，并 失去所有弃牌次数
j_blackboard,黑板,2-罕见,6,花色流/手牌保留流,suit/held,轴C X倍率(乘法),,手牌保留效果,如果留在手牌中的 所有牌都是Spades或Clubs 则 X3 倍率
j_runner,跑步选手,1-普通,5,牌型流/自增成长型,hand/selfgrow,轴A 筹码(加法),,,如果打出的牌中包含 顺子 这张小丑获得+15筹码 （当前为+0筹码）
j_ice_cream,冰淇淋,1-普通,5,自增成长型,selfgrow,轴A 筹码(加法),,,+100筹码 每次出牌后 -5筹码
j_dna,DNA,3-稀有,8,牌组体积流,decksize,功能/规则,牌组张数,,如果回合的第一次出牌 只有1张牌，则将其 永久复制到牌组，并将 复制牌放到手牌中
j_splash,飞溅,1-普通,3,使能器,enabler,功能/规则,,,每张打出的牌 都可以计分
j_blue_joker,蓝色小丑,1-普通,5,牌组体积流,decksize,轴A 筹码(加法),,牌组张数,每张牌组内剩余 的卡牌，+2筹码 （当前为+104筹码）
j_sixth_sense,第六感,2-罕见,6,点数流/消耗品流,rank/consum,功能/规则,幽灵牌,,如果回合的第一次出牌 是一张单独的6 则将其销毁并生成一张幻灵牌 （必须有空位）
j_constellation,星座,2-罕见,6,消耗品流/自增成长型,consum/selfgrow,轴C X倍率(乘法),,星球牌,每使用一张星球牌 这张小丑牌获得X0.1倍率 （当前为X1倍率）
j_hiker,徒步者,2-罕见,5,逐张计分/自增成长型,percard/selfgrow,轴A 筹码(加法),,,打出的每一张牌 在计分时 会永久获得+5筹码
j_faceless,无面小丑,1-普通,4,人头牌流/弃牌流/经济流,face/discard/econ,经济,,,如果同时弃掉 3张或更多张 人头牌 获得$5
j_green_joker,绿色小丑,1-普通,4,自增成长型,selfgrow,轴B 倍率(加法),,,每次出牌，这张小丑牌+1倍率 每次弃牌，这张小丑牌-1倍率 （当前为+0倍）
j_superposition,叠加态,1-普通,4,点数流/牌型流/消耗品流,rank/hand/consum,功能/规则,塔罗牌,,如果打出的牌中包含 一张A和一个顺子 生成一张塔罗牌 （必须有空位）
j_todo_list,待办清单,1-普通,4,牌型流/经济流,hand/econ,经济,,,如果出牌牌型为<运行时:to_do_poker_hand> 获得$4 每回合结束时 牌型都会改变
j_cavendish,卡文迪什,1-普通,4,牌型流,hand,轴C X倍率(乘法),,,X3倍率 回合结束时 有1/1000的几率 摧毁此牌
j_card_sharp,老千小丑,2-罕见,6,牌型流,hand,轴C X倍率(乘法),,,如果打出的牌型已经 在本回合打出过 则X3倍率
j_red_card,红牌,1-普通,5,自增成长型,selfgrow,轴B 倍率(加法),,,当跳过任一补充包时 这张小丑牌获得+3倍率 （当前为+0倍率）
j_madness,疯狂,2-罕见,7,自增成长型,selfgrow,轴C X倍率(乘法),,,在小盲注或大盲注被选中时 这张小丑牌获得X0.5倍率 然后随机摧毁一张小丑牌 （当前为X1倍率）
j_square,方形小丑,1-普通,4,牌型流/自增成长型,hand/selfgrow,轴A 筹码(加法),,,如果打出的牌 正好是4张牌 这张小丑牌获得+4筹码 （当前为+0筹码）
j_seance,通灵,2-罕见,6,牌型流/消耗品流,hand/consum,轴B 倍率(加法),幽灵牌,,如果牌型为 Straight Flush，随机生成 一张幻灵牌 （必须有空位）
j_riff_raff,乌合之众,1-普通,6,槽位规则,slot,功能/规则,,,在选择盲注时 生成2张普通小丑牌 （必须有空间）
j_vampire,吸血鬼,2-罕见,7,强化牌流/自增成长型,enh/selfgrow,轴C X倍率(乘法),,强化牌,每打出一张计分的增强卡牌 这张小丑牌获得X0.1倍率 并移除卡牌的增强效果 （当前为X1倍率）
j_shortcut,捷径,2-罕见,7,使能器,enabler,功能/规则,,,让顺子可以 相隔1个点数组成 （例如：10 8 6 5 3）
j_hologram,全息影像,2-罕见,7,牌组体积流/自增成长型,decksize/selfgrow,轴C X倍率(乘法),牌组张数,,每添加一张卡牌 到你的牌组中， 这张小丑牌获得X0.25倍率 （当前为X1倍率）
j_vagabond,流浪者,3-稀有,8,经济流/消耗品流,econ/consum,经济,塔罗牌,,如果在出牌时 资金少于等于$4 则获得一张塔罗牌
j_baron,男爵,3-稀有,8,点数流/手牌保留流,rank/held,轴C X倍率(乘法),,手牌保留效果,留在手牌中的 每一张K 会给予 X1.5 倍率
j_cloud_9,9霄云外,2-罕见,7,点数流/经济流,rank/econ,经济,,,每个回合结束时 你完整牌组内的每张9 使你获得$1 (当前$0)
j_rocket,火箭,2-罕见,6,经济流,econ,经济,,,每个回合结束时你获得$1 击败Boss盲注 会使这一金额增加$2
j_obelisk,方尖石塔,3-稀有,8,牌型流/自增成长型,hand/selfgrow,轴C X倍率(乘法),,,连续打出不是你 最常用的牌型时 这张小丑牌获得X0.2倍率 失败将会重置倍率 （当前为X1倍率）
j_midas_mask,迈达斯面具,2-罕见,7,人头牌流/强化牌流,face/enh,功能/规则,黄金牌,,打出的所有人头牌 在计分时 变为黄金牌
j_luchador,摔跤手,2-罕见,5,使能器,enabler,功能/规则,,,售出这张小丑牌 会消除当前回合中 Boss盲注的限制条件
j_photograph,照片,1-普通,5,人头牌流,face,轴C X倍率(乘法),,,打出的第一张人头牌 在计分时 会给予 X2 倍率
j_gift,礼品卡,2-罕见,6,经济流,econ,经济,,,在每回合结束时 使拥有的每张小丑牌 和消耗牌 售价增加$1
j_turtle_bean,黑龟豆,2-罕见,6,手牌保留流,held,功能/规则,,,手牌上限+5 每回合结束时减1
j_erosion,侵蚀,2-罕见,6,牌组体积流,decksize,轴B 倍率(加法),,牌组张数(反向),"在你的牌组中 每比完整的G.GAME.starting_deck_size张牌少一张 就获得+4倍率 （当前为+math.max(0,4*(G.playing_cards and (G.GAME.starting_deck_size - 52) or 0))倍率）"
j_reserved_parking,私人车位,1-普通,6,人头牌流/手牌保留流/经济流,face/held/econ,经济,,,留在手牌中的 每一张人头牌 有1/2几率 给予$1
j_mail,邮件回扣,1-普通,4,点数流/弃牌流/经济流,rank/discard/econ,经济,,,每弃掉一张G.GAME.current_round.mail_card.rank 即可获得$5 每个回合点数都会变
