key,中文名,英文名,触发类型,触发时机,最低底注,依赖资产,中文描述,英文描述,数值参数,占位变量取值,loc_vars原式,order,图片
tag_uncommon,罕见标签,Uncommon Tag,store_joker_create,"进商店时,生成一张指定小丑",1,,商店会有一张免费的 罕见小丑牌,Shop has a free Uncommon Joker,type=store_joker_create,,,1,图片资源/Tag/tag_uncommon.png
tag_rare,稀有标签,Rare Tag,store_joker_create,"进商店时,生成一张指定小丑",1,j_blueprint,商店会有一张免费的 稀有小丑牌,Shop has a free Rare Joker,odds=3; type=store_joker_create,,,2,图片资源/Tag/tag_rare.png
tag_negative,负片标签,Negative Tag,store_joker_modify,"进商店时,给一张小丑加版本",2,e_negative,商店里的下一张 基础版本小丑牌 将会免费且变为负片,Next base edition shop Joker is free and becomes Negative,edition=negative; odds=5; type=store_joker_modify,,,3,图片资源/Tag/tag_negative.png
tag_foil,闪箔标签,Foil Tag,store_joker_modify,"进商店时,给一张小丑加版本",1,e_foil,商店里的下一张 基础版本小丑牌 将会免费且变为闪箔,Next base edition shop Joker is free and becomes Foil,edition=foil; odds=2; type=store_joker_modify,,,4,图片资源/Tag/tag_foil.png
tag_holo,镭射标签,Holographic Tag,store_joker_modify,"进商店时,给一张小丑加版本",1,e_holo,商店里的下一张 基础版本小丑牌 将会免费且变为镭射,Next base edition shop Joker is free and becomes Holographic,edition=holo; odds=3; type=store_joker_modify,,,5,图片资源/Tag/tag_holo.png
tag_polychrome,多彩标签,Polychrome Tag,store_joker_modify,"进商店时,给一张小丑加版本",1,e_polychrome,商店里的下一张 基础版本小丑牌 将会免费且变为多彩,Next base edition shop Joker is free and becomes Polychrome,edition=polychrome; odds=4; type=store_joker_modify,,,6,图片资源/Tag/tag_polychrome.png
tag_investment,投资标签,Investment Tag,eval,回合结算时判定,1,,击败 Boss盲注后 获得$25,"After defeating the Boss Blind, gain $25",dollars=25; type=eval,#1#=25,self.config.dollars,7,图片资源/Tag/tag_investment.png
tag_voucher,优惠券标签,Voucher Tag,voucher_add,商店里多出一张优惠券,1,,添加一张优惠券 到下一个商店,Adds one Voucher to the next shop,type=voucher_add,,,8,图片资源/Tag/tag_voucher.png
tag_boss,Boss标签,Boss Tag,new_blind_choice,"跳过盲注后,直接开一个补充包",1,,重掷 Boss盲注,Rerolls the Boss Blind,type=new_blind_choice,,,9,图片资源/Tag/tag_boss.png
tag_standard,标准标签,Standard Tag,new_blind_choice,"跳过盲注后,直接开一个补充包",2,,获得一个免费的 超级标准包,Gives a free Mega Standard Pack,type=new_blind_choice,,,10,图片资源/Tag/tag_standard.png
tag_charm,吊饰标签,Charm Tag,new_blind_choice,"跳过盲注后,直接开一个补充包",1,,获得一个免费的 超级秘术包,Gives a free Mega Arcana Pack,type=new_blind_choice,,,11,图片资源/Tag/tag_charm.png
tag_meteor,流星标签,Meteor Tag,new_blind_choice,"跳过盲注后,直接开一个补充包",2,,获得一个免费的 超级天体包,Gives a free Mega Celestial Pack,type=new_blind_choice,,,12,图片资源/Tag/tag_meteor.png
tag_buffoon,小丑标签,Buffoon Tag,new_blind_choice,"跳过盲注后,直接开一个补充包",2,,获得一个免费的 超级小丑包,Gives a free Mega Buffoon Pack,type=new_blind_choice,,,13,图片资源/Tag/tag_buffoon.png
tag_handy,顺手标签,Handy Tag,immediate,领取当场立即结算,2,,本赛局每打出过一次手牌 获得$1 （将得到$<运行时>）,Gives $1 per played hand this run (Will give $<运行时>),dollars_per_hand=1; type=immediate,#1#=1 | #2#=<运行时>,"self.config.dollars_per_hand, self.config.dollars_per_hand*(G.GAME.hands_played or 0)",14,图片资源/Tag/tag_handy.png
tag_garbage,垃圾标签,Garbage Tag,immediate,领取当场立即结算,2,,本赛局每一次 未使用的弃牌得到$1 （将得到$<运行时>）,Gives $1 per unused discard this run (Will give $<运行时>),dollars_per_discard=1; type=immediate,#1#=1 | #2#=<运行时>,"self.config.dollars_per_discard, self.config.dollars_per_discard*(G.GAME.unused_discards or 0)",15,图片资源/Tag/tag_garbage.png
tag_ethereal,空灵标签,Ethereal Tag,new_blind_choice,"跳过盲注后,直接开一个补充包",2,,获得一个免费的 幻灵包,Gives a free Spectral Pack,type=new_blind_choice,,,16,图片资源/Tag/tag_ethereal.png
tag_coupon,代金券标签,Coupon Tag,shop_final_pass,离开商店前触发,1,,下一家店内的 初始卡牌和补充包 均为免费,Initial cards and booster packs in next shop are free,type=shop_final_pass,,,17,图片资源/Tag/tag_coupon.png
