key,中文名,英文名,类型,分数倍率,通关奖励$,最低出场Ante,最高出场Ante,中文描述,英文描述,生效方式,debuff配置,debuff判据,生效方法,生效时机,vars原式,boss_colour,order,图片
bl_small,小盲注,Small Blind,小盲,1,3,,,,,无特殊效果,,,,,,,1,图片资源/Blind/bl_small.png
bl_big,大盲注,Big Blind,大盲,1.5,4,,,,,无特殊效果,,,,,,,2,图片资源/Blind/bl_big.png
bl_hook,钩子,The Hook,Boss,2,5,1,10,每次出牌 随机弃掉2张手牌,Discards 2 random cards per hand played,blind.lua 按名字,,,press_play,出牌瞬间,,"[0.6588235294117647, 0.25098039215686274, 0.1411764705882353, 1.0]",3,图片资源/Blind/bl_hook.png
bl_ox,公牛,The Ox,Boss,2,5,6,10,打出localize:ph_most_played牌型时 资金归$0,Playing a localize:ph_most_played sets money to $0,blind.lua 按名字,,,debuff_hand,判定整手牌是否被废,localize:ph_most_played,"[0.7254901960784313, 0.3568627450980392, 0.03137254901960784, 1.0]",4,图片资源/Blind/bl_ox.png
bl_house,房屋,The House,Boss,2,5,2,10,第一次的手牌 以背面朝上方式抽取,First hand is drawn face down,blind.lua 按名字,,,disable ; stay_flipped,被解除时 ; 发牌保持背面,,"[0.3176470588235294, 0.5254901960784314, 0.6588235294117647, 1.0]",5,图片资源/Blind/bl_house.png
bl_wall,围墙,The Wall,Boss,4,5,2,10,特大盲注,Extra large blind,blind.lua 按名字,,,disable,被解除时,,"[0.5411764705882353, 0.34901960784313724, 0.6470588235294118, 1.0]",6,图片资源/Blind/bl_wall.png
bl_wheel,车轮,The Wheel,Boss,2,5,2,10,/7几率，抽到的牌 会是背面朝上, in 7 cards get drawn face down,blind.lua 按名字,,,disable ; stay_flipped,被解除时 ; 发牌保持背面,,"[0.3137254901960784, 0.7490196078431373, 0.48627450980392156, 1.0]",7,图片资源/Blind/bl_wheel.png
bl_arm,手臂,The Arm,Boss,2,5,2,10,降低打出的 牌型等级,Decrease level of played poker hand,blind.lua 按名字,,,debuff_hand,判定整手牌是否被废,,"[0.40784313725490196, 0.396078431372549, 0.9529411764705882, 1.0]",8,图片资源/Blind/bl_arm.png
bl_club,梅花,The Club,Boss,2,5,1,10,所有梅花牌 都被削弱,All Club cards are debuffed,debuff 配置驱动,suit=Clubs,废除指定花色的牌,,,,"[0.7254901960784313, 0.796078431372549, 0.5725490196078431, 1.0]",9,图片资源/Blind/bl_club.png
bl_fish,鱼,The Fish,Boss,2,5,2,10,出牌后自动抽取的牌 都是背面朝上,Cards drawn face down after each hand played,blind.lua 按名字,,,set_blind ; disable ; press_play ; stay_flipped,选定盲注时 ; 被解除时 ; 出牌瞬间 ; 发牌保持背面,,"[0.24313725490196078, 0.5215686274509804, 0.7411764705882353, 1.0]",10,图片资源/Blind/bl_fish.png
bl_psychic,灵媒,The Psychic,Boss,2,5,1,10,必须出 5 张牌,Must play 5 cards,debuff 配置驱动,h_size_ge=5,出牌少于 N 张即整手作废,,,,"[0.9372549019607843, 0.7529411764705882, 0.23529411764705882, 1.0]",11,图片资源/Blind/bl_psychic.png
bl_goad,挑衅,The Goad,Boss,2,5,1,10,所有黑桃牌 都被削弱,All Spade cards are debuffed,debuff 配置驱动,suit=Spades,废除指定花色的牌,,,,"[0.7254901960784313, 0.3607843137254902, 0.5882352941176471, 1.0]",12,图片资源/Blind/bl_goad.png
bl_water,水,The Water,Boss,2,5,2,10,初始弃牌 次数为0,Start with 0 discards,blind.lua 按名字,,,set_blind ; disable,选定盲注时 ; 被解除时,,"[0.7764705882352941, 0.8784313725490196, 0.9215686274509803, 1.0]",13,图片资源/Blind/bl_water.png
bl_window,窗口,The Window,Boss,2,5,1,10,所有方片牌 都被削弱,All Diamond cards are debuffed,debuff 配置驱动,suit=Diamonds,废除指定花色的牌,,,,"[0.6627450980392157, 0.6352941176470588, 0.5843137254901961, 1.0]",14,图片资源/Blind/bl_window.png
bl_manacle,镣铐,The Manacle,Boss,2,5,1,10,手牌上限-1,-1 Hand Size,blind.lua 按名字,,,set_blind ; defeat ; disable,选定盲注时 ; 被击败时 ; 被解除时,,"[0.3411764705882353, 0.3411764705882353, 0.3411764705882353, 1.0]",15,图片资源/Blind/bl_manacle.png
bl_eye,眼睛,The Eye,Boss,2,5,3,10,本回合中不可 打出重复牌型,No repeat hand types this round,blind.lua 按名字,,,set_blind ; debuff_hand,选定盲注时 ; 判定整手牌是否被废,,"[0.29411764705882354, 0.44313725490196076, 0.8941176470588236, 1.0]",16,图片资源/Blind/bl_eye.png
bl_mouth,嘴巴,The Mouth,Boss,2,5,2,10,本回合只能打出 1种牌型,Play only 1 hand type this round,blind.lua 按名字,,,set_blind ; debuff_hand,选定盲注时 ; 判定整手牌是否被废,,"[0.6823529411764706, 0.44313725490196076, 0.5568627450980392, 1.0]",17,图片资源/Blind/bl_mouth.png
bl_plant,植物,The Plant,Boss,2,5,4,10,所有人头牌 都被削弱,All face cards are debuffed,debuff 配置驱动,is_face=face,废除人头牌,,,,"[0.4392156862745098, 0.5725490196078431, 0.5176470588235295, 1.0]",18,图片资源/Blind/bl_plant.png
bl_serpent,巨蟒,The Serpent,Boss,2,5,5,10,出牌或弃牌后 总是抽 3 张牌,"After Play or Discard, always draw 3 cards",blind.lua 按名字,,,disable,被解除时,,"[0.2627450980392157, 0.6039215686274509, 0.30980392156862746, 1.0]",19,图片资源/Blind/bl_serpent.png
bl_pillar,支柱,The Pillar,Boss,2,5,1,10,在这一底注中 打出过的牌都被削弱,Cards played previously this Ante are debuffed,blind.lua 按名字,,,debuff_card,判定单张牌是否被废,,"[0.49411764705882355, 0.403921568627451, 0.3215686274509804, 1.0]",20,图片资源/Blind/bl_pillar.png
bl_needle,针,The Needle,Boss,1,5,2,10,本回合只能出一次牌,Play only 1 hand,blind.lua 按名字,,,set_blind ; disable,选定盲注时 ; 被解除时,,"[0.3607843137254902, 0.43137254901960786, 0.19215686274509805, 1.0]",21,图片资源/Blind/bl_needle.png
bl_head,头部,The Head,Boss,2,5,1,10,所有红桃牌 都被削弱,All Heart cards are debuffed,debuff 配置驱动,suit=Hearts,废除指定花色的牌,,,,"[0.6745098039215687, 0.615686274509804, 0.7058823529411765, 1.0]",22,图片资源/Blind/bl_head.png
bl_tooth,牙齿,The Tooth,Boss,2,5,3,10,每出一张牌 损失$1,Lose $1 per card played,blind.lua 按名字,,,press_play,出牌瞬间,,"[0.7098039215686275, 0.17647058823529413, 0.17647058823529413, 1.0]",23,图片资源/Blind/bl_tooth.png
bl_flint,燧石,The Flint,Boss,2,5,2,10,基础筹码和 倍率减半,Base Chips and Mult are halved,blind.lua 按名字,,,modify_hand,改本次出牌的筹码/倍率,,"[0.8980392156862745, 0.41568627450980394, 0.1843137254901961, 1.0]",24,图片资源/Blind/bl_flint.png
bl_mark,标记,The Mark,Boss,2,5,2,10,所有人头牌都是 以背面朝上的方式抽取,All face cards are drawn face down,blind.lua 按名字,,,disable ; stay_flipped,被解除时 ; 发牌保持背面,,"[0.41568627450980394, 0.2196078431372549, 0.2784313725490196, 1.0]",25,图片资源/Blind/bl_mark.png
bl_final_acorn,琥珀之实,Amber Acorn,终局Boss,2,8,10,10,翻转并洗乱 所有小丑牌,Flips and shuffles all Joker cards,blind.lua 按名字,,,set_blind,选定盲注时,,"[0.9921568627450981, 0.6352941176470588, 0.0, 1.0]",26,图片资源/Blind/bl_final_acorn.png
bl_final_leaf,翠绿之叶,Verdant Leaf,终局Boss,2,8,10,10,所有卡牌都被削弱 直到售出1张小丑牌,All cards debuffed until 1 Joker sold,blind.lua 按名字,,,debuff_card,判定单张牌是否被废,,"[0.33725490196078434, 0.6549019607843137, 0.5254901960784314, 1.0]",27,图片资源/Blind/bl_final_leaf.png
bl_final_vessel,靛紫之杯,Violet Vessel,终局Boss,6,8,10,10,超大盲注,Very large blind,blind.lua 按名字,,,disable,被解除时,,"[0.5411764705882353, 0.44313725490196076, 0.8823529411764706, 1.0]",28,图片资源/Blind/bl_final_vessel.png
bl_final_heart,绯红之心,Crimson Heart,终局Boss,2,8,10,10,每次出牌 使随机一张小丑牌失效,One random Joker disabled every hand,blind.lua 按名字,,,press_play ; drawn_to_hand ; debuff_card,出牌瞬间 ; 抽到手牌时 ; 判定单张牌是否被废,,"[0.6745098039215687, 0.19607843137254902, 0.19607843137254902, 1.0]",29,图片资源/Blind/bl_final_heart.png
bl_final_bell,蔚蓝之铃,Cerulean Bell,终局Boss,2,8,10,10,迫使 1 张牌 总是被选中,Forces 1 card to always be selected,blind.lua 按名字,,,disable ; drawn_to_hand,被解除时 ; 抽到手牌时,,"[0.0, 0.611764705882353, 0.9921568627450981, 1.0]",30,图片资源/Blind/bl_final_bell.png
