key,中文名,英文名,种类,kind,档位,售价,可选数,候选数,每张成本,出货权重,权重占比%,中文描述,英文描述,数值参数,描述键,order,图片
p_arcana_normal_1,秘术包,Arcana Pack,塔罗,Arcana,普通,4,1,3,4.0,1,4.46,从最多3张塔罗牌中 选择1张 即选即用,Choose 1 of up to 3 Tarot cards to be used immediately,choose=1; extra=3,p_arcana_normal,1,图片资源/Booster/p_arcana_normal_1.png
p_arcana_normal_2,秘术包,Arcana Pack,塔罗,Arcana,普通,4,1,3,4.0,1,4.46,从最多3张塔罗牌中 选择1张 即选即用,Choose 1 of up to 3 Tarot cards to be used immediately,choose=1; extra=3,p_arcana_normal,2,图片资源/Booster/p_arcana_normal_2.png
p_arcana_normal_3,秘术包,Arcana Pack,塔罗,Arcana,普通,4,1,3,4.0,1,4.46,从最多3张塔罗牌中 选择1张 即选即用,Choose 1 of up to 3 Tarot cards to be used immediately,choose=1; extra=3,p_arcana_normal,3,图片资源/Booster/p_arcana_normal_3.png
p_arcana_normal_4,秘术包,Arcana Pack,塔罗,Arcana,普通,4,1,3,4.0,1,4.46,从最多3张塔罗牌中 选择1张 即选即用,Choose 1 of up to 3 Tarot cards to be used immediately,choose=1; extra=3,p_arcana_normal,4,图片资源/Booster/p_arcana_normal_4.png
p_arcana_jumbo_1,巨型秘术包,Jumbo Arcana Pack,塔罗,Arcana,巨型,6,1,5,6.0,1,4.46,从最多5张塔罗牌中 选择1张 即选即用,Choose 1 of up to 5 Tarot cards to be used immediately,choose=1; extra=5,p_arcana_jumbo,5,图片资源/Booster/p_arcana_jumbo_1.png
p_arcana_jumbo_2,巨型秘术包,Jumbo Arcana Pack,塔罗,Arcana,巨型,6,1,5,6.0,1,4.46,从最多5张塔罗牌中 选择1张 即选即用,Choose 1 of up to 5 Tarot cards to be used immediately,choose=1; extra=5,p_arcana_jumbo,6,图片资源/Booster/p_arcana_jumbo_2.png
p_arcana_mega_1,超级秘术包,Mega Arcana Pack,塔罗,Arcana,超巨,8,2,5,4.0,0.25,1.12,从最多5张塔罗牌中 选择2张 即选即用,Choose 2 of up to 5 Tarot cards to be used immediately,choose=2; extra=5,p_arcana_mega,7,图片资源/Booster/p_arcana_mega_1.png
p_arcana_mega_2,超级秘术包,Mega Arcana Pack,塔罗,Arcana,超巨,8,2,5,4.0,0.25,1.12,从最多5张塔罗牌中 选择2张 即选即用,Choose 2 of up to 5 Tarot cards to be used immediately,choose=2; extra=5,p_arcana_mega,8,图片资源/Booster/p_arcana_mega_2.png
p_celestial_normal_1,天体包,Celestial Pack,星球,Celestial,普通,4,1,3,4.0,1,4.46,从最多3张星球牌中 选择1张 即选即用,Choose 1 of up to 3 Planet cards to be used immediately,choose=1; extra=3,p_celestial_normal,9,图片资源/Booster/p_celestial_normal_1.png
p_celestial_normal_2,天体包,Celestial Pack,星球,Celestial,普通,4,1,3,4.0,1,4.46,从最多3张星球牌中 选择1张 即选即用,Choose 1 of up to 3 Planet cards to be used immediately,choose=1; extra=3,p_celestial_normal,10,图片资源/Booster/p_celestial_normal_2.png
p_celestial_normal_3,天体包,Celestial Pack,星球,Celestial,普通,4,1,3,4.0,1,4.46,从最多3张星球牌中 选择1张 即选即用,Choose 1 of up to 3 Planet cards to be used immediately,choose=1; extra=3,p_celestial_normal,11,图片资源/Booster/p_celestial_normal_3.png
p_celestial_normal_4,天体包,Celestial Pack,星球,Celestial,普通,4,1,3,4.0,1,4.46,从最多3张星球牌中 选择1张 即选即用,Choose 1 of up to 3 Planet cards to be used immediately,choose=1; extra=3,p_celestial_normal,12,图片资源/Booster/p_celestial_normal_4.png
p_celestial_jumbo_1,巨型天体包,Jumbo Celestial Pack,星球,Celestial,巨型,6,1,5,6.0,1,4.46,从最多5张星球牌中 选择1张 即选即用,Choose 1 of up to 5 Planet cards to be used immediately,choose=1; extra=5,p_celestial_jumbo,13,图片资源/Booster/p_celestial_jumbo_1.png
p_celestial_jumbo_2,巨型天体包,Jumbo Celestial Pack,星球,Celestial,巨型,6,1,5,6.0,1,4.46,从最多5张星球牌中 选择1张 即选即用,Choose 1 of up to 5 Planet cards to be used immediately,choose=1; extra=5,p_celestial_jumbo,14,图片资源/Booster/p_celestial_jumbo_2.png
p_celestial_mega_1,超级天体包,Mega Celestial Pack,星球,Celestial,超巨,8,2,5,4.0,0.25,1.12,从最多5张星球牌中 选择2张 即选即用,Choose 2 of up to 5 Planet cards to be used immediately,choose=2; extra=5,p_celestial_mega,15,图片资源/Booster/p_celestial_mega_1.png
p_celestial_mega_2,超级天体包,Mega Celestial Pack,星球,Celestial,超巨,8,2,5,4.0,0.25,1.12,从最多5张星球牌中 选择2张 即选即用,Choose 2 of up to 5 Planet cards to be used immediately,choose=2; extra=5,p_celestial_mega,16,图片资源/Booster/p_celestial_mega_2.png
p_standard_normal_1,标准包,Standard Pack,扑克牌,Standard,普通,4,1,3,4.0,1,4.46,从最多3张游戏牌中 选择1张 添加到你的牌组,Choose 1 of up to 3 Playing cards to add to your deck,choose=1; extra=3,p_standard_normal,17,图片资源/Booster/p_standard_normal_1.png
p_standard_normal_2,标准包,Standard Pack,扑克牌,Standard,普通,4,1,3,4.0,1,4.46,从最多3张游戏牌中 选择1张 添加到你的牌组,Choose 1 of up to 3 Playing cards to add to your deck,choose=1; extra=3,p_standard_normal,18,图片资源/Booster/p_standard_normal_2.png
