bundle,prefab,骨架bundle,骨架
$28510_f_TravelPassTipsTrait,prefab/gpTravelPassLevelTip,$28510_f_TravelPassTipsTrait,dragon_bones/gp/result_gold_ske
$28510_f_TravelPassTipsTrait,prefab/TravelPassLevelTip,$28510_f_TravelPassTipsTrait,dragon_bones/result_gold_ske
$28510_f_TravelPassTipsTrait,prefab/gpTravelPassLevelTipNew,$28510_f_TravelPassTipsTrait,dragon_bones_new/GP/result_gold_ske
$28510_f_TravelPassTipsTrait,prefab/TravelPassLevelTipNew,$28510_f_TravelPassTipsTrait,dragon_bones_new/result_gold_ske
AdSubScribePopModelTrait,prefabs/adSubScribePopItem,AdSubScribePopModelTrait,dragonBones/gameplay_popup_kuang
AdSubScribePopModelTrait,prefabs/adSubScribePopSetPanel,AdSubScribePopModelTrait,dragonBones/gameplay_popup_xian
AddChapterUnlockProcessTrait,prefabs/settingUnlockAnim,AddChapterUnlockProcessTrait,dragonbones/gameplay_unlockSetting_ske
AddChapterUnlockProcessTrait,prefabs/chapterBtnUnlockAnim,AddChapterUnlockProcessTrait,dragonbones/main_unlockBtn_ske
BorderGemCollectSpreadTrait,prefabs/BorderGemCollectSpread,BorderGemCollectSpreadTrait,dragonbones/gameplay_gemsOut_ske
ChangeBlockSizeByProducerTrait,prefabs/ChapterChangeBlockSizeByProducerAnim,ChangeBlockSizeByProducerTrait,dragonbones/gameplay_gemBlock_ske
ChapterCollectPreClearEffectTrait,prefabs/ChapterCollectPreClearEffect,ChapterCollectPreClearEffectTrait,dragonbones/gameplay_eliminatePrompt_increment_ske
ChapterReplaySkipGoalTrait,prefabs/ChapterReplaySkipGoal,ChapterReplaySkipGoalTrait,spine/gameplay_shuaping
ChapterReplaySkipGoalTrait,prefabs/ChapterReplaySkipGoal,ChapterReplaySkipGoalTrait,spine/gameplay_shuaping2
ChapterScoreSettlementModifyAnimationTrait,prefabs/CheckAnimation,ChapterScoreSettlementModifyAnimationTrait,dragonbones/gameplay_clearanceDone_ske
ClassDailySignTrait,prefabs/ClassDailySign,ClassDailySignTrait,dragonbones/main_logo_checkin_ske
ClassGuideConfigEnhanceTrait,prefabs/guideInfo,ClassGuideConfigEnhanceTrait,spine/gameplay_guide_eff
ClassGuideDirectThreeBlockTrait,prefabs/effect,ClassGuideDirectThreeBlockTrait,spine/gameplay_biankuang_efc
ClearScreenSkinTransitionTrait,prefabs/ClearScreenSkinTransition,ClearScreenSkinTransitionTrait,dragonbones/gameplay_skinChange_model_ske
CollectedItemsEliminateAndReplaceTrait,prefabs/ChapterNodeDragonCollect,CollectedItemsEliminateAndReplaceTrait,dragonbones/collectinfo/gameplay_Collect_ske
ComboBorderEffectTrait,prefabs/borderEffect,ComboBorderEffectTrait,effects/gameplay_combo4_biankuang_ske
ComboButterflyBorderEffectTrait,prefabs/butterflyEff,ComboButterflyBorderEffectTrait,dragonbones/gameplay_combo_vfx_ske
CommonGameEntrance1SetupTrait,prefab/winStreakIcon,CommonGameEntrance1SetupTrait,spine/winningstreak_ske
EliminateEncourageRainbowLikesTrait,prefabs/RainbowLikes,EliminateEncourageRainbowLikesTrait,dragonbones/gameplay_encourage_model_upvot_ske
GameOverButtonShineEffectTrait,prefabs/saoguang,GameOverButtonShineEffectTrait,dragonbones/ava_saoguang_ske
HighScoreShowRainbowColorTrait,prefabs/ClassNodeHighScoreShowRainbowColorAnim,HighScoreShowRainbowColorTrait,dragonbones/encourage_newhighscore_ske
HighScoreShowRainbowColorTrait,prefabs/ClassNodeHighScoreShowRainbowColorAnim,HighScoreShowRainbowColorTrait,dragonbones/gameplay_combo_guangyun_ske
IsIncreaseEnjoyCollectionColorfulTrait,prefabs/chapterCollectionColorfulNode,IsIncreaseEnjoyCollectionColorfulTrait,effects/gameplay_7colorwaikuang_ske
IsOpenBlockRefreshFlashEffectTrait,prefabs/blockRefreshFlashEffect,IsOpenBlockRefreshFlashEffectTrait,dragonbones/gameplay_ck_01_ske
IsOpenClassMusicBlockTrait,prefabs/musicBlockEff,IsOpenClassMusicBlockTrait,dragonbones/gameplay_music_click_ske
IsOpenClassMusicBlockTrait,prefabs/musicBlockMusicTimeEff,IsOpenClassMusicBlockTrait,dragonbones/gameplay_musictime_ske
IsOpenEliminateSpecialEffectTrait,prefabs/eliminateSpecialEffect,IsOpenEliminateSpecialEffectTrait,dragonbones/gameplay_multiline_ske
IsOpenResultClickEffectTrait,prefabs/clickEffect,IsOpenResultClickEffectTrait,dragonbones/touchIcon_ske
IsShowAdPicReplaceOfGuideTrait,res/ShowAdPicReplaceOfGuide,IsShowAdPicReplaceOfGuideTrait,res/eff/gameplay_guide_arrow_ske
JewelGameUnlockEncourageTrait,prefabs/JewelGameUnlockEncourage,JewelGameUnlockEncourageTrait,spine/gameplay_ma
MoreStepGuideTrait,prefabs/MoreStepGuide,MoreStepGuideTrait,dragonbones/DJS_ske
OneStepClearGuideTrait,prefabs/guideEffect,OneStepClearGuideTrait,spine/gameplay_Guide_glow
PreEliminateGemBreathTrait,prefab/BreathSpine,PreEliminateGemBreathTrait,res/gameplay_xingxing_g
ReplaceGuideSchemeTrait,prefabs/ReplaceGuideScheme,ReplaceGuideSchemeTrait,spine/gameplay_xinshou
ReviveBlockGrayAnimTrait,prefabs/BlockGrayAnim,ReviveBlockGrayAnimTrait,dragonbones/gameplay_over_color_ske
ReviveUITimeEffectChangeTrait,prefabs/NodeReviveUITimeEffectChange,ReviveUITimeEffectChangeTrait,spines/revive_number
ShowLoginDaysTrait,prefabs/LaunchLoginDays,ShowLoginDaysTrait,dragonbones/main_days_ske
ShowSSSWhenSkinChangeTrait,prefabs/showSSSWhenSkinChange,ShowSSSWhenSkinChangeTrait,dragonbones/gameplay_pfxyd_ske
ShowSSSWhenSkinChangeTrait,prefabs/newArt/showSSSWhenSkinChangeFix,ShowSSSWhenSkinChangeTrait,dragonbones/newArt/gameplay_pfxyd_ske
ShowWelcomeEveryDayTrait,prefabs/effect,ShowWelcomeEveryDayTrait,spine/main_welcome_popUp
SkinSwitchTrait,prefabs/skinItemNoName,SkinSwitchTrait,dragonbones/NoName/set_entranceb_ske
SkinSwitchTrait,prefabs/skinItem,SkinSwitchTrait,dragonbones/set_entrance_ske
ThanksAfterAdTrait,prefabs/ThanksAfterAd1,ThanksAfterAdTrait,dragonbones/gameplayt_Thanks1_ske
ThanksAfterAdTrait,prefabs/ThanksAfterAd3,ThanksAfterAdTrait,dragonbones/gameplayt_Thanks3_ske
ThreeSkinRandomOneTrait,prefabs/ThreeSkinRandomOne,ThreeSkinRandomOneTrait,dragonbones/gameplay_choiceskin_ske
TravelMosaicProgressTrait,prefabs/mosaicProgress,TravelMosaicProgressTrait,spine/main_mosaic
TravelMosaicProgressTrait,prefabs/mosaicProgress,TravelMosaicProgressTrait,spine/main_mosaic_eff
UEExploreBeginnerDragTargetHighlightTrait,prefabs/highlight,UEExploreBeginnerDragTargetHighlightTrait,spine/gameplay_xinshou
UEExploreGuideCompleteLikeTrait,prefabs/effect,UEExploreGuideCompleteLikeTrait,spines/gameplay_jlc_WellDone
UEExplorePopViewGuideTrait,prefabs/popView,UEExplorePopViewGuideTrait,spine/gameplay_tanchuan
WinStreakEffectAdjustTrait,res/prefabs/WinStreakAdjustView,WinStreakEffectAdjustTrait,res/effects/gameplay_adventure_handoff_ske
WinStreakEffectAdjustTrait,res/prefabs/WinStreakBreakView,WinStreakEffectAdjustTrait,res/effects/gameplay_revival_incrown_ske
WinStreakEffectAdjustTrait,res/prefabs/WinStreakBreakView,WinStreakEffectAdjustTrait,res/effects/gameplay_revival_rain_ske
chapter,prefabs/blocksProducer/traits/GrayEffect,chapter,dragonbones/blocksProducer/traits/gameplay_grayBlock_eliminate_ske
chapter,prefabs/chapterList/ChapterThroughCupBone,chapter,dragonbones/chapterList/mapcup_ske
chapter,prefabs/chapterList/ChapterCurSeat,chapter,dragonbones/chapterList/zuobiao_ske
chapter,prefabs/collectItem/ChapterCollectTopItem,chapter,dragonbones/chapterTopInfo/XCSJ_ske
chapter,prefabs/collectItem/ChapterCollectEffectItem,chapter,dragonbones/chapterTopInfo/XC_ske
chapter,prefabs/collectItem/ChapterCollectTopItem,chapter,dragonbones/chapterTopInfo/duigou_ske
chapter,prefabs/fail/ChapterTipsFail,chapter,dragonbones/fail/IsOpenLevelOverTipsChangeTrait/bsovy_ske
chapter,prefabs/fail/ChapterCollectFail,chapter,dragonbones/fail/bsovy_ske
chapter,prefabs/fail/ChapterScoreFail,chapter,dragonbones/fail/bsovy_ske
chapter,prefabs/fail/trait/reduceTravelSettlement/ChapterReduceCollectFail,chapter,dragonbones/fail/bsovy_ske
chapter,prefabs/fail/trait/reduceTravelSettlement/ChapterReduceScoreFail,chapter,dragonbones/fail/bsovy_ske
chapter,prefabs/fail/ChapterScoreFail,chapter,dragonbones/fail/trait/reduceTravelSettlement/result_word_soclose_ske
chapter,prefabs/fail/trait/reduceTravelSettlement/ChapterReduceCollectFail,chapter,dragonbones/fail/trait/reduceTravelSettlement/result_word_soclose_ske
chapter,prefabs/fail/trait/reduceTravelSettlement/ChapterReduceScoreFail,chapter,dragonbones/fail/trait/reduceTravelSettlement/result_word_soclose_ske
chapter,prefabs/repeatPreview/repeatPreviewPrefab,chapter,dragonbones/repeatPreview/FangDaJing_ske
chapter,prefabs/wellDone/ChapterWellDone,chapter,dragonbones/wellDone/XCfive_ske
chapter,prefabs/wellDone/ChapterWellDone,chapter,dragonbones/wellDone/jindutiao_ske
chapter,prefabs/collectItem/ChapterCollectEndItem,chapter,dragonbones/win/JSBS_ske
chapter,prefabs/win/ChapterCollectWin,chapter,dragonbones/win/JSBSo_ske
chapter,prefabs/win/ChapterScoreWin,chapter,dragonbones/win/JSBSo_ske
chapter,prefabs/win/trait/reduceTravelSettlement/ChapterReduceCollectWin,chapter,dragonbones/win/JSBSo_ske
