boardId,boardData,producerBlocks,blocksColors,guideTargetCell,move,spineTargetPositions
1,"[[-1, -1, -1, 2, 2, 2, -1, -1], [-1, -1, 2, 2, 2, 2, 2, -1], [-1, -1, 2, 7, 2, 7, 2, -1], [-1, 2, 2, 2, 4, 2, 2, 2], [-1, 2, 2, 2, 2, 2, 2, 2], [-1, -1, 2, 2, 2, 2, 2, -1], [-1, -1, -1, 4, -1, 4, -1, -1], [6, 6, 6, -1, -1, -1, 6, 6]]","[24, 10, 32]","[7, 2, 4]","{""row"": 7, ""col"": 4}","[{""x"": 0, ""y"": -553.75}, {""x"": 0, ""y"": -245.75}]","[[7, 3], [7, 4], [7, 5]]"
12,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, 4, 6, 1, 2, -1], [-1, -1, -1, 3, -1, -1, 3, -1], [-1, -1, -1, 2, -1, -1, 4, -1], [-1, -1, -1, 1, 5, 6, 7, -1], [-1, -1, -1, -1, -1, -1, -1, -1]]","[13, 9, 13]","[7, 4, 2]",,,
14,"[[-1, 4, -1, -1, -1, -1, 4, -1], [-1, -1, 4, -1, -1, 4, -1, -1], [4, 4, 4, -1, -1, 4, 4, 4], [4, -1, -1, -1, -1, -1, -1, 4], [-1, -1, 6, -1, -1, 6, -1, -1], [4, -1, -1, -1, -1, -1, -1, 4], [4, 4, 4, -1, -1, 4, 4, 4], [-1, -1, -1, -1, -1, -1, -1, -1]]","[18, 14, 9]","[7, 2, 1]",,,
19,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, 5, -1, 5, -1], [6, 6, 6, 6, 6, 6, 6, -1], [-1, -1, -1, 6, 6, 6, 6, 6], [-1, 6, 6, 6, 6, 6, 6, -1]]","[34, 30, 11]","[2, 3, 1]",,,
20,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [2, 7, 4, -1, -1, 2, 4, 2], [3, -1, -1, -1, -1, -1, -1, 1], [-1, -1, 6, -1, -1, 5, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1]]","[14, 18, 9]","[4, 4, 2]",,,
23,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [4, 4, -1, 7, 7, -1, 3, -1], [4, -1, -1, 7, -1, -1, 3, -1], [4, 4, -1, 7, 7, -1, 3, 3]]","[25, 25, 12]","[5, 4, 5]",,,
24,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, 1, 7, 5, -1, -1, -1], [-1, -1, -1, -1, 7, -1, -1, -1], [-1, -1, -1, -1, 1, -1, -1, -1], [-1, -1, -1, -1, -1, 6, 2, 4], [-1, -1, -1, -1, -1, 2, -1, -1], [-1, -1, -1, -1, -1, 4, -1, -1]]","[9, 9, 13]","[7, 2, 2]",,,
44,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, 5, -1, -1, -1, -1, -1, -1], [5, 2, 5, -1, -1, -1, -1, -1], [-1, 5, -1, -1, 7, -1, -1, -1], [-1, -1, -1, 7, 2, 7, -1, -1], [-1, -1, -1, -1, 7, -1, -1, -1]]","[33, 19, 16]","[4, 2, 6]",,,
48,"[[-1, -1, -1, -1, -1, -1, -1, -1], [4, 4, -1, -1, -1, -1, 4, 4], [4, -1, 4, 4, 4, 4, -1, 4], [-1, 4, 4, 4, 4, 4, 4, -1], [-1, 4, 7, 4, 4, 7, 4, -1], [-1, 4, 2, 2, 2, 2, 4, -1], [-1, 4, 2, 1, 1, 2, 4, -1], [-1, -1, 4, 2, 2, 4, -1, -1]]","[38, 9, 37]","[3, 3, 7]",,,
101,"[[-1, 2, -1, -1, -1, -1, 2, -1], [-1, -1, 2, -1, -1, 2, -1, -1], [-1, 2, 2, 2, 2, 2, 2, -1], [2, -1, -1, -1, -1, -1, -1, 2], [2, -1, 7, -1, -1, 7, -1, 2], [2, -1, -1, -1, -1, -1, -1, 2], [2, -1, 2, 2, 2, 2, -1, 2], [-1, 2, 2, 2, 2, 2, 2, -1]]","[9, 20, 25]","[2, 4, 7]",,,
