_key,name,url,bundleName,page,modal,clickModalNotClose,mutex,platform
ClassGuide,ClassGuide,prefabs/guide/ClassGuide,class,,,,,
ClassGuideEffect,ClassGuideEffect,prefabs/guide/ClassGuideEffect,class,,,,,
ClassGuideWithoutComp,ClassGuideWithoutComp,prefabs/guide/ClassGuideWithoutComp,class,,,,,
ClassWin,ClassWin,prefabs/win/ClassWin,class,True,,,,
ClassFail,ClassFail,prefabs/fail/ClassFail,class,True,,,,
OverRevive,OverRevive,prefabs/overRevive/OverRevive,class,,True,True,@r.PrefabMutexType.GAME_OVER_REVIVE,
ClassTopInfo,ClassTopInfo,prefabs/topInfo/ClassTopInfo,class,,,,,
ScoreBlockEffect,ScoreBlockEffect,prefabs/board/traits/IsOpenSorceBlockTrait/ScoreBlockEffect,class,,,,,
ComboEffect,ComboEffect,prefabs/trait/comboEffectCtrl/ComboEffect,class,,,,,
ClearInitPanelEffect,ClearInitPanelEffect,prefabs/board/traits/ClearInitPanelEffectTrait/ClearInitPanelEffect,class,,,,,
ClearInitPanelEffectItem,ClearInitPanelEffect,prefabs/board/traits/ClearInitPanelEffectTrait/ClearInitPanelItem,class,,,,,
unbelievable,unbelievable,prefabs/unbelievable,Remote_comboEffNew,,,,,
RainbowScreenRefresh,RainbowScreenRefresh,prefabs/rainbow_screen_refresh,Remote_rainbowScreenRefresh,,,,,
ClassCombo_NewComboEffect,ClassCombo_NewComboEffect,prefabs/NewComboEffect,Remote_NewComboEffect,,,,,ios
ClassAddIosHelpClean,ClassAddIosHelpClean,prefabs/addIosHelpClean,Remote_21203,,,,,ios
FirstUserIdentitySelect,FirstUserIdentitySelect,prefabs/FirstUserIdentitySelect,FirstUserIdentitySelectTrait,,,,,
newUnbelievable,newUnbelievable,newprefabs/newunbelievable,Remote_comboEffNew,,,,,
