string,waterColor,waterTop
red_0,"[229, 50, 64, 255]","[252, 90, 102, 255]"
yellow_0,"[255, 225, 0, 255]","[255, 239, 121, 255]"
green_0,"[115, 231, 0, 255]","[161, 255, 68, 255]"
blue_1,"[43, 114, 255, 255]","[91, 146, 255, 255]"
pink_1,"[255, 98, 190, 255]","[255, 137, 215, 255]"
purple_0,"[134, 47, 255, 255]","[159, 89, 255, 255]"
pink_0,"[143, 0, 110, 255]","[175, 7, 136, 255]"
orange_0,"[255, 128, 0, 255]","[255, 156, 58, 255]"
green_1,"[0, 147, 12, 255]","[15, 181, 29, 255]"
blue_2,"[54, 36, 255, 255]","[83, 83, 255, 255]"
brown_1,"[255, 193, 161, 255]","[255, 221, 204, 255]"
green_2,"[30, 182, 126, 255]","[45, 212, 151, 255]"
blue_0,"[71, 212, 255, 255]","[130, 226, 255, 255]"
black_0,"[23, 18, 56, 255]","[46, 37, 102, 255]"
