string,waterColor,waterTop
red_0,"[196, 6, 2, 255]","[232, 31, 32, 255]"
yellow_0,"[252, 192, 6, 255]","[249, 209, 38, 255]"
green_0,"[112, 165, 2, 255]","[151, 200, 18, 255]"
blue_1,"[93, 100, 166, 255]","[126, 135, 208, 255]"
pink_1,"[254, 111, 215, 255]","[247, 131, 227, 255]"
purple_0,"[95, 30, 142, 255]","[153, 52, 229, 255]"
pink_0,"[143, 0, 110, 255]","[170, 3, 131, 255]"
orange_0,"[228, 89, 0, 255]","[244, 128, 21, 255]"
green_1,"[25, 117, 0, 255]","[31, 135, 2, 255]"
blue_2,"[22, 22, 191, 255]","[44, 71, 187, 255]"
brown_1,"[212, 159, 132, 255]","[212, 159, 132, 255]"
green_2,"[1, 206, 184, 255]","[10, 217, 195, 255]"
blue_0,"[1, 152, 216, 255]","[30, 178, 243, 255]"
black_0,"[5, 2, 14, 255]","[5, 2, 14, 255]"
