name,miniPath,blkPath,blkBundle
e_score_streak_1,blk/resources/audios/e_score_streak_1,audios/e_score_streak_1,resources
e_score_streak_2,blk/resources/audios/e_score_streak_2,audios/e_score_streak_2,resources
e_score_streak_3,blk/resources/audios/e_score_streak_3,audios/e_score_streak_3,resources
e_score_streak_4,blk/resources/audios/e_score_streak_4,audios/e_score_streak_4,resources
e_score_streak_5,blk/resources/audios/e_score_streak_5,audios/e_score_streak_5,resources
e_score_streak_6,blk/resources/audios/e_score_streak_6,audios/e_score_streak_6,resources
e_score_streak_7,blk/resources/audios/e_score_streak_7,audios/e_score_streak_7,resources
e_score_streak_8,blk/resources/audios/e_score_streak_8,audios/e_score_streak_8,resources
e_score_streak_9,blk/resources/audios/e_score_streak_9,audios/e_score_streak_9,resources
e_score_streak_10,blk/resources/audios/e_score_streak_10,audios/e_score_streak_10,resources
amazing,blk/resources/audios/Amazing2,audios/Amazing2,resources
good,blk/resources/audios/Good2,audios/Good2,resources
great,blk/resources/audios/Great2,audios/Great2,resources
excellent,blk/resources/audios/Excellect2,audios/Excellect2,resources
unbelievable,blk/resources/audios/Unbelievable2,audios/Unbelievable2,resources
s_button,blk/resources/audios/s_button,audios/s_button,resources
bgm,blk/resources/audios/bgm/commonBgm,audios/bgm/commonBgm,resources
sand_fail,blk/resources/audios/over/s_fail,audios/over/s_fail,resources
blk/class/dragonbones/combo/comb_ske,,dragonbones/combo/comb_ske,class
blk/class/dragonbones/combo/comb_tex,,dragonbones/combo/comb_tex,class
blk/class/fonts/combo/combo_fnt,,fonts/combo/combo_fnt,class
blk/resources/dragonbones/encourage/encourage_ske,,dragonbones/encourage/encourage_ske,resources
blk/resources/dragonbones/encourage/encourage_tex,,dragonbones/encourage/encourage_tex,resources
blk/class/textures/combo/combo_txt,,textures/combo/combo_txt,class
@n.MiniCommonResName.COMMON_BG_DOWN,blk/resources/textures/commentskin/common_bg_setting_down,textures/commentskin/common_bg_setting_down,resources
@n.MiniCommonResName.COMMON_BG_UP,blk/resources/textures/commentskin/common_bg_setting_up,textures/commentskin/common_bg_setting_up,resources
@n.MiniCommonResName.COMMON_BTN_CLOSE,blk/resources/textures/commentskin/common_btn_close,textures/commentskin/common_btn_close,resources
@n.MiniCommonResName.COMBO_TEXTURE,blk/class/textures/combo/combo_txt,textures/combo/combo_txt,class
@n.MiniSettingResName.BTN_BGM,blk/resources/textures/setup/setting_btn_BGM,textures/setup/setting_btn_BGM,resources
@n.MiniSettingResName.BTN_COMMON,blk/resources/textures/setup/setting_btn_common,textures/setup/setting_btn_common,resources
@n.MiniSettingResName.BTN_SOUND,blk/resources/textures/setup/setting_btn_sound,textures/setup/setting_btn_sound,resources
@n.MiniSettingResName.BTN_VIBRATION,blk/resources/textures/setup/setting_btn_vibration,textures/setup/setting_btn_vibration,resources
@n.MiniSettingResName.ICON_HOME,blk/resources/textures/setup/setting_icon_home,textures/setup/setting_icon_home,resources
@n.MiniSettingResName.ICON_MORE_SETTINGS,blk/resources/textures/setup/setting_icon_moreSettings,textures/setup/setting_icon_moreSettings,resources
@n.MiniSettingResName.ICON_REPLAY,blk/resources/textures/setup/setting_icon_replay,textures/setup/setting_icon_replay,resources
@n.MiniSettingResName.TXT_HOME,blk/resources/textures/setup/setting_txt_home,textures/setup/setting_txt_home,resources
@n.MiniSettingResName.TXT_MORE_SETTINGS,blk/resources/textures/setup/setting_txt_moreSettings,textures/setup/setting_txt_moreSettings,resources
@n.MiniSettingResName.TXT_REPLAY,blk/resources/textures/setup/setting_txt_replay,textures/setup/setting_txt_replay,resources
@n.MiniReviveResName.PROGRESS_BG,blk/resources/textures/revive/die_quan_bg,textures/revive/die_quan_bg,resources
@n.MiniReviveResName.PROGRESS_BAR,blk/resources/textures/revive/die_quan,textures/revive/die_quan,resources
@n.MiniReviveResName.DRAGONBONES_BTN_SKE,blk/resources/dragonbones/revive/btn/shipinbt_ske,dragonbones/revive/btn/shipinbt_ske,resources
@n.MiniReviveResName.DRAGONBONES_BTN_TEX,blk/resources/dragonbones/revive/btn/shipinbt_tex,dragonbones/revive/btn/shipinbt_tex,resources
@n.MiniReviveResName.DRAGONBONES_NUM_SKE,blk/resources/dragonbones/revive/num/fuhuoshuzi_ske,dragonbones/revive/num/fuhuoshuzi_ske,resources
@n.MiniReviveResName.DRAGONBONES_NUM_TEX,blk/resources/dragonbones/revive/num/fuhuoshuzi_tex,dragonbones/revive/num/fuhuoshuzi_tex,resources
@n.MiniMainResName.HIGH_SCORE_ICON,blk/class/textures/topInfo/backgroundscore_highest3,textures/topInfo/backgroundscore_highest3,class
@n.MiniMainResName.HIGH_SCORE_FONT,blk/resources/fonts/goal/typefacehigh,fonts/goal/typefacehigh,resources
@n.MiniMainResName.SCORE_FONT,blk/resources/fonts/skin/score/typefacecurrent,fonts/skin/score/typefacecurrent,resources
@n.MiniCommonResName.COMMON_NUM_FONT,blk/resources/fonts/commonFont/common_num_normal,fonts/commonFont/common_num_normal,resources
@n.MiniCommonResName.COMMON_NUM_SPECIAL_FONT,blk/resources/fonts/commonFont/common_num_special,fonts/commonFont/common_num_special,resources
@n.MiniMainResName.COMBO_SCORE_TIP_FONT,blk/resources/fonts/comboScoreTip/scoreTip1,fonts/comboScoreTip/scoreTip1,resources
@n.MiniOverResName.LOSE_TITLE,blk/resources/textures/gameOver/overview_name,textures/gameOver/overview_name,resources
@n.MiniOverResName.LOSE_CURR_SCORE_ICON,blk/resources/textures/gameOver/overview_score,textures/gameOver/overview_score,resources
@n.MiniOverResName.LOSE_BEST_SCORE_ICON,blk/class/textures/fail/overview_title_s,textures/fail/overview_title_s,class
@n.MiniOverResName.CURRENT_SCORE_FONT,blk/resources/fonts/gameOver/typefaceover1,fonts/gameOver/typefaceover1,resources
@n.MiniOverResName.LOSE_BEST_SCORE_FONT,blk/resources/fonts/goal/typefacehigh,fonts/goal/typefacehigh,resources
@n.MiniOverResName.LOSE_REPLAY_BTN,blk/class/textures/fail/overview_lose_btn,textures/fail/overview_lose_btn,class
@n.MiniOverResName.WIN_REPLAY_BTN,blk/class/textures/win/btn_winPlay,textures/win/btn_winPlay,class
@n.MiniOverResName.WIN_DRAGONBONES_SKE,blk/class/dragonbones/win/NewProject_ske,dragonbones/win/NewProject_ske,class
@n.MiniOverResName.WIN_DRAGONBONES_TEX,blk/class/dragonbones/win/NewProject_tex,dragonbones/win/NewProject_tex,class
@n.MiniStageResName.NEXT_LEVEL_BTN,blk/chapter/textures/win/btn_NextLevel,textures/win/btn_NextLevel,chapter
res/json/sandalgo,new/json/sandalgo,,
res/json/scorerate,new/json/scorerate,,
res/json/triggeralgo,new/json/triggeralgo,,
@n.MiniMainResName.SETTING,new/texture/backgroundstop,,
@n.MiniSettingResName.BTN_OFF,new/texture/setting_btn_off,,
@n.MiniSettingResName.BG_LINE,new/texture/setting_bg_line,,
@n.MiniSettingResName.TXT_TITLE,new/texture/setting_txt_title,,
@n.MiniMainResName.TUTORIAL_PREFAB,new/prefabs/MiniTutorialUI,,
@n.MiniSettingResName.SETTING_PREFAB,new/prefabs/Setting,,
@n.MiniReviveResName.REVIVE_PREFAB,new/prefabs/Revive,,
@n.MiniOverResName.OVER_LOSE_PREFAB,new/prefabs/GameOverLose,,
@n.MiniOverResName.OVER_WIN_PREFAB,new/prefabs/GameOverWin,,
@n.MiniMainResName.TOP_LAYER_PREFAB,new/prefabs/TopLayer,,
@n.MiniMainResName.COMBO_ADD_SCORE_PREFAB,new/prefabs/ComboAddScore,,
@n.MiniMainResName.COMBO_ADD_SCORE_TOTAL_PREFAB,new/prefabs/ComboAddScoreTotal,,
@n.MiniStageResName.STAGE_GOAL_PREFAB,new/prefabs/SandLevelUp,,
@n.MiniScoreTipResName.SCORE_TIP_PREFAB,new/prefabs/ScoreTip,,
