_key,width,height,shape
1,1,1,[1]
2,1,2,"[1, 1]"
3,2,1,[3]
4,1,3,"[1, 1, 1]"
5,3,1,[7]
6,2,2,"[3, 2]"
7,1,4,"[1, 1, 1, 1]"
8,3,2,"[4, 7]"
9,2,2,"[3, 3]"
10,3,2,"[2, 7]"
11,5,1,[31]
12,3,3,"[7, 1, 1]"
13,3,3,"[7, 7, 7]"
14,3,2,"[3, 6]"
15,2,2,"[3, 1]"
16,2,3,"[2, 3, 1]"
17,4,1,[15]
18,3,2,"[6, 3]"
19,2,3,"[1, 3, 2]"
20,2,3,"[2, 3, 2]"
21,3,3,"[7, 4, 4]"
22,1,5,"[1, 1, 1, 1, 1]"
23,3,3,"[4, 4, 7]"
24,3,3,"[1, 1, 7]"
25,2,3,"[1, 3, 1]"
26,3,2,"[7, 2]"
27,2,2,"[2, 3]"
28,2,2,"[1, 3]"
29,2,3,"[1, 1, 3]"
30,3,2,"[7, 1]"
31,2,3,"[3, 2, 2]"
32,2,3,"[3, 1, 1]"
33,3,2,"[1, 7]"
34,3,2,"[7, 4]"
35,3,2,"[7, 7]"
36,2,3,"[3, 3, 3]"
37,2,2,"[2, 1]"
38,2,2,"[1, 2]"
39,3,3,"[4, 2, 1]"
40,3,3,"[1, 2, 4]"
41,3,3,"[1, 2, 4]"
42,2,3,"[2, 2, 3]"
