_key,name,url,bundleName,page,modal,clickModalNotClose,mutex,platform
MainTraits,MainTraits,prefabs/MainTraits,mainTraits,,,,,
Modal,Modal,prefabs/modal/Modal,,,,,,
ClearScreenRelax,clearScreenRelax,prefabs/clearScreenRelax,Remote_9723_f_clearScreenRelax,,,,,
Alert,Alert,prefabs/alert/Alert,,,,,,
ClassMain,ClassMain,prefabs/main/ClassMain,class,True,,,,
ClassGame,ClassGame,prefabs/game/ClassGame,class,True,,,,
MergeBlocksMain,MergeBlocksMain,prefabs/main/MergeBlocksMain,mergeBlocks,True,,,,
MergeBlocksGame,MergeBlocksGame,prefabs/game/MergeBlocksGame,mergeBlocks,True,,,,
RoyalMatchStoryMain,RoyalMatchStoryMain,prefabs/main/RoyalMatchStoryMain,royalMatchStory,True,,,,
RoyalMatchStoryGame,RoyalMatchStoryGame,prefabs/game/RoyalMatchStoryGame,royalMatchStory,True,,,,
ChapterMain,ChapterMain,prefabs/main/ChapterMain,chapter,True,,,,
JewelMain,JewelMain,prefabs/main/JewelMain,jewel,True,,,,
ChapterList,ChapterList,prefabs/chapterList/ChapterList,chapter,True,,,,
ChapterContent,ChapterContent,prefabs/chapterList/ChapterContent,chapter,,,,,
ChapterItem,ChapterItem,prefabs/chapterList/ChapterItem,chapter,,,,,
ChapterLevelTxt,ChapterLevelTxt,prefabs/chapterList/ChapterLevelTxt,chapter,,,,,
ChapterTopLevelNum,ChapterTopLevelNum,prefabs/ChapterTopLevelNum,Remote_ShowOverMoreAggressively,,,,,
ToolMain,ToolMain,prefabs/main/ToolMain,tool,,,,,
Board,Board,prefabs/board/Board,,,,,,
Block,Block,prefabs/block/Block,,,,,,
BlockProducer,BlocksProducer,prefabs/blockProducer/BlockProducer,,,,,,
BlockProducerItem,BlockProducerItem,prefabs/blockProducer/BlockProducerItem,,,,,,
Launch,Launch,prefabs/launch/Launch,,,,,,
HomePage,HomePage,prefabs/homePage/homePage,,True,,,,
HomePageMoreGameLoading,HomePageMoreGameLoading,prefabs/homePage/homePageMoreGameLoading,,,,,,
HomePageType1,homePageType1,prefabs/type1/homePageType1,Remote_homePage,True,,,,
HomePageType2,homePageType2,prefabs/type2/homePageType2,Remote_homePage,True,,,,
HomePageType3,homePageType3,prefabs/type3/homePageType3,Remote_homePage,True,,,,
HomePageType4,homePageType4,prefabs/type4/homePageType4,Remote_homePage,True,,,,
HomePageType5,homePageType5,prefabs/type5/homePageType5,Remote_homePage,True,,,,
HomePageType6,homePageType6,prefabs/type6/homePageType6,Remote_homePage,True,,,,
HomePageType7,homePageType7,prefabs/type7/homePageType7,Remote_homePage,True,,,,
HomePageType8,homePageType8,prefabs/type8/homePageType8,Remote_homePage,True,,,,
