_key,assetPath,platform,bundleName,fontLayout
block_1_normal,res/game_cube_1_material_4004,gp,Remote_Skin_Material_4004,
block_2_normal,res/game_cube_2_material_4004,gp,Remote_Skin_Material_4004,
block_3_normal,res/game_cube_3_material_4004,gp,Remote_Skin_Material_4004,
block_4_normal,res/game_cube_4_material_4004,gp,Remote_Skin_Material_4004,
block_5_normal,res/game_cube_5_material_4004,gp,Remote_Skin_Material_4004,
block_6_normal,res/game_cube_6_material_4004,gp,Remote_Skin_Material_4004,
block_7_normal,res/game_cube_7_material_4004,gp,Remote_Skin_Material_4004,
block_put_spine_effect,effect/gameplay_light_startBlock_4004,gp,Remote_Skin_Material_4004,
block_shadow,res/game_cube_shadow_material_4004,gp,Remote_Skin_Material_4004,
board_bg,res/backgroundkuai-8x8_material_4004,gp,Remote_Skin_Material_4004,
combo_spine,effect/gameplay_combo_4004,gp,Remote_Skin_Material_4004,
combo_spine_font,font/gameplay_combo_fnt_material_4004,gp,Remote_Skin_Material_4004,"{""spacingX"": -24, ""fontSize"": 188, ""position"": {""x"": 56, ""y"": -50}, ""lineHeight"": 50}"
combo_spine_sprite,res/gameplay_combo_txt_material_4004,gp,Remote_Skin_Material_4004,
combotips_spine_effect,effect/gameplay_comboTips_4004,gp,Remote_Skin_Material_4004,
eliminate_effect,effect/gameplay_eliminate_4004,gp,Remote_Skin_Material_4004,
encourage_spine_effect,effect/gameplay_word_4004,gp,Remote_Skin_Material_4004,
game_bg,res/backgroundbg_material_4004,gp,Remote_Skin_Material_4004,
revive_round_bg,res/die_quan_bg_material_4004,gp,Remote_Skin_Material_4004,
revive_round_progress,res/die_quan_material_4004,gp,Remote_Skin_Material_4004,
revive_spine_countdown,effect/revive_countdown_4004,gp,Remote_Skin_Material_4004,
setting_btn,res/backgroundSet_material_4004,gp,Remote_Skin_Material_4004,
setting_close_btn,res/set_btn_close_material_4004,gp,Remote_Skin_Material_4004,
setting_in_bg,res/set_bg_material_4004,gp,Remote_Skin_Material_4004,
setting_line,res/set_bg_line_material_4004,gp,Remote_Skin_Material_4004,
setting_out_bg,res/set_bg_material_1_4004,gp,Remote_Skin_Material_4004,
setting_title,res/set_txt_Settings_material_4004,gp,Remote_Skin_Material_4004,
spine_comboscoretip_font,font/gameplay_JLWZ_fnt_material_4004,gp,Remote_Skin_Material_4004,"{""spacingX"": -26, ""fontSize"": 120, ""position"": {""x"": 0, ""y"": 0}, ""lineHeight"": 160}"
unbelievable_spine_effect,effect/gameplay_clear_unbelievable_4004,gp,Remote_Skin_Material_4004,
sound_clear,sound/embroidery_streak,gp,Remote_Skin_Material_4004,
