_key,assetPath,platform,bundleName,fontLayout,backgroundType,spriteLayout
board_bg,res/backgroundkuai-8x8_material_5005,gp,Remote_Skin_Material_5005,,,
chapter_board_bg,res/backgroundkuai-8x8_material_5005,gp,Remote_Skin_Material_5005,,,
chapter_collect_fail_play_btn,res/chapter/btn_Retry_material_5005,gp,Remote_Skin_Material_5005,,,
chapter_collect_win_effect_spine,effect/gamePlay_welldone_gem_5005,gp,Remote_Skin_Material_5005,,,
chapter_collect_win_play_btn_continue,res/chapter/btn_Continue_material_5005,gp,Remote_Skin_Material_5005,,,
chapter_collect_win_play_btn_hard,res/chapter/btn_nextHardLevel_purple_material_5005,gp,Remote_Skin_Material_5005,,,
chapter_collect_win_play_btn_next,res/chapter/btn_nextLevel_material_5005,gp,Remote_Skin_Material_5005,,,
chapter_combo_spine,effect/gameplay_combo_5005,gp,Remote_Skin_Material_5005,,,
chapter_combo_spine_font,font/gameplay_num_combo_material_5005,gp,Remote_Skin_Material_5005,"{""spacingX"": -30, ""fontSize"": 150, ""position"": {""x"": 0, ""y"": 0}, ""lineHeight"": 0}",,
chapter_combo_spine_sprite,res/common_game/gameplay_txt_combo_material_5005,gp,Remote_Skin_Material_5005,,,
chapter_encourage_spine_effect,effect/gameplay_word_5005,gp,Remote_Skin_Material_5005,,,
chapter_game_back_btn,res/btn_BackHome_material_5005,gp,Remote_Skin_Material_5005,,,
chapter_game_bg,mat/background_bg_5005,gp,Remote_Skin_Material_5005,,gradient,
chapter_goal_bg,res/chapter/bg_Target_material_5005,gp,Remote_Skin_Material_5005,,,
chapter_goal_collect_way_title,res/chapter/txt_TargetCollection_material_5005,gp,Remote_Skin_Material_5005,,,"{""position"": {""x"": 0, ""y"": 170}}"
chapter_goal_score_goal_score_bg,res/chapter/bg_TargetScore_material_5005,gp,Remote_Skin_Material_5005,,,
chapter_goal_score_goal_score_lb_font,font/num_target_material_5005,gp,Remote_Skin_Material_5005,"{""spacingX"": -10, ""fontSize"": 95, ""position"": {""x"": 0, ""y"": -10}}",,
chapter_goal_score_way_title,res/chapter/txt_Target_material_5005,gp,Remote_Skin_Material_5005,,,"{""position"": {""x"": 0, ""y"": 170}}"
chapter_score_fail_effect_spine,effect/gamePlay_soclose_5005,gp,Remote_Skin_Material_5005,,,"{""position"": {""x"": 0, ""y"": -150}}"
chapter_score_fail_mask,,gp,Remote_Skin_Material_5005,,,
chapter_score_fail_play_btn,res/chapter/btn_Retry_material_5005,gp,Remote_Skin_Material_5005,,,
chapter_score_fail_progress_bg,res/chapter/bg_ProgressL_material_5005,gp,Remote_Skin_Material_5005,,,"{""y"": 4}"
chapter_score_fail_progress_img,res/chapter/img_ProgressL_material_5005,gp,Remote_Skin_Material_5005,,,"{""contentSize"": {""width"": 534, ""height"": 54}}"
chapter_score_fail_score_bg,res/chapter/bg_Score_material_5005,gp,Remote_Skin_Material_5005,,,
chapter_score_win_play_btn_continue,res/chapter/btn_Continue_material_5005,gp,Remote_Skin_Material_5005,,,
chapter_score_win_play_btn_hard,res/chapter/btn_nextHardLevel_purple_material_5005,gp,Remote_Skin_Material_5005,,,
chapter_score_win_play_btn_next,res/chapter/btn_nextLevel_material_5005,gp,Remote_Skin_Material_5005,,,
chapter_score_win_spine_effect,effect/gamePlay_welldone_score_5005,gp,Remote_Skin_Material_5005,,,
chapter_score_win_welldone_score_font,font/num_target_material_5005,gp,Remote_Skin_Material_5005,"{""fontSize"": 50, ""spacingX"": -2, ""y"": -10}",,
chapter_setting_bottom_btn_bg,res/setup/setting_btn_common_material_5005,gp,Remote_Skin_Material_5005,,,"{""contentSize"": {""width"": 626, ""height"": 158}}"
chapter_setting_btn_SetAddDefultSkinBtn_bg,res/setup/setting_btn_defaultSkin_material_5005,gp,Remote_Skin_Material_5005,,,"{""contentSize"": {""width"": 626, ""height"": 158}}"
chapter_setting_btn_SetAddDefultSkinBtn_icon,res/setup/setting_icon_defaultSkin_material_5005,gp,Remote_Skin_Material_5005,,,"{""y"": 10}"
chapter_setting_btn_SetAddDefultSkinBtn_txt,res/setup/setting_txt_defaultSkin_material_5005,gp,Remote_Skin_Material_5005,,,"{""y"": 10}"
chapter_setting_btn_BGM,res/setup/setting_btn_BGM_material_5005,gp,Remote_Skin_Material_5005,,,
chapter_setting_btn_BGM_txt,res/setup/setting_txt_BGM_material_5005,gp,Remote_Skin_Material_5005,,,
chapter_setting_btn_home_icon,res/setup/setting_icon_home_material_5005,gp,Remote_Skin_Material_5005,,,"{""position"": {""x"": -208, ""y"": 8}}"
chapter_setting_btn_home_txt,res/setup/setting_txt_home_material_5005,gp,Remote_Skin_Material_5005,,,"{""position"": {""x"": -126.198, ""y"": 8}}"
chapter_setting_btn_moreGames_icon,res/setup/setting_icon_moreGames_material_5005,gp,Remote_Skin_Material_5005,,,"{""position"": {""x"": -208, ""y"": 6}}"
chapter_setting_btn_moreGames_txt,res/setup/setting_txt_moreGames_material_5005,gp,Remote_Skin_Material_5005,,,"{""position"": {""x"": -126.198, ""y"": 6}}"
chapter_setting_btn_moreSettings_icon,res/setup/setting_icon_moreSettings_material_5005,gp,Remote_Skin_Material_5005,,,"{""position"": {""x"": -208, ""y"": 6}}"
chapter_setting_btn_moreSettings_txt,res/setup/setting_txt_moreSettings_material_5005,gp,Remote_Skin_Material_5005,,,
chapter_setting_btn_replay_icon,res/setup/setting_icon_replay_material_5005,gp,Remote_Skin_Material_5005,,,"{""position"": {""x"": -208, ""y"": 8}}"
chapter_setting_btn_replay_txt,res/setup/setting_txt_replay_material_5005,gp,Remote_Skin_Material_5005,,,"{""position"": {""x"": -126.198, ""y"": 8}}"
chapter_setting_btn_sound,res/setup/setting_btn_sound_material_5005,gp,Remote_Skin_Material_5005,,,
chapter_setting_btn_sound_txt,res/setup/setting_txt_sound_material_5005,gp,Remote_Skin_Material_5005,,,
chapter_setting_btn_vibration,res/setup/setting_btn_vibration_material_5005,gp,Remote_Skin_Material_5005,,,
chapter_setting_btn_vibration_txt,res/setup/setting_txt_vibration_material_5005,gp,Remote_Skin_Material_5005,,,
chapter_setting_close_btn,res/setup/setting_btn_close_material_5005,gp,Remote_Skin_Material_5005,,,
chapter_setting_in_bg,res/setup/set_bg_2_material_5005,gp,Remote_Skin_Material_5005,,,
chapter_setting_line,res/setup/setting_bg_line_material_5005,gp,Remote_Skin_Material_5005,,,
chapter_setting_off_img_bg,res/setup/setting_btn_off_material_5005,gp,Remote_Skin_Material_5005,,,
