bundle,资产路径,类型,uuid,文件
$28510_f_TravelPassTipsTrait,dragon_bones/gp/result_gold_ske,dragonBones.DragonBonesAsset,0abb29b2-412b-45c6-9305-db648368d5f5,assets\$28510_f_TravelPassTipsTrait\import\0a\0abb29b2-412b-45c6-9305-db648368d5f5.14b68.json
$28510_f_TravelPassTipsTrait,dragon_bones/gp/result_gold_tex,cc.SpriteFrame,bd60bf51-49de-4f65-b9c9-44e69dc8e5ab,assets\$28510_f_TravelPassTipsTrait\import\bd\bd60bf51-49de-4f65-b9c9-44e69dc8e5ab.c76e1.json
$28510_f_TravelPassTipsTrait,dragon_bones/gp/result_gold_tex,cc.Texture2D,89fee6e2-7461-41b3-8f0b-ced36f94a19e,assets\$28510_f_TravelPassTipsTrait\import\89\89fee6e2-7461-41b3-8f0b-ced36f94a19e.7871f.json
$28510_f_TravelPassTipsTrait,dragon_bones/gp/result_gold_tex,dragonBones.DragonBonesAtlasAsset,dc3ac043-e451-4e02-a3d0-dd6bb0b14c21,assets\$28510_f_TravelPassTipsTrait\import\dc\dc3ac043-e451-4e02-a3d0-dd6bb0b14c21.1cd75.json
$28510_f_TravelPassTipsTrait,dragon_bones/result_gold_ske,dragonBones.DragonBonesAsset,151e1d4f-e7b2-4645-aa7e-44be83db5441,assets\$28510_f_TravelPassTipsTrait\import\15\151e1d4f-e7b2-4645-aa7e-44be83db5441.1bb61.json
$28510_f_TravelPassTipsTrait,dragon_bones/result_gold_tex,cc.SpriteFrame,c60694ef-f1f7-4ad0-9c96-78bff5e7c2f9,assets\$28510_f_TravelPassTipsTrait\import\c6\c60694ef-f1f7-4ad0-9c96-78bff5e7c2f9.2a06c.json
$28510_f_TravelPassTipsTrait,dragon_bones/result_gold_tex,cc.Texture2D,cbce4574-330f-43f3-afef-e1990d505a02,assets\$28510_f_TravelPassTipsTrait\import\cb\cbce4574-330f-43f3-afef-e1990d505a02.7871f.json
$28510_f_TravelPassTipsTrait,dragon_bones/result_gold_tex,dragonBones.DragonBonesAtlasAsset,de9f9f95-778a-4a3e-90d1-cf5cf796864f,assets\$28510_f_TravelPassTipsTrait\import\de\de9f9f95-778a-4a3e-90d1-cf5cf796864f.dd95d.json
$28510_f_TravelPassTipsTrait,dragon_bones_new/GP/result_gold_ske,dragonBones.DragonBonesAsset,a905be13-2545-4ee3-bfc6-04ae1ca7d534,assets\$28510_f_TravelPassTipsTrait\import\a9\a905be13-2545-4ee3-bfc6-04ae1ca7d534.2e3d8.json
$28510_f_TravelPassTipsTrait,dragon_bones_new/GP/result_gold_tex,cc.SpriteFrame,0451af5a-d332-4fe2-be35-064c7d2ada55,assets\$28510_f_TravelPassTipsTrait\import\04\0451af5a-d332-4fe2-be35-064c7d2ada55.1b623.json
$28510_f_TravelPassTipsTrait,dragon_bones_new/GP/result_gold_tex,cc.Texture2D,540f8841-0dd2-49f2-929a-af6288394918,assets\$28510_f_TravelPassTipsTrait\import\54\540f8841-0dd2-49f2-929a-af6288394918.7871f.json
$28510_f_TravelPassTipsTrait,dragon_bones_new/GP/result_gold_tex,dragonBones.DragonBonesAtlasAsset,e42a15c2-9b4a-4100-9e67-4a872cf2d2fe,assets\$28510_f_TravelPassTipsTrait\import\e4\e42a15c2-9b4a-4100-9e67-4a872cf2d2fe.21c6a.json
$28510_f_TravelPassTipsTrait,dragon_bones_new/result_gold_ske,dragonBones.DragonBonesAsset,743f2597-5221-430b-a0cb-bcaa724e26b7,assets\$28510_f_TravelPassTipsTrait\import\74\743f2597-5221-430b-a0cb-bcaa724e26b7.699f1.json
$28510_f_TravelPassTipsTrait,dragon_bones_new/result_gold_tex,cc.SpriteFrame,067da9fd-ec5b-42ff-b40a-19ff7ea00649,assets\$28510_f_TravelPassTipsTrait\import\06\067da9fd-ec5b-42ff-b40a-19ff7ea00649.ec8cb.json
$28510_f_TravelPassTipsTrait,dragon_bones_new/result_gold_tex,cc.Texture2D,68155a82-3156-492a-a274-55b63db99ecb,assets\$28510_f_TravelPassTipsTrait\import\68\68155a82-3156-492a-a274-55b63db99ecb.7871f.json
$28510_f_TravelPassTipsTrait,dragon_bones_new/result_gold_tex,dragonBones.DragonBonesAtlasAsset,28342c8a-6373-46f7-869d-1731bf741cc9,assets\$28510_f_TravelPassTipsTrait\import\28\28342c8a-6373-46f7-869d-1731bf741cc9.364e8.json
$28510_f_TravelPassTipsTrait,font/combo_fnt,cc.BitmapFont,78201225-3d55-4562-aa56-b407eb2a544c,assets\$28510_f_TravelPassTipsTrait\import\78\78201225-3d55-4562-aa56-b407eb2a544c.23206.json
$28510_f_TravelPassTipsTrait,font/combo_fnt,cc.SpriteFrame,550d0a20-58a0-4972-9fc0-62619cd64012,assets\$28510_f_TravelPassTipsTrait\import\55\550d0a20-58a0-4972-9fc0-62619cd64012.a3351.json
$28510_f_TravelPassTipsTrait,font/combo_fnt,cc.Texture2D,10bed1fd-f45c-4d15-8f83-0f965e322597,assets\$28510_f_TravelPassTipsTrait\import\10\10bed1fd-f45c-4d15-8f83-0f965e322597.7871f.json
$28510_f_TravelPassTipsTrait,prefab/TravelPassLevelTip,cc.Prefab,9bc6e129-158f-4e54-89d2-7a89dcaca7df,assets\$28510_f_TravelPassTipsTrait\import\9b\9bc6e129-158f-4e54-89d2-7a89dcaca7df.c1fb9.json
$28510_f_TravelPassTipsTrait,prefab/TravelPassLevelTipNew,cc.Prefab,ffa60ebf-762c-4f79-ae05-ab1ab846a28d,assets\$28510_f_TravelPassTipsTrait\import\ff\ffa60ebf-762c-4f79-ae05-ab1ab846a28d.8f428.json
$28510_f_TravelPassTipsTrait,prefab/gpTravelPassLevelTip,cc.Prefab,9aac6812-c4e7-49ff-9d4c-42ad113ae173,assets\$28510_f_TravelPassTipsTrait\import\9a\9aac6812-c4e7-49ff-9d4c-42ad113ae173.b874b.json
$28510_f_TravelPassTipsTrait,prefab/gpTravelPassLevelTipNew,cc.Prefab,cfb8ed13-e9af-4938-81fc-8a43834dfdbe,assets\$28510_f_TravelPassTipsTrait\import\cf\cfb8ed13-e9af-4938-81fc-8a43834dfdbe.9b990.json
$5784_f_HistoryBoardOfferBlockTrait,config/boardBlock,cc.JsonAsset,d4397a49-d604-44fb-9b84-05981ab25aff,assets\$5784_f_HistoryBoardOfferBlockTrait\import\d4\d4397a49-d604-44fb-9b84-05981ab25aff.3649c.json
AdSubScribePopModelTrait,dragonBones/gameplay_popup_kuang,cc.Asset,afbb1d73-43a8-418c-a096-eaeab73ae1ff,assets\AdSubScribePopModelTrait\import\af\afbb1d73-43a8-418c-a096-eaeab73ae1ff.c9146.json
AdSubScribePopModelTrait,dragonBones/gameplay_popup_kuang,cc.SpriteFrame,0beed7cb-f2bc-49b7-9cd1-fe5875a20152,assets\AdSubScribePopModelTrait\import\0b\0beed7cb-f2bc-49b7-9cd1-fe5875a20152.de754.json
AdSubScribePopModelTrait,dragonBones/gameplay_popup_kuang,cc.Texture2D,5f8b4ae7-3a66-4a0e-901d-d4823088e84a,assets\AdSubScribePopModelTrait\import\5f\5f8b4ae7-3a66-4a0e-901d-d4823088e84a.7871f.json
AdSubScribePopModelTrait,dragonBones/gameplay_popup_kuang,sp.SkeletonData,634a4004-7362-497e-a5d5-a1aed3511ec3,assets\AdSubScribePopModelTrait\import\63\634a4004-7362-497e-a5d5-a1aed3511ec3.8dace.json
AdSubScribePopModelTrait,dragonBones/gameplay_popup_xian,cc.Asset,2ca555db-5ec5-4318-a9e4-fec0f5e58e98,assets\AdSubScribePopModelTrait\import\2c\2ca555db-5ec5-4318-a9e4-fec0f5e58e98.836c0.json
AdSubScribePopModelTrait,dragonBones/gameplay_popup_xian,cc.SpriteFrame,841ebff2-22fb-472e-b6f3-294023cbfd97,assets\AdSubScribePopModelTrait\import\84\841ebff2-22fb-472e-b6f3-294023cbfd97.40910.json
AdSubScribePopModelTrait,dragonBones/gameplay_popup_xian,cc.Texture2D,c5295717-2b96-4de0-b7a7-3e9d0d80cd17,assets\AdSubScribePopModelTrait\import\c5\c5295717-2b96-4de0-b7a7-3e9d0d80cd17.7871f.json
AdSubScribePopModelTrait,dragonBones/gameplay_popup_xian,sp.SkeletonData,b56ddaac-23c3-4f53-a7f3-cd85d3c1ae95,assets\AdSubScribePopModelTrait\import\b5\b56ddaac-23c3-4f53-a7f3-cd85d3c1ae95.59713.json
AdSubScribePopModelTrait,prefabs/adSubScribePopItem,cc.Prefab,dfa79d7c-a345-49ac-b3f2-7d81888a7206,assets\AdSubScribePopModelTrait\import\df\dfa79d7c-a345-49ac-b3f2-7d81888a7206.b2322.json
AdSubScribePopModelTrait,prefabs/adSubScribePopSetPanel,cc.Prefab,96227eef-2b23-4ded-8934-ddcbd6cf473b,assets\AdSubScribePopModelTrait\import\96\96227eef-2b23-4ded-8934-ddcbd6cf473b.028b3.json
AdSubScribePopModelTrait,prefabs/adSubScribePopSubscribePanel,cc.Prefab,7a344ea8-ec9c-49c5-82f8-814865d709ef,assets\AdSubScribePopModelTrait\import\7a\7a344ea8-ec9c-49c5-82f8-814865d709ef.a75dc.json
AdSubScribePopModelTrait,prefabs/adSubscribePopGameOverNode,cc.Prefab,05ab3f4c-6b6a-4a80-8a15-214778361cd4,assets\AdSubScribePopModelTrait\import\05\05ab3f4c-6b6a-4a80-8a15-214778361cd4.29a9b.json
AdSubScribePopModelTrait,textures/bg_pop,cc.SpriteFrame,d8101979-ad79-4728-9898-4615e181c334,assets\AdSubScribePopModelTrait\import\d8\d8101979-ad79-4728-9898-4615e181c334.bb4d5.json
AdSubScribePopModelTrait,textures/bg_pop,cc.Texture2D,6a70980d-395b-4601-8654-7ca87a043474,assets\AdSubScribePopModelTrait\import\6a\6a70980d-395b-4601-8654-7ca87a043474.7871f.json
AdSubScribePopModelTrait,textures/btn_close,cc.SpriteFrame,b48c455f-df42-486e-82b9-26c35ba97f6c,assets\AdSubScribePopModelTrait\import\b4\b48c455f-df42-486e-82b9-26c35ba97f6c.21bfb.json
AdSubScribePopModelTrait,textures/btn_close,cc.Texture2D,006bda0f-1e9b-4742-ae29-9fd079fb7231,assets\AdSubScribePopModelTrait\import\00\006bda0f-1e9b-4742-ae29-9fd079fb7231.7871f.json
AdSubScribePopModelTrait,textures/btn_jiesuan_pay,cc.SpriteFrame,3011ad2d-0b4d-4fda-825d-9ca2bb2bebaf,assets\AdSubScribePopModelTrait\import\30\3011ad2d-0b4d-4fda-825d-9ca2bb2bebaf.9fcaf.json
AdSubScribePopModelTrait,textures/btn_jiesuan_pay,cc.Texture2D,11807e73-3c3b-43fb-be74-b8c2f99e158e,assets\AdSubScribePopModelTrait\import\11\11807e73-3c3b-43fb-be74-b8c2f99e158e.7871f.json
AdSubScribePopModelTrait,textures/btn_pay_price_01,cc.SpriteFrame,df3c2e45-c285-4317-94a8-5901945c08da,assets\AdSubScribePopModelTrait\import\df\df3c2e45-c285-4317-94a8-5901945c08da.9b7dd.json
AdSubScribePopModelTrait,textures/btn_pay_price_01,cc.Texture2D,60fda5be-419b-457a-9d82-fa3a1dad2a7d,assets\AdSubScribePopModelTrait\import\60\60fda5be-419b-457a-9d82-fa3a1dad2a7d.7871f.json
AdSubScribePopModelTrait,textures/btn_pay_price_02,cc.SpriteFrame,2b1b5167-0254-4b68-8b30-2f8bec32b793,assets\AdSubScribePopModelTrait\import\2b\2b1b5167-0254-4b68-8b30-2f8bec32b793.52ab8.json
AdSubScribePopModelTrait,textures/btn_pay_price_02,cc.Texture2D,143dec7d-1392-431d-908a-af6d8bd8ead7,assets\AdSubScribePopModelTrait\import\14\143dec7d-1392-431d-908a-af6d8bd8ead7.7871f.json
