成员,值
NAME_COMBO_HELP,Combo帮扶
NAME_SUPER_HARD,Super困难难题
NAME_LUCKY_REVIVE,lucky复活出块
NAME_KUN_NAN_TI,困难难题
NAME_HARD_BINARY_LV,困难难题_lv
NAME_BLANK,填空消除
NAME_REVIVE,复活
NAME_ZIMUSHANG,子母熵增3
NAME_SAOLEI_FILL,扫雷填空
NAME_SAOLEI_SHANG,扫雷熵增
NAME_TRAVEL_BLANK,旅行填空消除
NAME_TRAVEL_RANDOM,旅行随机
NAME_NO_CLEAR_DIFFICULT,无消除难题
NAME_EXTREME_HARD,极端难题
NAME_DIFFICULTY,死亡难题
NAME_CLEARPLUS,清盘算法plus
NAME_SHANGJIAN1,熵减1
NAME_SHANG1,熵增1
NAME_SHANG1_NEW,熵增1_新
NAME_SHANG3,熵增3
NAME_ZHIJUE,直觉难题
NAME_ORDER_SURFACE_LOWER,秩序盘面怼死降级
NAME_SIMPLE_ZHIJUE,简单直觉题
NAME_SIMPLE_DIFFICULTY,简单难题
NAME_DIE,致死题
NAME_RANDOM,随机
NAME_NODIE,随机无死亡
NAME_DIFFICULTY_GAOHUIBAO,高回报难题
