成员,值
TIAN_KONG_XIAO_CHU,4
TIAN_KONG_XIAO_CHU_NO_BIT,11
TRAVEL_TIAN_KONG_XIAO_CHU,1000
EFFICIENT_ELIMINATE,1002
EMPTYDONGFILL,1003
IOS_EMPTYDONGFILL,1004
ALL_COMBINATION_ID9,1309
ALL_COMBINATION_ID21,1321
ALL_COMBINATION_ID70,1370
ALGO_FILL_CHANGE_EDGE,1399
ALGO_QUICK,1400
IOS_FILL_BLANK_BIT,1401
IOS_FILL_BLANK_NOT_BIT,1402
IOS_FILL_BLANK_NOT_BIT_REVERSE,1403
MAX_CLEAR_AFTER_REVIVE,1404
ALGO_CLEAR_AFTER_TKXC,1405
ALGO_FILL_INCREASE,12023
ALGO_COMBO_ACHIEVE_BLOCK,12025
ALGO_QUICK_FILL,14013
ALGO_MIX_TKXC,14016
ALGO_FILL_MORE_AREA,14019
ALGO_FILL_MORE_AREA_IOS_TRAVEL,14020
ALGORITHM_BRANCH_TKXC_MORE_CLEARN,14021
ALGORITHM_BRANCH_TKXC_COMBO,14022
ALGO_QUICK_FILL_ENTROPY_INCREASE3_2_1,14023
ALGO_QUICK_FILL_ENTROPY_INCREASE3_1_2,14024
ALGO_REMOTE_23,14025
ALGO_FILL_REPEAT,14026
ALGO_HORIZONTAL_3_8,14027
ALGO_CLEAR_BOARD_GATHER,14028
ALGO_NEAR_THICKNESS_BLOCK_FILLING,14029
ORDER_FILL_ELIM,14030
ALGO_COLLECT_TKXC,14031
RANDOM_TKXC,14032
FOUR_REGION_LARGE_FILL,14033
ALGO_RANDOM_CLEAR_COMBINATION,14035
ALGO_NEAR_THICKNESS_BLOCK_FILLING_IOS,14037
ALGO_QUICK_FILL_SECOND,14038
ALGO_TKXC_SECOND,14039
ALGO_MIX_TKXC_SECOND,14040
ALGO_DIFF_ORDER_FILL,14045
ALGO_NEAT_FILL,14046
ALGO_QUICK_FILL_PARAM,14047
ALGO_TARGET_COLLECT_CLEAR,14049
TRAVEL_FILL_FUNCTION_BIT,14054
ALGO_SHENG_ZENG_TRAVEL_FILL,14055
ALGO_CONTINUE_COMBO,14057
ALGO_HOLE_FILL_PRIORITY,14065
ORDER_CHIOCE,14066
COLD_START_CLEAR_BOARD,14070
NO_LINK_BLOCKS_MAKE_GROUP,14071
ALGO_MIN_EDGE_FILL_BLANK,14072
OPEN_COMBO_FILL_IN,14073
OPTIMAL_FILL_CLEAR,14080
GENTLE_MODE_HELP_BLOCK,14081
EMPTY_AREA_MAX_FILL,14084
ALGO_EDGE_ADJACENT_FILL_CLEAR,14087
FILL_CLEAR_DOWNGRADE,14089
ALGO_UNLESS_RECT_CLEAR,14090
FILL_MIN_WEIGHT,14091
COMBO_ALGO_FILL_BLANK,14092
ALGO_MERGE_CLEAR_AND_EDGES_FILL,14093
ALGO_OPTIMAL_FILL_MAX_HOLE,14094
SAME_DIRECTION_FILL,14096
NO_CLEAR_BOARD,14097
PRIORITY_BLOCK,14098
ALGO_1_FILL_2_SUI_JI_WU_SI,14099
MODIFY_FILL_ORDER,14100
ATTACK_SCORE_FILL_BLANK,14101
ALGO_QUICK_FILL_QUICK_FILL_ENTROPY_INCREASE3,14106
ALGO_QUICK_FILL_FILL_CLEAR_ENTROPY_INCREASE3,14107
CROSS_CLEAR_FILL,14110
ALGO_FILL_LESS_CHOICE,14111
ALGO_SELECT_INTERNAL_CORNER_FILL,14112
ALGO_SELECT_INTERNAL_CORNER_NEAR_THICKNESS_FILL,14113
FILL_CLEAR_APART,14115
ALGO_FILL_MATRIX_MN,14118
ALGO_FILL_AVG_NEAR_THICKNESS,14119
EDGE_THICKNESS_FILL,14120
ALGO_FILL_AND_CORNER,14122
IOS_SAME_CLEAR_FILL,14123
LESS_EDGE_AND_SAME_CLEAR_INFO,14124
ALL_COMBINATION_FILL_EMPTY,14125
ALGO_INTUITIVE_FILL,14126
EXTREME_FILL,14128
ALGO_MULIT_CLEAR_PLUS,14129
ALGO_FILL_SAME_REGULAR,14130
AJGO_OPTIMAL_OR_KILL,14133
ALGO_FILL_COMPLICATED_CHOICE,14134
ENHANCED_FILL,14135
ALGO_BLOCKWALL_PRIORITY,14136
ALGO_EDGETICHNESSSHAPE_FIRST,14137
ALGO_FILL_WEIGHT,14139
ALGO_MIX_CLEAR3,14140
ALGO_TRAVEL_MANY_CLEAR,14141
ALGO_THICKNESS_AVERAGE,14142
ALGO_QUICK_FILL_MEDIAN,14143
PRECISE_COLLECT_FILL,14144
THREE_BY_THREE_COMBINATION_FILL,14145
MOSTRUNDIE,14146
REPLACE_FILL_HARD,14147
ALGO_CLEAR_AREA_RESIDUE,14148
HIGH_CLEAR_PROB_FILL_BLANK,14150
ALGO_FILL_OPTIMIZE,14151
ALGO_INACTIVE_AREA_FILL,14154
ALGO_UPGRADE_FILL,14155
ALGO_FILL_HORIZONTAL,14156
ALGO_FILL_VERTICAL,14157
ALGO_COLOR_CLEAR,14158
ERROR_FILL_BLANK,14162
ALGO_LONG_RECT_FILL_CLEAR,14163
EFFICIENT_FILL_CLEAR,14165
NEW_PLAYER_FILL,14166
COMBO_BREAK_FILL,14167
BLOCK_SHAPE_FIT_CHECK,14168
ALGO_PROXIMITY_WEIGHT_FILL_CLEAR,14169
ALGO_INITIAL_BOARD_FAKE_HARD,14170
ALGO_PROTECT_FILL,14172
ALGO_XY_CUT_BLOCK,14173
VALID_ELIMINATE,14174
ALGO_EASY_BREAK_COMBO_FILL,14176
ALGO_CONVEX_HULL_FILL,14177
ALGO_COMPUTE_FILL,14181
ALGO_CENTER_MULTI_CLEAR_FILL,14182
ALGO_COMPREHENSIVE_FILL,14184
ALGO_FILL_SMALL_BLOCK_AFTER_REVIVE,14185
FILL_AREA_COEFF,14193
ALGO_QUICK_FILL_EDGE_DECREASE,14194
ALGO_POSITION_FILL,14198
ALGO_EXTREME_RESCUE_A,14200
ALGO_EXTREME_RESCUE_B,14201
ENTROPY_FILL_HARD,16024
ALGO_HIGH_COMBO_HARD,16035
