成员,值
KUN_NAN_TI,6
ZHI_JUE_NAN_TI,8
SIMPLE_ZHIJUE,4000
HEJI_ALGORITHMENTROPY,4001
HEJI_ALGORITHMENTROPYMORECLEAR,4002
HEJI_ALGODIFFSPREAD1,4003
HEJI_ALGODIFFSPREAD2,4004
DIFFICULTY_GAOHUIBAO,4005
HEJI_KUN_NAN_TI,4006
HPARALLELCLEAR_HARD,4007
EXTREME_HARD,4008
ALGO_ONE_DIFFICULT,4009
CROSS_CLEAR_HARD,4010
LINK_SMALL_BORDER,4011
ALGO_NAN_TI,4012
KUN_NAN_NAN_TI,4013
BIT_KUN_NAN_TI,4014
VERY_KUN_NAN_TI_1,4015
VERY_KUN_NAN_TI_3,4016
VERY_KUN_NAN_TI_2,4017
KUN_NAN_TI_BEST,4018
NEW_KUN_NAN_TI,4019
KUN_NAN_TI_MODEL,4020
KUN_NAN_DOUBLE_OFFER,4021
VERY_KUN_NAN_TI_CROSS_CLEAR,4022
HARD_PROBABILITY,4023
VERY_DIFFICULT_HARD,4024
HIGH_VALUE_SUBTLE_HARD,4025
INCLUDE_3X3_HARD,4026
INCLUDE_3X3_INSTINCT,4027
NO_CLEAR_DIFFICULT,4028
IOS_ZHI_JUE_BIT,4029
IOS_ZHI_JUE_NOT_BIT,4030
IOS_KUN_NAN_BIT,4031
IOS_KUN_NAN_HARD_LEVEL_4,4032
IOS_KUN_NAN_OPTIMIZE,4033
JU_ZHENG_NAN_TI,4034
IOS_SIMPLE_HARD,4035
DIFF_EASY_HELP,4036
TWO_3X3_HARD,4037
INSTINCT_HARD_USER,4038
SINGLE_DIFF_OFFER,4039
BLIND_AREA_FILL_HARD,4040
CROWDED_PUZZLE,4041
POS_CONFLICT_HARD,4042
UPLIFT_DUISI_KUN_NAN,4043
DYNAMIC_CROSS_CLEAR_HARD,4050
REPEAT_BLOCK_DIFF,4051
ALGO_PATH_DIFF,4052
ALGO_HARD_EDGE_13,14076
ALGO_HARD_BINARY_13,14077
TWO_UNABLE_PUT_BLOCK_ELIMINATE,14086
ONE_GRID_BLOCK_HARD,16023
ONE_BLOCK_SOLVE_DIFFICULT,16025
MISLEADING,16027
ALGO_SIMPLE_HARD_PARAM1,16029
EASY_NAN_TI,16034
KUN_NAN_TI_HELP,16036
LINK_SMALL_BORDER_HELP,16037
ALGO_AREA_DIFF_HARD,16038
TWO_UNPUT_BLOCK_DIFFICULT,16039
HOLLOW_MULTI_PLACEMENT,16040
SMALL_BLOCK_HARD,16044
BIG_BIG_SMALL_HARD,16046
ALGO_DEAD_ALIVE_TREE,16047
REGULAR_ENTROPY_HARD,16048
CONVENIENT_DIFFICULT_PROBLEM,16051
FIXED_HARD_BLOCK,16052
LONG_DISTANCE_HARD,16053
MORE_LIVE_WAY_HARD,16054
ALL_CLEARABLE_HARD,16055
DEATH_FALLACY_HARD,16056
ALGO_CLEARABLE_LIVE_WAY_HARD_1,16057
ALGO_SUPER_EASY_HARD,16058
ALGO_CLEARABLE_LIVE_WAY_HARD_2,16059
ALGO_HIGH_SCORE_DIFFICULT,16060
ALGO_WELL_FORMED_HARD,16061
ALGO_LETHAL_BLOCK_MISLEADING_HARD,16062
ALGO_EASY_FILL_HARD,16063
ALGO_SMALL_AND_BIG_AREA_HARD,16064
SUPER_HARD_PROBLEM,16065
ALGO_VISUAL_IMPACT_EASY_SOLVE,16066
ALGO_MULTI_SOLUTION_HARD,16067
MORE_LIVE_WAY_HARD_TUNE,16068
DEAD_HARD_LIKE,24005
PRESS_BLOCK_FILL,29007
HARD_BLOCK,291009
ORDER_SURFACE_LOWER_LEVEL,291014
HARD_BINARY_LV,291019
ALGO_UNIQUE_ORDER_ANSWER,291024
ZHI_JUE_KE_JIE_NAN_TI,291027
ALGO_SMALL_BLOCK_AFILL,291037
ALGO_LIFE_GROUP_TKXC,291040
ALGO_SL_DIF,291050
ALGO_RANDOM_DIFF,291059
IOS_ALGO_HARD_BINARY_COLOR_BLOCK,291071
IOS_ALGO_ZJNT_COLOR_BLOCK,291072
IOS_ALGO_VERY_DIFFICULT_COLOR_BLOCK,291073
MORE_SELECT_DIFF,291075
ALGO_SAMPLE_FILL,2910060
ALGO_DIRECTION_LOCK_HARD_1,5300000
ALGO_DIRECTION_LOCK_HARD_2,5300001
