成员,值
ActiveChanged,ActiveChanged
ActiveRemainUnChanged,ActiveRemainUnChanged
ApplyConfigSuccess,ApplyConfigSuccess
CanNotUseConfig,CanNotUseConfig
ConfigNULL,ConfigNULL
ExperimentDataNULL,ExperimentDataNULL
NoBottomPlateFallback,NoButtonPlateFallback
NoUse,NoUse
PureBucketReady,PureBucketReady
Ready,Ready
Request,Request
Response,Response
SaveConfigSuccess,SaveConfigSuccess
SaveConfigSuccessPre,SaveConfigSuccessPre
ServerApplyConfigFail,ServerApplyConfigFail
TimeoutAndNoLocalConfig,TimeoutAndNoLocalConfig
UseComplete,UseComplete
