成员,值
BlockPutEffect,block_put_effect
BlockShadow,block_shadow
BoardBg,board_bg
BoardBgOut,board_bg_out
BoardBottom,board_bottom
CkEffect,ck_effect
ClassFailBg,class_fail_bg
ClassFailHighScoreFont,class_fail_high_score_font
ClassFailHighScoreImg,class_fail_high_score_img
ClassFailOverTitle,class_fail_over_title
ClassFailPlayBtn,class_fail_play_btn
ClassFailScoreFont,class_fail_score_font
ClassFailScoreImg,class_fail_score_img
ClassWinBackBtn,class_win_back_btn
ClassWinBg,class_win_bg
ClassWinCongratulationSpine,class_win_congratulation_spine
ClassWinHighScoreFont,class_win_high_score_font
ClassWinPlayBtn,class_win_play_btn
ComboEffect,combo_effect
ComboFont,combo_font
ComboSpine,combo_spine
ComboSpineFont,combo_spine_font
ComboSpineSprite,combo_spine_sprite
ComboSprite,combo_sprite
ComboTipsEffect,combo_tips_effect
ComboTipsFont,combo_tips_font
ComboTipsSpineEffect,combotips_spine_effect
Crown,crown
EncourageEffect,encourage_effect
EncourageSpineEffect,encourage_spine_effect
GameBg,game_bg
HighScoreFont,high_score_font
ReviveBtnEffect,revive_btn_effect
ReviveEffect,revive_effect
ReviveRoundBg,revive_round_bg
ReviveRoundProgress,revive_round_progress
ScoreFont,score_font
SettingBottomBtnBg,setting_bottom_btn_bg
SettingBtn,setting_btn
SettingBtnSetAddDefultSkinBtnBg,setting_btn_SetAddDefultSkinBtn_bg
SettingBtnSetAddDefultSkinBtnIcon,setting_btn_SetAddDefultSkinBtn_icon
SettingBtnSetAddDefultSkinBtnTxt,setting_btn_SetAddDefultSkinBtn_txt
SettingBtnHomeIcon,setting_btn_home_icon
SettingBtnHomeTxt,setting_btn_home_txt
SettingBtnMoreGamesIcon,setting_btn_moreGames_icon
SettingBtnMoreGamesTxt,setting_btn_moreGames_txt
SettingBtnMoreSettingsIcon,setting_btn_moreSettings_icon
SettingBtnMoreSettingsTxt,setting_btn_moreSettings_txt
SettingBtnReplayIcon,setting_btn_replay_icon
SettingBtnReplayTxt,setting_btn_replay_txt
SettingCloseBtn,setting_close_btn
SettingInBg,setting_in_bg
SettingLine,setting_line
SettingOutBg,setting_out_bg
SettingTitle,setting_title
SpineHighScoreFont,spine_highscore_font
SpineScoreFont,spine_score_font
UnbelievableSpineEffect,unbelievable_spine_effect
