成员,值
AMAZING,amazing
BOMB_USE,boom
CLOCK_POP,clock_pop
COUNT,count
COUNT_TIME,counttime
SREAK1,e_score_streak_1
SREAK10,e_score_streak_10
SREAK2,e_score_streak_2
SREAK3,e_score_streak_3
SREAK4,e_score_streak_4
SREAK5,e_score_streak_5
SREAK6,e_score_streak_6
SREAK7,e_score_streak_7
SREAK8,e_score_streak_8
SREAK9,e_score_streak_9
EXCELLENT,excellent
GOOD,good
GREAT,great
SAND_OVER_SCORE_SCROLL,number2
REVIVE,revive
CLICK,s_button
PUT,s_put
TOUCH,s_touch
ALL_CLEAR,sand_allclear
SAND_BLANK,sand_blank
SAND_BLANK_CHEERUP,sand_blank_cheerup
SAND_BOX,sand_box
SAND_CHARGE,sand_charge
SAND_DIMOND_COLLECT1,sand_dimond_collect1
SAND_DIMOND_COLLECT2,sand_dimond_collect2
SAND_DIMOND_COLLECT3,sand_dimond_collect3
SAND_DIMOND_COLLECT4,sand_dimond_collect4
SAND_DIMOND_COLLECT5,sand_dimond_collect5
SAND_DIMOND_SHOW_INSIDE,sand_dimond_show_inside
SNAD_DOWN,sand_down
SAND_FAIL,sand_fail
HUGE_BLAST,sand_huge
SAND_OVER_FIREWORKS_LOSE,sand_over_fireworks_lose
SAND_OVER_FIREWORKS_WIN,sand_over_fireworks_win
SAND_OVER_FULL_LOSE,sand_over_full_lose
SAND_OVER_FULL_WIN,sand_over_full_win
SAND_OVER_LIGHT_WIN,sand_over_light_win
SAND_OVER_SPEED_LINE_LOSE,sand_over_speed_line_lose
SAND_OVER_SPEED_LINE_WIN,sand_over_speed_line_win
SAND_OVER_UP_LOSE,sand_over_up_lose
SAND_OVER_UP_WIN,sand_over_up_win
PERFECT,sand_perfect
SAND_POUR,sand_pour
SAND_PUT,sand_put
NEW_HIGH_SCORE,sand_record1
NEW_HIGH_SCORE2,sand_record2
NEW_HIGH_SCORE3,sand_record3
NEW_HIGH_SCORE4,sand_record4
NEW_HIGH_SCORE5,sand_record5
NEW_HIGH_SCORE6,sand_record6
SAND_SCORE_COLLECT1,sand_score_collect1
SAND_SCORE_COLLECT2,sand_score_collect2
SERIAL_BLAST,sand_serial
SAND_BTN_EXPLODE,sand_smash
STICK_CHOOSE,stick_choose
STICK_USE,stick_use
UNBELIEVABLE,unbelievable
