成员,值
CheatCount,1
Score,2
TileCount,3
IntervalTime,4
Distribution,5
Replace,6
Percentage,7
IntervalTimeFromStart,8
GameRoundActiveCount,9
ContinueActiveCount,10
CheatCountNew,11
BoardSimilarity,12
RandomIntervalTime,13
TileHeight,14
TopLayerColorCount,15
AllClear,16
OfflineTime,17
IntervalRounds,18
BoardColorCount,19
ReviveSuccess,20
SpecificRounds,21
ProbabilityIncrement,22
TileHeightRange,23
AdTrigger,24
TriggerType25,25
TriggerType26,26
TriggerType27,27
TriggerType28,28
TriggerType29,29
TriggerType31,31
TriggerType32,32
TriggerType33,33
