id,round
1,11
2,15
3,21
4,12
5,15
6,22
7,13
8,14
9,22
10,12
11,19
12,23
13,13
14,17
15,25
16,14
17,22
18,27
19,14
20,21
21,26
22,12
23,21
24,26
25,14
26,21
27,34
28,13
29,21
30,34
31,15
32,24
33,33
34,13
35,24
36,33
37,16
38,29
39,45
40,17
41,33
42,43
43,18
44,33
45,41
46,15
47,32
48,44
49,14
50,12
51,24
52,17
53,25
54,28
55,17
56,17
57,26
58,14
59,27
60,27
61,19
62,20
63,36
64,18
65,38
66,41
67,20
68,29
69,39
70,17
71,38
72,42
73,21
74,25
75,56
76,20
77,43
78,51
79,20
80,31
81,55
82,16
83,43
84,48
85,20
86,37
87,57
88,22
89,51
90,60
91,30
92,38
93,56
94,17
95,50
96,57
