Id,MinTimeBetweenMoves,GravityScale,BaseWeight,ExtraWeightFirstDropMultiplier,ExtraWeightFirstDropAdd,WeightIncreasePower,Drag,AngularDrag,FruitFriction,FruitBounciness,WallFriction,WallBounciness
1000,0.6,1.6,1,1.75,0.2,1.3,0.1,0.6,0.18,0.1,0.4,0.2
1001,0.6,1.9,1,1.9,0.4,1.3,0.1,0.6,0.18,0.1,0.4,0.2
1002,0.5,1.9,1,1.9,0.4,1.3,0.1,0.6,0.18,0.1,0.4,0.2
1003,0.4,1.9,1,1.9,0.4,1.3,0.1,0.6,0.18,0.1,0.4,0.2
1004,0.6,2.4,1,1,0.4,1.2,0.1,0.6,0.15,0.15,0.4,0.2
1005,0.5,2.4,1,1,0.4,1.2,0.1,0.6,0.15,0.15,0.4,0.2
1006,0.4,2.4,1,1,0.4,1.2,0.1,0.6,0.15,0.15,0.4,0.2
1007,0.6,3,1.2,1.2,1.2,1.2,0.1,0.6,0.12,0.2,0.4,0.2
1008,0.5,3,1.2,1.2,1.2,1.2,0.1,0.6,0.12,0.2,0.4,0.2
1009,0.4,3,1.2,1.2,1.2,1.2,0.1,0.6,0.12,0.2,0.4,0.2
