ID,FruitLevel,Weight,HardLevel,GrundLevel
1011,1,5,1,"[1, 2, 3, 4, 5]"
1012,2,10,1,"[1, 2, 3, 4, 5]"
1013,3,50,1,"[1, 2, 3, 4, 5]"
1014,4,100,1,"[1, 2, 3, 4, 5]"
1015,5,100,1,"[1, 2, 3, 4, 5]"
1061,1,5,1,[6]
1062,2,10,1,[6]
1063,3,50,1,[6]
1064,4,100,1,[6]
1065,5,100,1,[6]
1071,1,5,1,[7]
1072,2,10,1,[7]
1073,3,50,1,[7]
1074,4,100,1,[7]
1075,5,150,1,[7]
1081,1,5,1,[8]
1082,2,10,1,[8]
1083,3,50,1,[8]
1084,4,150,1,[8]
1085,5,150,1,[8]
1091,1,5,1,[9]
1092,2,10,1,[9]
1093,3,50,1,[9]
1094,4,100,1,[9]
1095,5,200,1,[9]
1101,1,5,1,"[10, 11, 12]"
1102,2,10,1,"[10, 11, 12]"
1103,3,20,1,"[10, 11, 12]"
1104,4,50,1,"[10, 11, 12]"
1105,5,200,1,"[10, 11, 12]"
