Content,Index,Difficulty
"-6894988996254874968,4656810061698498816,90248258341438721,5,607480174346257,-9223369663885344128,352187990672642,0,45035996273704960,175921861099520,8804682992160,0",1,
"360289418935801109,1442562009795143700,2886808471414525992,-6917529027641081856,-9214364794482589536,38878731302993920,10995116843520,0,-9223336818122784128,2918332706846671360,41943042,0",2,
"360993033365753857,1153205733736589332,-6160924107035639638,2,721139442777064448,2819148897865748,89335319826432,0,577026451035914240,10754199592,71303168,0",3,
"-6196952494019442006,768426689282703370,4989988749313048576,5,1225542598356273152,18084939119722496,176609055211520,0,2149580800,68987912192,4415226380288,0",4,
"-6773413106736428374,4611686021290000392,4989988749313049925,4611686018427387909,43997712089169,2305843009281065600,585749497436438792,576460752303423488,45035996273704962,0,2234457006208,0",5,
"-6196952354433004886,4611774065424728074,90072354733950277,5,750416688056337,90159953477632640,140874927903232,0,4675073998848,2253998836940800,537395200,0",6,
"1448746161429,-9223325135811728768,-6160924107035639256,2305843009213693954,34393825408,38878731337072640,187604172055040,0,65792,2918332558541406208,579338242,0",7,
"1513210923542648085,-9223325135811903467,2918332741743280810,-9223372036854775806,638266502023200,48026667901255680,151870044285440,0,2149580800,-6160924290242838528,579338242,0",8,
"75049365445547285,46901042915856,-6160924107035639638,-9223372036854775806,1200941579633696,11962686510203968,187604171663360,0,76561197961314304,-6196953087261802496,178257920,0",9,
"360289418935801109,-9223325135811893228,2918332741743280810,-9223372036854775806,1126183511001120,40849056005619712,5452595200,0,65792,0,136314880,0",10,
"72059042784089365,-9223360350247671280,2918332741743280810,-6917529027641081854,43117445280,5764607523078815748,5452595220,0,164480,1114112,20800,0",11,
"-6196952904725689686,4656722017563705354,4989988749313049857,4611686018427387909,4629775183727837248,171866063488,370879017256192,0,285212672,655617,2233920389120,0",12,
"12006666975319317,-9223325135811728768,-6160924141932248406,-6917529027641081854,5854679515581644960,48026668080168960,1157436099351060992,288230376151711744,4,2918332714362863941,41943042,0",13,
"1513210923542648085,-9223325135811903467,-9043227868552756566,2,1483516069303296,5764608918898606080,70644762935316,0,5659164672,571746046443520,4352,0",14,
"-6196952354433005406,4656722017563705354,4989988749313049857,5,1225542602919512064,576460752321257480,2893562771364904992,0,577028377330843648,68,4415226413088,0",15,
"1513210923542648085,1153214666190618645,-6196953041610993494,0,1483516069303296,288235067329757188,46729244354624,0,1153211915265147392,4504699155779584,178257920,0",16,
"576461485132221098,4611756405064728642,4989988749313049925,4611686018427387909,17247141952,2882303761785620512,2893562771364905000,0,65792,72057594037927936,72339069284122625,0",17,
"1513210923542648085,1153205733736579093,-6160924279488638806,2,1483516069303296,291049525039091732,1157436099350536256,0,1442559260483387392,2886808460672897024,41943040,0",18,
"1513210923542648085,-9223325135811903467,2918332741743280810,-6917529027641081854,-6872492988249931616,48026667901255680,151870044285440,288230376151711744,17660905521156,-6160924290242838528,579338242,0",19,
"360289418935801109,1442562009795143700,2886808506306924584,-6917529027641081856,43117445280,291050628856172564,18324914240,288230376151711744,-9223372035776839676,148310589952,65552,0",20,
"1513210923542648085,1153214666190618645,-6196952904054603606,2305843009213693952,706436221378688,4611690709605433348,306244780113788932,0,545259520,299067179536384,1168231108864,0",21,
"-6196952397382677846,4611774065424728074,4989988749313049925,5,706436223477760,576462953474163328,2308130551753738272,0,17660905586944,2253998836940800,269484032,0",22,
"360993033363133717,-9223360350247704556,-6196952904054603094,-6917529027641081856,-8493788862827462496,11962686520688640,46729244879360,0,35218731958400,-6196953076524384216,178257920,0",23,
"72059042784089365,-9223325135811859952,-6196952904054603094,-6917529027641081856,43117445280,48026667919081472,46729244879360,288230376151711744,1077936132,-6160924271989227520,178257922,0",24,
"-6917528294812284246,4611756405064728640,4989988749313049925,4611686018427387909,21810380881,72075186510299136,2893562760586925312,576460752303423488,545259522,18014673454497792,72339069014646916,0",25,
"-6196952354433004886,4611686021290000394,4989988749313049668,5,750416688752640,10920,176609056329984,0,768426686705369344,0,4415226380288,0",26,
"-6894988996321998166,4611774065424990272,4989988749313049925,4611686018427387909,4547580092645440,90159953746133633,370879017325824,0,4656722014868865024,90072267492426752,673710085,0",27,
"360993033363133717,-9223325135811893228,2918332741743280810,-9223372036854775806,721984689654466592,5764608918898606080,5452595220,0,35218731827200,1429365116108800,20800,0",28,
"-6894988996254875488,4611774065425056064,4989988749313049925,5,-9214320788398505984,36063981525402240,2308113509323444224,0,-9178336040413298688,137573171712,8804754259968,0",29,
