Id,Style,StyleName,GroupIndex,CardSizeRight,CardSizeBottom,OutLineWidth,SelectEffect,HintEffect,CardBGName,CardFaceName,ShadowName,MaskName,PanelLayout,CardSize,CardSpace,SelectEffectPos,SelectEffectScale,HintEffectPos,HintEffectScale,CardBGSize,CardBGOffset,CardFaceSize,CardFaceOffset,ShadowSize,ShadowOffset,MaskSize,MaskOffset
1,1,V1_W5,1,21,27,0,HsMahjongMahjong_Selected_V2_stely1_1,HsMahjongMahjong_Prophint_V2_stely1,HsMahjongV1_W5_BG,HsMahjongV1_W5_,HsMahjongV1_W5_Shadow,HsMahjongV1_W5_Mask,"[30, 30]","[195, 243]","[6, 6]","[10, -13]","[200, 1]","[12.5, -16.95]","[200, 1.01]","[216, 270]","[0, 0]","[189, 237]","[6, -6]","[237, 297]","[0, 0]","[216, 270]","[0, 0]"
2,1,V1_W6,3,18,24,0,HsMahjongMahjong_Selected_V2_stely1,HsMahjongMahjong_Prophint_V2_stely1,HsMahjongV1_W6_BG,HsMahjongV1_W5_,HsMahjongV1_W6_Shadow,HsMahjongV1_W6_Mask,"[30, 30]","[159, 198]","[6, 6]","[10, -13]","[200, 0.83]","[10, -13]","[200, 0.83]","[177, 222]","[0, 0]","[153, 192]","[6, -6]","[195, 246]","[0, 0]","[177, 222]","[0, 0]"
3,1,V1_W7,5,15,21,0,HsMahjongMahjong_Selected_V2_stely1,HsMahjongMahjong_Prophint_V2_stely1,HsMahjongV1_W7_BG,HsMahjongV1_W5_,HsMahjongV1_W7_Shadow,HsMahjongV1_W7_Mask,"[30, 30]","[135, 168]","[6, 6]","[9, -12]","[200, 0.7]","[9, -12]","[200, 0.7]","[150, 189]","[0, 0]","[129, 162]","[6, -6]","[165, 210]","[0, 0]","[150, 189]","[0, 0]"
4,1,V1_W8,7,12,18,0,HsMahjongMahjong_Selected_V2_stely1_8,HsMahjongMahjong_Prophint_V2_stely1,HsMahjongV1_W8_BG,HsMahjongV1_W5_,HsMahjongV1_W8_Shadow,HsMahjongV1_W8_Mask,"[30, 30]","[111, 138]","[3, 3]","[7, -9]","[200, 0.57]","[7.3, -9.5]","[200, 0.57]","[123, 156]","[0, 0]","[105, 132]","[6, -6]","[135, 174]","[0, 0]","[123, 156]","[0, 0]"
5,1,V1_W9,9,12,18,0,HsMahjongMahjong_Selected_V2_stely1_8,HsMahjongMahjong_Prophint_V2_stely1,HsMahjongV1_W9_BG,HsMahjongV1_W5_,HsMahjongV1_W9_Shadow,HsMahjongV1_W9_Mask,"[30, 30]","[99, 123]","[3, 3]","[6.5, -8]","[200, 0.505]","[7, -8.8]","[200, 0.505]","[111, 141]","[0, 0]","[93, 117]","[6, -6]","[123, 159]","[0, 0]","[111, 141]","[0, 0]"
6,2,V2_W5,1,18,24,0,HsMahjongMahjong_Selected_V2,HsMahjongMahjong_Prophint_V2,HsMahjongV2_W5_BG,HsMahjongV3_W5_,HsMahjongV2_W5_Shadow,HsMahjongV2_W5_Mask,"[30, 30]","[192, 240]","[6, 6]","[9, -10.2]","[200, 1]","[9, -10.2]","[200, 1]","[210, 264]","[0, 0]","[189, 237]","[4, -3]","[228, 288]","[0, 0]","[210, 264]","[0, 0]"
7,2,V2_W6,3,15,21,0,HsMahjongMahjong_Selected_V2,HsMahjongMahjong_Prophint_V2,HsMahjongV2_W6_BG,HsMahjongV3_W5_,HsMahjongV2_W6_Shadow,HsMahjongV2_W6_Mask,"[30, 30]","[156, 195]","[6, 6]","[9, -10.2]","[200, 0.8]","[9, -10.2]","[200, 0.8]","[171, 216]","[0, 0]","[153, 192]","[4, -3]","[186, 237]","[0, 0]","[171, 216]","[0, 0]"
8,2,V2_W7,5,12,18,0,HsMahjongMahjong_Selected_V2,HsMahjongMahjong_Prophint_V2,HsMahjongV2_W7_BG,HsMahjongV3_W5_,HsMahjongV2_W7_Shadow,HsMahjongV2_W7_Mask,"[30, 30]","[132, 165]","[6, 6]","[6.5, -8.22]","[200, 0.69]","[6.5, -8.22]","[200, 0.69]","[144, 183]","[0, 0]","[129, 162]","[4, -3]","[156, 201]","[0, 0]","[144, 183]","[0, 0]"
9,2,V2_W8,7,9,15,0,HsMahjongMahjong_Selected_V2,HsMahjongMahjong_Prophint_V2,HsMahjongV2_W8_BG,HsMahjongV3_W5_,HsMahjongV2_W8_Shadow,HsMahjongV2_W8_Mask,"[30, 30]","[108, 135]","[3, 3]","[5, -7]","[200, 0.56]","[5, -7]","[200, 0.56]","[117, 150]","[0, 0]","[105, 132]","[4, -3]","[126, 165]","[0, 0]","[117, 150]","[0, 0]"
10,2,V2_W9,9,9,15,0,HsMahjongMahjong_Selected_V2,HsMahjongMahjong_Prophint_V2,HsMahjongV2_W9_BG,HsMahjongV3_W5_,HsMahjongV2_W9_Shadow,HsMahjongV2_W9_Mask,"[30, 30]","[96, 120]","[3, 3]","[5.8, -7]","[200, 0.5]","[5.8, -7]","[200, 0.5]","[105, 135]","[0, 0]","[93, 117]","[4, -3]","[114, 150]","[0, 0]","[105, 135]","[0, 0]"
