index,content,difficulty,board,row,column
1,"3, 6, 4, 3, 3, 5, 5, 8, 4, 5, 2, 6, 0, 3, 1, 8, 2, 0, 5, 1, 8, 9, 0, 7, 7, 6, 8, 0, 9, 9, 6, 1, 2, 4, 4, 2, 1, 9, 7, 7",25.126,1,8,5
2,"7, 9, 5, 4, 5, 7, 4, 2, 4, 2, 1, 4, 0, 9, 6, 2, 2, 0, 1, 7, 8, 1, 0, 3, 6, 5, 6, 0, 8, 6, 3, 3, 1, 8, 7, 8, 5, 3, 9, 9",26.345,1,8,5
3,"8, 5, 5, 4, 4, 8, 4, 4, 9, 5, 1, 7, 0, 9, 8, 5, 8, 0, 1, 6, 7, 7, 0, 7, 3, 1, 2, 0, 2, 6, 3, 9, 3, 2, 3, 1, 9, 6, 2, 6",26.796,1,8,5
4,"6, 8, 5, 5, 4, 1, 8, 3, 2, 2, 6, 1, 0, 4, 5, 4, 9, 0, 5, 3, 7, 4, 0, 2, 6, 1, 1, 0, 2, 9, 7, 7, 8, 3, 3, 9, 7, 8, 9, 6",26.869,1,8,5
5,"4, 1, 4, 7, 7, 1, 9, 5, 8, 8, 7, 5, 0, 1, 9, 3, 3, 0, 5, 3, 7, 4, 0, 9, 4, 1, 5, 0, 2, 8, 6, 2, 2, 6, 8, 6, 9, 2, 6, 3",27.271,1,8,5
6,"5, 7, 7, 5, 1, 1, 8, 7, 1, 1, 5, 9, 0, 8, 6, 3, 4, 0, 6, 4, 2, 5, 0, 4, 3, 9, 7, 0, 9, 6, 9, 2, 2, 8, 4, 2, 3, 3, 8, 6",27.823,1,8,5
7,"7, 1, 1, 9, 6, 6, 3, 8, 1, 1, 2, 3, 0, 7, 6, 7, 8, 0, 3, 4, 3, 6, 0, 2, 9, 7, 9, 0, 5, 4, 4, 4, 9, 2, 5, 2, 5, 8, 8, 5",28.013,1,8,5
8,"6, 2, 2, 6, 6, 6, 5, 4, 5, 7, 3, 7, 0, 2, 8, 1, 5, 0, 4, 8, 3, 9, 0, 1, 5, 8, 4, 0, 8, 2, 7, 4, 3, 7, 3, 9, 9, 1, 9, 1",28.116,1,8,5
9,"2, 5, 1, 7, 9, 1, 5, 7, 7, 6, 2, 3, 0, 2, 9, 7, 4, 0, 5, 6, 5, 3, 0, 8, 3, 4, 2, 0, 9, 3, 4, 8, 6, 4, 9, 1, 1, 8, 6, 8",28.181,1,8,5
10,"7, 7, 4, 1, 1, 1, 3, 9, 2, 1, 5, 9, 0, 4, 5, 8, 3, 0, 3, 2, 8, 6, 0, 3, 4, 4, 6, 0, 8, 9, 2, 2, 8, 7, 7, 6, 5, 5, 9, 6",28.221,1,8,5
11,"6, 2, 8, 2, 8, 3, 4, 6, 4, 7, 9, 5, 0, 1, 5, 6, 5, 0, 9, 9, 9, 1, 0, 7, 5, 3, 8, 0, 4, 2, 6, 4, 1, 2, 1, 8, 3, 3, 7, 7",28.255,1,8,5
12,"8, 2, 5, 1, 7, 8, 6, 5, 3, 3, 5, 9, 0, 2, 7, 4, 2, 0, 5, 9, 6, 8, 0, 1, 2, 4, 9, 0, 6, 4, 3, 8, 9, 7, 4, 3, 1, 6, 1, 7",28.455,1,8,5
13,"2, 9, 7, 7, 8, 2, 1, 6, 1, 1, 1, 3, 0, 6, 4, 4, 5, 0, 9, 8, 5, 3, 0, 4, 7, 8, 9, 0, 2, 2, 6, 6, 4, 7, 3, 8, 5, 9, 3, 5",28.652,1,8,5
