_key,key,achieve_type_logic,achieve_type,new_old,detail_type,new_style,go_to,id,index,en_name,show_or_not,en_get,en_lock,award_icon,block_style,achieve_list,achieve_list_avg,achieve_list_lower,achieve_list_higher
achieve_high_score,achieve_high_score,1,1,0,1,1,1,100001,1,Score Champion,1,"After scoring {0} points in Classic Mode, you've achieved the Score Champion achievement!",Reach {0} points in Classic Mode to earn the Score Champion achievement!,badge_scoreChampion,1,"[900, 1400, 2000, 2500, 3000, 3500, 4000, 4500, 5000, 6000, 7000, 8000]","[1200, 1800, 2600, 3300, 3900, 4500, 5200, 5900, 6500, 7800, 9100, 10400]","[450, 700, 1000, 1200, 1500, 1700, 2000, 2200, 2500, 3000, 3500, 4000]","[1800, 2800, 4000, 5000, 6000, 7000, 8000, 9000, 10000, 12000, 14000, 16000]"
achieve_win_streak,achieve_win_streak,2,1,0,1,1,2,100002,2,Invincible Legend,1,"After a winning streak of {0} times in Adventure Mode, you've achieved the Invincible Legend achievement!",Achieve a winning streak of {0} games in Adventure Mode to earn the Invincible Legend achievement!,badge_invincibleLegend,1,"[2, 4, 6, 8, 10]","[1, 2, 3, 4, 10]","[1, 2, 3, 4, 5]","[4, 8, 12, 16, 20]"
achieve_login_day,achieve_login_day,3,1,0,1,1,1,100003,3,Perseverance,1,"After logging in for {0} days, you've achieved the Perseverance achievement!",Log in for {0} consecutive days to earn the Perseverance achievement!,badge_perseverance,2,"[3, 6, 10, 20, 35, 55, 80, 120, 170, 230]","[1, 2, 4, 7, 13, 20, 30, 44, 63, 85]","[1, 3, 5, 10, 17, 27, 40, 60, 85, 115]","[6, 12, 20, 40, 70, 110, 160, 240, 340, 460]"
achieve_all_levels,achieve_all_levels,4,1,0,1,1,2,100004,4,Block Master,1,"After completing {0} levels, you've achieved the Block Master achievement!",Complete {0} levels to earn the Block Master achievement!,badge_blockMaster,3,"[3, 8, 20, 40, 70, 110, 160, 220, 290, 370]","[4, 10, 26, 52, 91, 143, 208, 286, 377, 481]","[1, 4, 10, 20, 35, 55, 80, 110, 145, 185]","[6, 16, 40, 80, 140, 220, 320, 440, 580, 740]"
achieve_elimination_multi,achieve_elimination_multi,5,1,0,1,1,1,100005,5,Opportunist,1,"After making {0} multi-eliminations, you've achieved the Opportunist achievement!",Achieve {0} multi-eliminations to earn the Opportunist achievement!,badge_opportunist,2,"[5, 15, 30, 45, 70, 100, 140, 190, 240, 300]","[6, 18, 36, 54, 84, 120, 168, 228, 288, 360]","[2, 7, 15, 44, 35, 50, 70, 95, 120, 150]","[10, 30, 60, 90, 140, 200, 280, 380, 480, 600]"
achieve_collect_gem,achieve_collect_gem,6,1,0,1,1,2,100006,6,Jewelry Tycoon,1,"After collecting {0} gems, you've achieved the Jewelry Tycoon achievement!",Collect {0} gems to earn the Jewelry Tycoon achievement!,badge_jewelryTycoon,4,"[10, 50, 100, 150, 300, 450, 600, 800, 1000, 1200]","[10, 50, 100, 150, 300, 450, 600, 800, 1000, 1200]","[5, 25, 50, 75, 150, 225, 300, 400, 500, 600]","[20, 100, 200, 300, 600, 900, 1200, 1600, 2000, 2400]"
achieve_high_combo,achieve_high_combo,7,1,0,1,1,1,100007,7,Unwavering,1,"After reaching a maximum combo of {0}, you've achieved the Unwavering achievement!",Reach a maximum combo of {0} to earn the Unwavering achievement!,badge_unwavering,2,"[2, 4, 6, 8, 10]","[1, 3, 4, 6, 7]","[1, 2, 3, 4, 5]","[4, 8, 12, 16, 20]"
achieve_adventure_map,achieve_adventure_map,8,1,0,1,1,2,100008,8,Adventurer,1,"After completing Adventure Map {0} times, you've achieved the Adventurer achievement!",Complete Adventure Mode {0} times to earn the Adventurer achievement!,badge_adventurer,1,[1],[1],[1],[1]
achieve_elimination_block,achieve_elimination_block,9,1,0,1,1,1,100009,9,Master Cleaner,1,"After eliminating {0} blocks, you've achieved the Master Cleaner achievement!",Eliminate {0} blocks to earn the Master Cleaner achievement!,badge_masterCleaner,1,"[500, 1000, 2000, 4000, 6000, 8000, 10000, 13000, 16000, 20000]","[500, 1000, 2000, 4000, 6000, 8000, 10000, 13000, 16000, 20000]","[250, 500, 1000, 2000, 3000, 4000, 5000, 6500, 8000, 10000]","[1000, 2000, 4000, 8000, 12000, 16000, 20000, 26000, 32000, 40000]"
achieve_take_first_step,achieve_take_first_step,10,1,1,0,0,,100010,10,Take First Step,1,"After completing the tutorial, you have earned the Take First Step achievement!",Complete the tutorial to earn the Take First Step achievement!,badge_takeFirstStep,,[1],,,
achieve_mini_game,achieve_mini_game,11,1,1,0,0,,100011,11,Mini Game,1,"After playing a mini game, you have earned the Mini Game achievement!",Complete the mini game to earn the Mini Game achievement!,badge_miniGame,,[1],,,
achieve_surpass_yourself,achieve_surpass_yourself,12,1,1,1,0,,100012,12,Surpass Yourself,1,"After breaking the high score 5 times, you have earned the Surpass Yourself achievement!",Break the high score 5 times to earn the Surpass Yourself achievement!,badge_surpassYourself,,[5],,,
achieve_listen_to_music,achieve_listen_to_music,13,1,1,0,0,,100013,13,Listen to Music,1,"After turning on the music, you have earned the Listen to Music achievement!",Turn on the music to earn the Listen to Music achievement!,badge_listenToMusic,,[1],,,
achieve_journey_begins,achieve_journey_begins,15,1,1,0,0,,100014,14,Journey Begins,1,"After unlocking travel mode, you have earned the Journey Begins achievement!",Unlock travel mode to earn the Journey Begins achievement!,badge_journeyBegins,,[1],,,
achieve_share,achieve_share,16,1,1,0,0,,100015,15,Share,0,"After sharing the game, you have earned the Share achievement!",Share the game to earn the Share achievement!,badge_share,,[1],,,
achieve_curiosity,achieve_curiosity,17,1,1,0,0,,100016,16,Curiosity,0,"After clicking on the surrounding area ten times, you have earned the Curiosity achievement!",,badge_curiosity,,[10],,,
achieve_six_match,achieve_six_match,18,1,1,0,0,,100017,17,Six Match,0,"After completing a six-match, you have earned the Six Match achievement!",,badge_sixMatch,,[1],,,
achieve_five_match,achieve_five_match,19,1,1,0,0,,100018,18,Five Match,0,"After completing a five-match, you have earned the Five Match achievement!",,badge_fiveMatch,,[1],,,
achieve_four_match,achieve_four_match,20,1,1,0,0,,100019,19,Four Match,1,"After completing a four-match, you have earned the Four Match achievement!",Complete a four-match to earn the Four Match achievement!,badge_fourMatch,,[1],,,
achieve_cross_match,achieve_cross_match,21,1,1,0,0,,100020,20,Cross Match,1,"After completing a cross-match, you have earned the Cross Match achievement!",Complete a cross-match to earn the Cross Match achievement!,badge_crossMatch,,[1],,,
achieve_insistence,achieve_insistence,22,1,1,0,0,,100021,21,Insistence,0,"After not giving up despite multiple failures, you have earned the Insistence achievement!",,badge_insistence,,[1],,,
achieve_new_journey,achieve_new_journey,23,1,1,0,0,,100022,22,New Journey,0,"After entering the second phase of the travel event, you have earned the New Journey achievement!",,badge_newJourney,,[2],,,
achieve_puzzle_master,achieve_puzzle_master,24,1,1,0,0,,100023,23,Puzzle Master,0,"After surviving the ultra-difficult round, you have earned the Puzzle Master achievement!",,badge_puzzleMaster,,[1],,,
achieve_puzzle_expert,achieve_puzzle_expert,25,1,1,1,0,,100024,24,Puzzle Expert,0,"After surviving the difficult round {0} times, you have earned the Puzzle Expert achievement!",,badge_puzzleExpert,,[3],,,
achieve_leap_forward,achieve_leap_forward,26,1,1,1,0,,100025,25,Leap Forward,0,"After significantly surpassing the previous high score, you have earned the Leap Forward achievement!",,badge_leapForward,,[1],,,
achieve_survival_expert,achieve_survival_expert,27,1,1,0,0,,100026,26,Survival Expert,0,"After surviving three rounds under tough conditions, you have earned the Survival Expert achievement!",,badge_survivalExpert,,[1],,,
achieve_revival,achieve_revival,28,1,1,0,0,,100027,27,Revival,1,"After reviving once, you have earned the Revival achievement!",Revive once to earn the Revival achievement!,badge_revival,,[1],,,
achieve_all_clear,achieve_all_clear,29,1,1,0,0,,100028,28,All Clear,1,"After clearing all blocks, you have earned the All Clear achievement!",Clear all blocks to earn the All Clear achievement!,badge_allClear,,[1],,,
achieve_harvest,achieve_harvest,30,1,1,0,0,,100029,29,Harvest,1,"After collecting more than 5 gems in one match, you have earned the Harvest achievement!",Collect 5 gems in one match to earn the Harvest achievement!,badge_harvest,,[1],,,
achieve_night_owl,achieve_night_owl,31,1,1,0,0,,100030,30,Night Owl,0,"After playing a game late at night, you have earned the Night Owl achievement!",,badge_nightOwl,,[1],,,
month_achieve_2024_7,month_achieve_2024_7,14,2,0,1,1,1,102407,31,Jungle Exploration,,"After completing {0} levels, you've achieved the Jungle Exploration achievement!",Complete {0} levels to earn the Jungle Exploration achievement!,badge_jungleExploration,,"[3, 6, 9, 12, 15, 18, 21, 24, 27, 30]","[4, 7, 11, 14, 18, 22, 25, 29, 32, 36]","[1, 3, 5, 6, 7, 9, 10, 12, 14, 15]","[6, 12, 18, 24, 30, 36, 42, 48, 54, 60]"
month_achieve_2024_8,month_achieve_2024_8,14,2,0,1,1,1,102408,32,Jungle Exploration,,"After completing {0} levels, you've achieved the Jungle Exploration achievement!",Complete {0} levels to earn the Jungle Exploration achievement!,badge_jungleExploration,,"[3, 6, 9, 12, 15, 18, 21, 24, 27, 30]","[4, 7, 11, 14, 18, 22, 25, 29, 32, 36]","[1, 3, 5, 6, 7, 9, 10, 12, 14, 15]","[6, 12, 18, 24, 30, 36, 42, 48, 54, 60]"
month_achieve_2024_9,month_achieve_2024_9,14,2,0,1,1,1,102409,33,Undersea Treasure Hunting,,"After completing {0} levels, you've achieved the Undersea Treasure Hunting achievement!",Complete {0} levels to earn the Undersea Treasure Hunting achievement!,badge_underseaTreasure,,"[3, 6, 9, 12, 15, 18, 21, 24, 27, 30]","[4, 7, 11, 14, 18, 22, 25, 29, 32, 36]","[1, 3, 5, 6, 7, 9, 10, 12, 14, 15]","[6, 12, 18, 24, 30, 36, 42, 48, 54, 60]"
month_achieve_2024_10,month_achieve_2024_10,14,2,0,1,1,1,102410,34,Volcano Investigation,,"After completing {0} levels, you've achieved the Volcano Investigation achievement!",Complete {0} levels to earn the Volcano Investigation achievement!,badge_volcanoInvestigation,,"[3, 6, 9, 12, 15, 18, 21, 24, 27, 30]","[4, 7, 11, 14, 18, 22, 25, 29, 32, 36]","[1, 3, 5, 6, 7, 9, 10, 12, 14, 15]","[6, 12, 18, 24, 30, 36, 42, 48, 54, 60]"
month_achieve_2024_11,month_achieve_2024_11,14,2,0,1,1,1,102411,35,Marathon Race,,"After completing {0} levels, you've achieved the Marathon Race achievement!",Complete {0} levels to earn the Marathon Race achievement!,badge_marathonRace,,"[3, 6, 9, 12, 15, 18, 21, 24, 27, 30]","[4, 7, 11, 14, 18, 22, 25, 29, 32, 36]","[1, 3, 5, 6, 7, 9, 10, 12, 14, 15]","[6, 12, 18, 24, 30, 36, 42, 48, 54, 60]"
month_achieve_2024_12,month_achieve_2024_12,14,2,0,1,1,1,102412,36,Build a Snowman,,"After completing {0} levels, you've achieved the Build a Snowman achievement!",Complete {0} levels to earn the Build a Snowman achievement!,badge_buildSnowman,,"[3, 6, 9, 12, 15, 18, 21, 24, 27, 30]","[4, 7, 11, 14, 18, 22, 25, 29, 32, 36]","[1, 3, 5, 6, 7, 9, 10, 12, 14, 15]","[6, 12, 18, 24, 30, 36, 42, 48, 54, 60]"
