ID,name,unlock_type,unlock_num,dexc_ch,desc_en,isShow,iconName,achieveKey
1000,Default,0,1,原皮肤,first,1,skin_000,
1001,Pure Pink,5,1,分享游戏,After sharing the games,1,skin_001,
1002,Macaron,2,5000,在经典模式获得{0}分,Reach {0} points in Classic Mode,1,skin_002,
1003,Gradient Pink,3,3,完成成就: {0},After completing achievement: {0},1,skin_003,achieve_skin
1004,Morandi ,4,2,累计登陆{0}天,Log in for {0} consecutive days,1,skin_004,
1005,Pure Green,4,3,累计登陆{0}天,Log in for {0} consecutive days,1,skin_005,
1006,Sunflowers,1,6,完成{0}次游戏,After completing {0} games,1,skin_006,
1007,The Starry Night,1,7,完成{0}次游戏,After completing {0} games,1,skin_007,
1008,Dark Pop,1,8,完成{0}次游戏,After completing {0} games,1,skin_008,
1009,Mondrian,1,9,完成{0}次游戏,After completing {0} games,1,skin_009,
1010,Cyberpunk,1,10,完成{0}次游戏,After completing {0} games,1,skin_010,
1011,Countryside,1,11,完成{0}次游戏,After completing {0} games,1,skin_011,
1012,Ocean,1,12,完成{0}次游戏,After completing {0} games,1,skin_012,
1013,Forest,1,13,完成{0}次游戏,After completing {0} games,1,skin_013,
1014,Ukiyoe,1,14,完成{0}次游戏,After completing {0} games,1,skin_014,
1015,Memphis,1,15,完成{0}次游戏,After completing {0} games,1,skin_015,
1016,Rococo,1,16,完成{0}次游戏,After completing {0} games,1,skin_016,
1017,Matisse,1,17,完成{0}次游戏,After completing {0} games,1,skin_017,
1018,Latte,1,18,完成{0}次游戏,After completing {0} games,1,skin_018,
1019,Pantone,1,19,完成{0}次游戏,After completing {0} games,1,skin_019,
1020,Ground,1,20,完成{0}次游戏,After completing {0} games,1,skin_020,
1021,Blue-white,1,21,完成{0}次游戏,After completing {0} games,1,skin_021,
1022,Classic Black,1,22,完成{0}次游戏,After completing {0} games,1,skin_022,
1023,Earth,1,23,完成{0}次游戏,After completing {0} games,1,skin_023,
1024,Air Pink,1,24,完成{0}次游戏,After completing {0} games,1,skin_024,
1025,Tiffany Blue,1,25,完成{0}次游戏,After completing {0} games,1,skin_025,
1026,Dessert,1,26,完成{0}次游戏,After completing {0} games,1,skin_026,
1027,Macaw,1,27,完成{0}次游戏,After completing {0} games,1,skin_027,
1028,Mountains,1,28,完成{0}次游戏,After completing {0} games,1,skin_028,
1029,Glaciers,1,29,完成{0}次游戏,After completing {0} games,1,skin_029,
1030,Warm Cold,1,30,完成{0}次游戏,After completing {0} games,1,skin_030,
1031,Wizard,1,31,完成{0}次游戏,After completing {0} games,1,skin_031,
1032,Passion,1,32,完成{0}次游戏,After completing {0} games,1,skin_032,
1033,Peaceful,1,33,完成{0}次游戏,After completing {0} games,1,skin_033,
1034,Mystery,1,34,完成{0}次游戏,After completing {0} games,1,skin_034,
1035,Fresh,1,35,完成{0}次游戏,After completing {0} games,1,skin_035,
1036,Romantic,1,36,完成{0}次游戏,After completing {0} games,1,skin_036,
1037,Calm,1,37,完成{0}次游戏,After completing {0} games,1,skin_037,
1038,Lovely,1,38,完成{0}次游戏,After completing {0} games,1,skin_038,
1039,Energy,1,39,完成{0}次游戏,After completing {0} games,1,skin_039,
