_key,ID,UnitID,ScoreBeg,ScoreEnd,RoundBeg,RoundEnd,CubeNumBeg,CubeNumEnd,ProgressBeg,ProgressEnd,Priority,TypeChoose,AlgoTriggerTimes,DifficultyLevel,MultipleBlast,TwoColor,SameHigh,SlowHigher,FastHigher,Random,SameColor,FillPerfect2,FastHigher2,SequenceFill,SequenceFilter,SequenceProbFilter,SequenceDoubleColor,RepeatableRandom,FilterRepeatableRandom,RandomDoubleColor,RepSequenceFill,RepSequenceFilter,RepSequenceProbFilter,SequenceDoubleColor2,SlowHigher2,SlowHigher3,SlowHigher4,HighEfficiencyFill
256,256,13,0,5000,0,-1,0,-1,0,-1,1,2,1,1,5,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,257,13,5000,20000,0,-1,0,-1,0,-1,1,2,1,1,5,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,258,13,20000,25000,0,-1,0,-1,0,-1,1,2,1,1,5,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,259,13,25000,35000,0,-1,0,-1,0,-1,1,2,1,1,6,0,5,4,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,260,13,35000,45000,0,-1,0,-1,0,-1,1,2,1,1,6,0,5,4,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
261,261,13,45000,50000,0,-1,0,-1,0,-1,1,2,1,1,6,0,5,4,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
262,262,13,50000,60000,0,-1,0,-1,0,-1,1,2,1,1,6,0,5,4,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,263,13,60000,70000,0,-1,0,-1,0,-1,1,2,1,1,6,0,5,4,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
264,264,13,70000,75000,0,-1,0,-1,0,-1,1,2,1,1,6,0,5,4,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
265,265,13,75000,85000,0,-1,0,-1,0,-1,1,2,1,1,6,0,5,4,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,266,13,85000,95000,0,-1,0,-1,0,-1,1,2,1,1,6,0,5,4,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
267,267,13,95000,100000,0,-1,0,-1,0,-1,1,2,1,1,6,0,5,4,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
268,268,13,100000,120000,0,-1,0,-1,0,-1,1,2,1,1,6,0,5,4,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,269,13,120000,140000,0,-1,0,-1,0,-1,1,2,1,1,6,0,5,4,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
270,270,13,140000,150000,0,-1,0,-1,0,-1,1,2,1,1,6,0,5,4,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
271,271,13,150000,170000,0,-1,0,-1,0,-1,1,2,1,1,6,0,5,4,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,272,13,170000,190000,0,-1,0,-1,0,-1,1,2,1,1,6,0,5,4,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
273,273,13,190000,200000,0,-1,0,-1,0,-1,1,2,1,1,6,0,5,4,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
274,274,13,200000,220000,0,-1,0,-1,0,-1,1,2,1,1,6,0,5,4,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,275,13,220000,240000,0,-1,0,-1,0,-1,1,2,1,1,6,0,5,4,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
276,276,13,240000,250000,0,-1,0,-1,0,-1,1,2,1,1,6,0,5,4,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
277,277,13,250000,-1,0,-1,0,-1,0,-1,1,2,1,1,6,0,5,4,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
