_key,ID,AlgoName,Name,AlgoType
1,1,MultipleBlast,填空消除,1
2,2,TwoColor,同色堆叠,2
3,3,SameHigh,不变堆叠,2
4,4,SlowHigher,温和堆叠,2
5,5,FastHigher,强制堆叠,2
6,6,Random,随机,3
7,7,SameColor,纯色,
8,8,FillPerfect2,完美填空,1
9,9,FastHigher2,强制堆叠2,2
10,10,SequenceFill,序列填充,
11,11,SequenceFilter,序列过滤,0&100
12,12,SequenceProbFilter,序列概率过滤,
13,13,SequenceDoubleColor,序列双色块,2&4
14,14,RepeatableRandom,可重复随机,
15,15,FilterRepeatableRandom,过滤可重复随机,
16,16,RandomDoubleColor,随机双色块,4
17,17,RepSequenceFill,修复序列填充,
18,18,RepSequenceFilter,修复序列过滤,
19,19,RepSequenceProbFilter,修复序列概率过滤,
