脚本,行数,标识符数,常量数,token数
addons/mod_loader/mod_data.gd,96,38,13,427
addons/mod_loader/mod_loader.gd,576,153,89,2607
addons/mod_loader/mod_loader_utils.gd,305,128,46,1740
addons/mod_loader/mod_manifest.gd,157,43,31,707
addons/mod_loader/pause.gd,6,6,1,27
addons/mod_loader/run.gd,4,5,1,21
challenges/global/challenge_data.gd,31,33,3,192
challenges/global/reward_type.gd,3,9,0,24
effects/burning_data.gd,52,24,8,300
effects/burning_type.gd,3,3,0,12
effects/enums/arg_value.gd,13,10,9,54
effects/enums/format.gd,3,4,0,14
effects/enums/sign.gd,3,6,0,18
effects/enums/storage_method.gd,3,4,0,14
effects/items/burn_chance_effect.gd,39,27,6,220
effects/items/chance_stat_damage_effect.gd,42,23,4,226
effects/items/class_bonus_effect.gd,23,20,5,149
effects/items/convert_stat_effect.gd,40,21,4,220
effects/items/gain_stat_for_every_stat_effect.gd,49,26,8,298
effects/items/healing_effect.gd,14,9,5,66
effects/items/item_exploding_effect.gd,48,32,8,283
effects/items/projectile_effect.gd,48,31,5,287
effects/items/stat_cap_effect.gd,37,16,4,188
effects/items/stat_gains_modification_effect.gd,39,17,3,194
effects/items/stat_with_max_effect.gd,34,19,2,174
effects/items/structure_effect.gd,76,42,10,465
effects/items/turret_effect.gd,51,33,8,320
effects/items/weapon_bonus_effect.gd,43,20,3,237
effects/weapons/burning_effect.gd,32,20,4,166
effects/weapons/exploding_effect.gd,42,15,9,228
effects/weapons/gain_stat_every_killed_enemies_effect.gd,29,12,3,141
effects/weapons/null_effect.gd,14,5,1,45
effects/weapons/projectiles_on_hit_effect.gd,37,23,5,200
effects/weapons/slow_in_zone_effect.gd,10,4,1,35
effects/weapons/weapon_stack_effect.gd,42,19,5,222
entities/birth/entity_birth.gd,72,49,15,410
entities/entity.gd,44,39,8,275
entities/entity_type.gd,3,6,0,18
entities/structures/landmine/landmine.gd,25,33,5,171
entities/structures/structure.gd,30,27,4,179
entities/structures/turret/flame/flame_turret.gd,6,5,1,23
entities/structures/turret/garden/garden.gd,7,5,1,29
entities/structures/turret/turret.gd,100,70,13,659
entities/structures/turret/wandering_bot/wandering_bot.gd,32,32,11,223
entities/units/enemies/005/5.gd,21,20,7,123
entities/units/enemies/007/7.gd,45,37,10,260
entities/units/enemies/008/8.gd,12,9,2,70
entities/units/enemies/009/9.gd,5,3,0,18
entities/units/enemies/009/pivot.gd,14,15,1,75
entities/units/enemies/010/10.gd,12,10,4,85
entities/units/enemies/011/11.gd,8,4,3,37
entities/units/enemies/012/12.gd,20,25,7,170
entities/units/enemies/016/16.gd,13,14,4,83
entities/units/enemies/020/20.gd,30,19,4,145
entities/units/enemies/022/22.gd,12,4,6,65
entities/units/enemies/023/23.gd,6,6,0,33
entities/units/enemies/025/25.gd,1,1,0,4
entities/units/enemies/026/26.gd,17,14,1,88
entities/units/enemies/attack_behaviors/attack_behavior.gd,15,8,0,58
entities/units/enemies/attack_behaviors/charging_attack_behavior.gd,70,52,15,470
entities/units/enemies/attack_behaviors/shooting_attack_behavior.gd,121,74,23,852
entities/units/enemies/attack_behaviors/spawning_attack_behavior.gd,47,34,9,276
entities/units/enemies/boss/boss.gd,77,73,20,601
entities/units/enemies/boss/boss_state.gd,8,8,2,41
entities/units/enemies/enemy.gd,120,98,18,746
entities/units/enemies/enemy_data.gd,5,5,2,26
entities/units/enemies/patrolling_enemy.gd,8,5,1,28
entities/units/movement_behaviors/follow_player_movement_behavior.gd,14,12,1,69
entities/units/movement_behaviors/follow_rand_pos_around_player_movement_behavior.gd,33,23,4,190
entities/units/movement_behaviors/movement_behavior.gd,8,5,1,28
entities/units/movement_behaviors/patrol_edges_of_map_movement_behavior.gd,61,43,6,390
entities/units/movement_behaviors/player_movement_behavior.gd,34,25,6,232
entities/units/movement_behaviors/stay_in_range_from_player_movement_behavior.gd,31,23,3,169
entities/units/movement_behaviors/target_rand_pos_around_player_movement_behavior.gd,33,26,3,228
entities/units/movement_behaviors/target_rand_pos_movement_behavior.gd,20,16,0,115
entities/units/neutral/neutral.gd,28,26,7,167
entities/units/player/item_attract_area.gd,7,8,5,49
entities/units/player/player.gd,526,265,58,3479
entities/units/player/weapons_container.gd,66,43,8,647
entities/units/unit/hit_type.gd,3,3,0,12
entities/units/unit/live_stats.gd,21,12,3,118
entities/units/unit/stats.gd,23,25,10,205
entities/units/unit/unit.gd,389,213,37,2652
global/behavior.gd,9,6,1,35
global/direction.gd,3,6,0,18
global/effects_manager.gd,94,62,10,662
global/entity_spawner.gd,375,188,38,2400
global/my_camera.gd,13,10,1,58
global/my_tile_map.gd,30,32,2,255
global/my_tile_map_limits.gd,13,10,2,86
global/screenshaker.gd,42,31,6,276
global/sorter.gd,8,7,2,39
items/characters/character_data.gd,5,5,0,32
items/consumables/consumable.gd,9,10,1,44
items/consumables/consumable_data.gd,5,5,1,26
items/difficulties/difficulty_data.gd,2,2,0,7
items/difficulties/elite_type.gd,3,3,0,12
items/global/category.gd,3,4,0,14
items/global/custom_arg.gd,22,25,9,126
items/global/effect.gd,148,85,23,1046
items/global/inventory_element.gd,70,45,13,373
items/global/item.gd,41,28,9,218
items/global/item_appearance_data.gd,32,36,6,205
items/global/item_data.gd,10,9,1,57
items/global/item_parent_data.gd,36,32,7,236
items/global/tier.gd,3,8,0,22
items/global/weapon_data.gd,42,34,7,245
items/materials/gold.gd,9,8,1,36
