编号,资源,生命,每波+生命,伤害,每波+伤害,护甲,每波+护甲,速度,速度抖动,攻击CD帧,材料价值,击退抗性,金币散布,可掉消耗品,必掉消耗品,掉落率,掉道具率
001,entities/units/enemies/001/1_stats.tres,3,2.0,1,0.6,0,0.0,250,50,30.0,1,0.0,0,True,False,0.01,0.01
002,entities/units/enemies/002/2_stats.tres,1,1.0,1,0.6,0,0.0,380,0,30.0,1,0.0,0,True,False,0.02,0.03
003,entities/units/enemies/003/3_stats.tres,8,1.0,1,0.6,0,0.0,200,0,30.0,1,1.0,0,True,False,0.03,0.1
004,entities/units/enemies/004/4_stats.tres,4,2.5,1,0.85,0,0.0,400,0,30.0,1,1.0,0,True,False,0.01,0.01
005,entities/units/enemies/005/5_stats.tres,10,24.0,1,1.2,0,0.0,150,0,30.0,3,0.0,0,True,False,0.03,0.03
006,entities/units/enemies/006/6_stats.tres,20,11.0,2,0.85,0,0.0,300,0,30.0,3,1.0,0,True,False,0.03,0.03
007,entities/units/enemies/007/7_stats.tres,20,3.0,1,0.6,0,0.0,150,0,30.0,2,1.0,0,True,False,0.01,0.01
008,entities/units/enemies/008/8_stats.tres,15,4.0,1,0.85,0,0.0,350,25,30.0,1,0.0,0,True,False,0.01,0.01
009,entities/units/enemies/009/9_stats.tres,15,13.0,1,1.1,0,0.0,0,0,30.0,0,1.0,0,False,,0.0,0.0
010,entities/units/enemies/010/10_stats.tres,28000,100.0,1,1.5,0,0.0,300,0,30.0,1,1.0,0,True,True,1.0,1.0
011,entities/units/enemies/011/11_stats.tres,28000,100.0,1,1.5,0,0.0,200,0,30.0,1,1.0,0,True,True,1.0,1.0
012,entities/units/enemies/012/12_stats.tres,10,8.0,1,0.85,0,0.0,400,0,30.0,2,0.0,0,True,False,0.03,0.03
013,entities/units/enemies/013/13_stats.tres,50,25,1,0.85,0,0.0,350,50,30.0,8,0.0,75,True,True,1.0,1.0
014,entities/units/enemies/014/14_stats.tres,8,3.0,1,1.0,0,0.0,250,25,30.0,1,0.5,0,True,False,0.01,0.01
015,entities/units/enemies/015/15_stats.tres,12,2.0,1,1.0,0,0.0,400,0,30.0,1,0.0,0,True,False,0.02,0.03
016,entities/units/enemies/016/16_stats.tres,10,1.0,1,0.85,0,0.0,120,0,30.0,1,0.7,0,True,False,0.01,0.01
017,entities/units/enemies/017/17_stats.tres,20,5.0,1,1.0,0,0.0,350,0,30.0,1,0.0,0,False,False,0.01,0.01
018,entities/units/enemies/018/18_stats.tres,30,22.0,1,1.15,0,0.0,300,0,30.0,3,1.0,0,True,False,0.03,0.03
019,entities/units/enemies/019/19_stats.tres,12,5.0,1,1.1,0,0.0,425,0,30.0,1,1.0,0,True,False,0.01,0.01
020,entities/units/enemies/020/20_stats.tres,1,750.0,1,1.5,0,0.0,250,0,30.0,10,1.0,0,True,True,1.0,1.0
021,entities/units/enemies/021/21_stats.tres,1,750.0,1,1.5,0,0.0,200,0,30.0,10,1.0,0,True,True,1.0,1.0
022,entities/units/enemies/022/22_stats.tres,1,700.0,1,1.5,0,0.0,350,0,30.0,10,1.0,0,True,True,1.0,1.0
023,entities/units/enemies/023/23_stats.tres,5,3.0,1,0.25,0,0.0,0,0,30.0,1,1.0,0,False,False,0.0,0.0
024,entities/units/enemies/024/24_stats.tres,50,25.0,1,1.15,0,0.0,275,25,30.0,3,1.0,0,True,False,0.01,0.01
025,entities/units/enemies/025/25_stats.tres,100,20.0,1,1.0,0,0.0,175,0,30.0,3,0.7,0,True,False,0.01,0.01
026,entities/units/enemies/026/26_stats.tres,30,15.0,1,0.75,0,0.0,350,0,30.0,1,1.0,0,True,False,0.01,0.01
neutral,entities/units/neutral/tree_stats.tres,10,5,0,1.0,0,0.0,0,0,999.0,3,1.0,75,True,,1.0,0.2
player,entities/units/player/player_stats.tres,1,1,1,1.0,0,0.0,450,0,30.0,1,0.0,0,False,,0.0,0.0
