APK内路径,分类,字节,落盘位置
AndroidManifest.xml,安卓壳,12832,安卓壳/AndroidManifest.xml
assets/AVConfig.json,源码,176220,源码/AVConfig.json
assets/back.lua,源码,12871,源码/back.lua
assets/blind.lua,源码,27534,源码/blind.lua
assets/card.lua,源码,250998,源码/card.lua
assets/card_character.lua,源码,5522,源码/card_character.lua
assets/cardarea.lua,源码,33188,源码/cardarea.lua
assets/challenges.lua,源码,23932,源码/challenges.lua
assets/conf.lua,源码,221,源码/conf.lua
assets/engine/animatedsprite.lua,源码,3272,源码/engine/animatedsprite.lua
assets/engine/controller.lua,源码,69968,源码/engine/controller.lua
assets/engine/event.lua,源码,7034,源码/engine/event.lua
assets/engine/http_manager.lua,源码,653,源码/engine/http_manager.lua
assets/engine/load_manager.lua,源码,3546,源码/engine/load_manager.lua
assets/engine/moveable.lua,源码,21048,源码/engine/moveable.lua
assets/engine/node.lua,源码,16500,源码/engine/node.lua
assets/engine/object.lua,源码,666,源码/engine/object.lua
assets/engine/particles.lua,源码,6772,源码/engine/particles.lua
assets/engine/platform.lua,源码,5668,源码/engine/platform.lua
assets/engine/profile.lua,源码,4761,源码/engine/profile.lua
assets/engine/save_manager.lua,源码,4923,源码/engine/save_manager.lua
assets/engine/sound_manager.lua,源码,6960,源码/engine/sound_manager.lua
assets/engine/sprite.lua,源码,8335,源码/engine/sprite.lua
assets/engine/string_packer.lua,源码,16419,源码/engine/string_packer.lua
assets/engine/text.lua,源码,15340,源码/engine/text.lua
assets/engine/ui.lua,源码,47811,源码/engine/ui.lua
assets/functions/UI_definitions.lua,源码,365529,源码/functions/UI_definitions.lua
assets/functions/button_callbacks.lua,源码,123619,源码/functions/button_callbacks.lua
assets/functions/common_events.lua,源码,136586,源码/functions/common_events.lua
assets/functions/misc_functions.lua,源码,86672,源码/functions/misc_functions.lua
assets/functions/state_events.lua,源码,78842,源码/functions/state_events.lua
assets/functions/test_functions.lua,源码,8425,源码/functions/test_functions.lua
assets/game.lua,源码,261174,源码/game.lua
assets/globals.lua,源码,17836,源码/globals.lua
assets/info.txt,源码,172,源码/info.txt
assets/localization/de.lua,本地化,160258,本地化/de.lua
assets/localization/en-us.lua,本地化,152256,本地化/en-us.lua
assets/localization/es_419.lua,本地化,159147,本地化/es_419.lua
assets/localization/es_ES.lua,本地化,159255,本地化/es_ES.lua
assets/localization/fr.lua,本地化,163119,本地化/fr.lua
assets/localization/id.lua,本地化,157222,本地化/id.lua
assets/localization/it.lua,本地化,157451,本地化/it.lua
assets/localization/ja.lua,本地化,174018,本地化/ja.lua
assets/localization/ko.lua,本地化,165648,本地化/ko.lua
assets/localization/nl.lua,本地化,158348,本地化/nl.lua
assets/localization/pl.lua,本地化,160463,本地化/pl.lua
assets/localization/pt_BR.lua,本地化,158951,本地化/pt_BR.lua
assets/localization/ru.lua,本地化,187504,本地化/ru.lua
assets/localization/zh_CN.lua,本地化,152962,本地化/zh_CN.lua
assets/localization/zh_TW.lua,本地化,152608,本地化/zh_TW.lua
assets/main.lua,源码,14535,源码/main.lua
assets/resources/fonts/GoNotoCJKCore.ttf,资源,18499972,资源/fonts/GoNotoCJKCore.ttf
assets/resources/fonts/GoNotoCurrent-Bold.ttf,资源,14534044,资源/fonts/GoNotoCurrent-Bold.ttf
assets/resources/fonts/NotoSans-Bold.ttf,资源,582604,资源/fonts/NotoSans-Bold.ttf
assets/resources/fonts/NotoSansJP-Bold.ttf,资源,5727828,资源/fonts/NotoSansJP-Bold.ttf
assets/resources/fonts/NotoSansKR-Bold.ttf,资源,6190824,资源/fonts/NotoSansKR-Bold.ttf
assets/resources/fonts/NotoSansSC-Bold.ttf,资源,10550116,资源/fonts/NotoSansSC-Bold.ttf
assets/resources/fonts/NotoSansTC-Bold.ttf,资源,7105312,资源/fonts/NotoSansTC-Bold.ttf
assets/resources/fonts/m6x11plus.ttf,资源,35065,资源/fonts/m6x11plus.ttf
assets/resources/gamecontrollerdb.txt,资源,397824,资源/gamecontrollerdb.txt
assets/resources/shaders/CRT.fs,资源,7278,资源/shaders/CRT.fs
assets/resources/shaders/background.fs,资源,2520,资源/shaders/background.fs
assets/resources/shaders/booster.fs,资源,5323,资源/shaders/booster.fs
assets/resources/shaders/debuff.fs,资源,5164,资源/shaders/debuff.fs
assets/resources/shaders/dissolve.fs,资源,4269,资源/shaders/dissolve.fs
assets/resources/shaders/flame.fs,资源,3049,资源/shaders/flame.fs
assets/resources/shaders/flash.fs,资源,961,资源/shaders/flash.fs
assets/resources/shaders/foil.fs,资源,6615,资源/shaders/foil.fs
assets/resources/shaders/gold_seal.fs,资源,1093,资源/shaders/gold_seal.fs
assets/resources/shaders/holo.fs,资源,6747,资源/shaders/holo.fs
assets/resources/shaders/hologram.fs,资源,6256,资源/shaders/hologram.fs
assets/resources/shaders/negative.fs,资源,5374,资源/shaders/negative.fs
assets/resources/shaders/negative_shine.fs,资源,5390,资源/shaders/negative_shine.fs
assets/resources/shaders/played.fs,资源,5270,资源/shaders/played.fs
assets/resources/shaders/polychrome.fs,资源,6546,资源/shaders/polychrome.fs
assets/resources/shaders/skew.fs,资源,963,资源/shaders/skew.fs
assets/resources/shaders/splash.fs,资源,2607,资源/shaders/splash.fs
assets/resources/shaders/vortex.fs,资源,1227,资源/shaders/vortex.fs
assets/resources/shaders/voucher.fs,资源,5309,资源/shaders/voucher.fs
assets/resources/sounds/ambientFire1.ogg,资源,478331,资源/sounds/ambientFire1.ogg
assets/resources/sounds/ambientFire2.ogg,资源,508497,资源/sounds/ambientFire2.ogg
assets/resources/sounds/ambientFire3.ogg,资源,503557,资源/sounds/ambientFire3.ogg
assets/resources/sounds/ambientOrgan1.ogg,资源,380953,资源/sounds/ambientOrgan1.ogg
