key,分组,英文名,中文名,图集,pos.x,pos.y,尺寸,备注,落盘位置
b_abandoned,Back,Abandoned Deck,废弃牌组,centers,3,3,142x190,,Back/b_abandoned.png
b_anaglyph,Back,Anaglyph Deck,浮雕牌组,centers,2,4,142x190,,Back/b_anaglyph.png
b_black,Back,Black Deck,黑色牌组,centers,3,2,142x190,,Back/b_black.png
b_blue,Back,Blue Deck,蓝色牌组,centers,0,2,142x190,,Back/b_blue.png
b_challenge,Back,Challenge Deck,挑战牌组,centers,0,4,142x190,,Back/b_challenge.png
b_checkered,Back,Checkered Deck,方格牌组,centers,1,3,142x190,,Back/b_checkered.png
b_erratic,Back,Erratic Deck,古怪牌组,centers,2,3,142x190,,Back/b_erratic.png
b_ghost,Back,Ghost Deck,幽灵牌组,centers,6,2,142x190,,Back/b_ghost.png
b_green,Back,Green Deck,绿色牌组,centers,2,2,142x190,,Back/b_green.png
b_magic,Back,Magic Deck,魔法牌组,centers,0,3,142x190,,Back/b_magic.png
b_nebula,Back,Nebula Deck,星云牌组,centers,3,0,142x190,,Back/b_nebula.png
b_painted,Back,Painted Deck,彩绘牌组,centers,4,3,142x190,,Back/b_painted.png
b_plasma,Back,Plasma Deck,等离子牌组,centers,4,2,142x190,,Back/b_plasma.png
b_red,Back,Red Deck,红色牌组,centers,0,0,142x190,,Back/b_red.png
b_yellow,Back,Yellow Deck,黄色牌组,centers,1,2,142x190,,Back/b_yellow.png
b_zodiac,Back,Zodiac Deck,黄道牌组,centers,3,4,142x190,,Back/b_zodiac.png
c_ankh,Spectral,Ankh,生命十字章,Spectral,0,5,142x190,,Spectral/c_ankh.png
c_aura,Spectral,Aura,光环,Spectral,4,4,142x190,,Spectral/c_aura.png
c_base,Default,,,centers,1,0,142x190,,Default/c_base.png
c_black_hole,Spectral,Black Hole,黑洞,Spectral,9,3,142x190,,Spectral/c_black_hole.png
c_ceres,Planet,Ceres,谷神星,Planet,8,2,142x190,,Planet/c_ceres.png
c_chariot,Tarot,The Chariot,战车,Tarot,7,0,142x190,,Tarot/c_chariot.png
c_cryptid,Spectral,Cryptid,神秘生物,Spectral,5,5,142x190,,Spectral/c_cryptid.png
c_death,Tarot,Death,死神,Tarot,3,1,142x190,,Tarot/c_death.png
c_deja_vu,Spectral,Deja Vu,既视感,Spectral,1,5,142x190,,Spectral/c_deja_vu.png
c_devil,Tarot,The Devil,恶魔,Tarot,5,1,142x190,,Tarot/c_devil.png
c_earth,Planet,Earth,地球,Planet,2,3,142x190,,Planet/c_earth.png
c_ectoplasm,Spectral,Ectoplasm,灵质,Spectral,8,4,142x190,,Spectral/c_ectoplasm.png
c_emperor,Tarot,The Emperor,皇帝,Tarot,4,0,142x190,,Tarot/c_emperor.png
c_empress,Tarot,The Empress,皇后,Tarot,3,0,142x190,,Tarot/c_empress.png
c_eris,Planet,Eris,阋神星,Planet,3,2,142x190,,Planet/c_eris.png
c_familiar,Spectral,Familiar,使魔,Spectral,0,4,142x190,,Spectral/c_familiar.png
c_fool,Tarot,The Fool,愚者,Tarot,0,0,142x190,,Tarot/c_fool.png
c_grim,Spectral,Grim,严峻,Spectral,1,4,142x190,,Spectral/c_grim.png
c_hanged_man,Tarot,The Hanged Man,倒吊人,Tarot,2,1,142x190,,Tarot/c_hanged_man.png
c_heirophant,Tarot,The Hierophant,教皇,Tarot,5,0,142x190,,Tarot/c_heirophant.png
c_hermit,Tarot,The Hermit,隐者,Tarot,9,0,142x190,,Tarot/c_hermit.png
c_hex,Spectral,Hex,妖法,Spectral,2,5,142x190,,Spectral/c_hex.png
c_high_priestess,Tarot,The High Priestess,女祭司,Tarot,2,0,142x190,,Tarot/c_high_priestess.png
c_immolate,Spectral,Immolate,火祭,Spectral,9,4,142x190,,Spectral/c_immolate.png
c_incantation,Spectral,Incantation,咒语,Spectral,2,4,142x190,,Spectral/c_incantation.png
c_judgement,Tarot,Judgement,审判,Tarot,0,2,142x190,,Tarot/c_judgement.png
c_jupiter,Planet,Jupiter,木星,Planet,4,3,142x190,,Planet/c_jupiter.png
c_justice,Tarot,Justice,正义,Tarot,8,0,142x190,,Tarot/c_justice.png
c_lovers,Tarot,The Lovers,恋人,Tarot,6,0,142x190,,Tarot/c_lovers.png
c_magician,Tarot,The Magician,魔术师,Tarot,1,0,142x190,,Tarot/c_magician.png
c_mars,Planet,Mars,火星,Planet,3,3,142x190,,Planet/c_mars.png
c_medium,Spectral,Medium,灵媒,Spectral,4,5,142x190,,Spectral/c_medium.png
c_mercury,Planet,Mercury,水星,Planet,0,3,142x190,,Planet/c_mercury.png
c_moon,Tarot,The Moon,月亮,Tarot,8,1,142x190,,Tarot/c_moon.png
c_neptune,Planet,Neptune,海王星,Planet,7,3,142x190,,Planet/c_neptune.png
c_ouija,Spectral,Ouija,占卜,Spectral,7,4,142x190,,Spectral/c_ouija.png
c_planet_x,Planet,Planet X,X行星,Planet,9,2,142x190,,Planet/c_planet_x.png
c_pluto,Planet,Pluto,冥王星,Planet,8,3,142x190,,Planet/c_pluto.png
c_saturn,Planet,Saturn,土星,Planet,5,3,142x190,,Planet/c_saturn.png
c_sigil,Spectral,Sigil,符印,Spectral,6,4,142x190,,Spectral/c_sigil.png
c_soul,Spectral,The Soul,灵魂,Spectral,2,2,142x190,,Spectral/c_soul.png
c_star,Tarot,The Star,星星,Tarot,7,1,142x190,,Tarot/c_star.png
c_strength,Tarot,Strength,力量,Tarot,1,1,142x190,,Tarot/c_strength.png
c_sun,Tarot,The Sun,太阳,Tarot,9,1,142x190,,Tarot/c_sun.png
c_talisman,Spectral,Talisman,护身符,Spectral,3,4,142x190,,Spectral/c_talisman.png
c_temperance,Tarot,Temperance,节制,Tarot,4,1,142x190,,Tarot/c_temperance.png
c_tower,Tarot,The Tower,塔,Tarot,6,1,142x190,,Tarot/c_tower.png
c_trance,Spectral,Trance,入迷,Spectral,3,5,142x190,,Spectral/c_trance.png
c_uranus,Planet,Uranus,天王星,Planet,6,3,142x190,,Planet/c_uranus.png
c_venus,Planet,Venus,金星,Planet,1,3,142x190,,Planet/c_venus.png
c_wheel_of_fortune,Tarot,The Wheel of Fortune,命运之轮,Tarot,0,1,142x190,,Tarot/c_wheel_of_fortune.png
c_world,Tarot,The World,世界,Tarot,1,2,142x190,,Tarot/c_world.png
c_wraith,Spectral,Wraith,幽灵,Spectral,5,4,142x190,,Spectral/c_wraith.png
e_base,Edition,Base,基础,Joker,0,0,142x190,,Edition/e_base.png
e_foil,Edition,Foil,闪箔,Joker,0,0,142x190,,Edition/e_foil.png
e_holo,Edition,Holographic,镭射,Joker,0,0,142x190,,Edition/e_holo.png
e_negative,Edition,Negative,负片,Joker,0,0,142x190,,Edition/e_negative.png
e_polychrome,Edition,Polychrome,多彩,Joker,0,0,142x190,,Edition/e_polychrome.png
j_8_ball,Joker,8 Ball,八号球,Joker,0,5,142x190,,Joker/j_8_ball.png
j_abstract,Joker,Abstract Joker,抽象小丑,Joker,3,3,142x190,,Joker/j_abstract.png
j_acrobat,Joker,Acrobat,杂技演员,Joker,2,1,142x190,,Joker/j_acrobat.png
j_ancient,Joker,Ancient Joker,古老小丑,Joker,7,15,142x190,,Joker/j_ancient.png
j_arrowhead,Joker,Arrowhead,箭头,Joker,1,8,142x190,,Joker/j_arrowhead.png
j_astronomer,Joker,Astronomer,天文学家,Joker,2,7,142x190,,Joker/j_astronomer.png
j_banner,Joker,Banner,旗帜,Joker,1,2,142x190,,Joker/j_banner.png
j_baron,Joker,Baron,男爵,Joker,6,12,142x190,,Joker/j_baron.png
j_baseball,Joker,Baseball Card,棒球卡,Joker,6,14,142x190,,Joker/j_baseball.png
j_blackboard,Joker,Blackboard,黑板,Joker,2,10,142x190,,Joker/j_blackboard.png
j_bloodstone,Joker,Bloodstone,血石,Joker,0,8,142x190,,Joker/j_bloodstone.png
j_blue_joker,Joker,Blue Joker,蓝色小丑,Joker,7,10,142x190,,Joker/j_blue_joker.png
j_blueprint,Joker,Blueprint,蓝图,Joker,0,3,142x190,,Joker/j_blueprint.png
j_bootstraps,Joker,Bootstraps,提靴带,Joker,9,8,142x190,,Joker/j_bootstraps.png
j_brainstorm,Joker,Brainstorm,头脑风暴,Joker,7,7,142x190,,Joker/j_brainstorm.png
j_bull,Joker,Bull,斗牛,Joker,7,14,142x190,,Joker/j_bull.png
j_burglar,Joker,Burglar,窃贼,Joker,1,10,142x190,,Joker/j_burglar.png
j_burnt,Joker,Burnt Joker,烧焦小丑,Joker,3,7,142x190,,Joker/j_burnt.png
j_business,Joker,Business Card,名片,Joker,1,4,142x190,,Joker/j_business.png
j_caino,Joker,Canio,卡尼奥,Joker,3,8,142x190,,Joker/j_caino.png
j_caino_soul,Joker_soul,,,Joker,3,9,142x190,浮空层,Joker_soul/j_caino_soul.png
j_campfire,Joker,Campfire,篝火,Joker,5,15,142x190,,Joker/j_campfire.png
