挑战id,类别,id,value
c_omelette_1,custom,no_reward,
c_omelette_1,custom,no_extra_hand_money,
c_omelette_1,custom,no_interest,
c_omelette_1,banned_cards,v_seed_money,
c_omelette_1,banned_cards,v_money_tree,
c_omelette_1,banned_cards,j_to_the_moon,
c_omelette_1,banned_cards,j_rocket,
c_omelette_1,banned_cards,j_golden,
c_omelette_1,banned_cards,j_satellite,
c_rich_1,custom,chips_dollar_cap,
c_rich_1,modifiers,dollars,100
c_xray_1,custom,flipped_cards,4
c_mad_world_1,custom,no_extra_hand_money,
c_mad_world_1,custom,no_interest,
c_mad_world_1,banned_other,bl_plant,blind
c_luxury_1,custom,minus_hand_size_per_X_dollar,5
c_luxury_1,modifiers,hand_size,10
c_non_perishable_1,custom,all_eternal,
c_non_perishable_1,banned_cards,j_gros_michel,
c_non_perishable_1,banned_cards,j_ice_cream,
c_non_perishable_1,banned_cards,j_cavendish,
c_non_perishable_1,banned_cards,j_turtle_bean,
c_non_perishable_1,banned_cards,j_ramen,
c_non_perishable_1,banned_cards,j_diet_cola,
c_non_perishable_1,banned_cards,j_selzer,
c_non_perishable_1,banned_cards,j_popcorn,
c_non_perishable_1,banned_cards,j_mr_bones,
c_non_perishable_1,banned_cards,j_invisible,
c_non_perishable_1,banned_cards,j_luchador,
c_non_perishable_1,banned_other,bl_final_leaf,blind
c_double_nothing_1,custom,debuff_played_cards,
c_typecast_1,custom,set_eternal_ante,4
c_typecast_1,custom,set_joker_slots_ante,4
c_typecast_1,banned_other,bl_final_leaf,blind
c_inflation_1,custom,inflation,
c_inflation_1,banned_cards,v_clearance_sale,
c_inflation_1,banned_cards,v_liquidation,
c_bram_poker_1,custom,no_shop_jokers,
c_fragile_1,banned_cards,c_magician,
c_fragile_1,banned_cards,c_empress,
c_fragile_1,banned_cards,c_heirophant,
c_fragile_1,banned_cards,c_chariot,
c_fragile_1,banned_cards,c_devil,
c_fragile_1,banned_cards,c_tower,
c_fragile_1,banned_cards,c_lovers,
c_fragile_1,banned_cards,c_incantation,
c_fragile_1,banned_cards,c_grim,
c_fragile_1,banned_cards,c_familiar,
c_fragile_1,banned_cards,p_standard_normal_1,
c_fragile_1,banned_cards,j_marble,
c_fragile_1,banned_cards,j_vampire,
c_fragile_1,banned_cards,j_midas_mask,
c_fragile_1,banned_cards,j_certificate,
c_fragile_1,banned_cards,v_magic_trick,
c_fragile_1,banned_cards,v_illusion,
c_fragile_1,banned_tags,tag_standard,
c_blast_off_1,modifiers,hands,2
c_blast_off_1,modifiers,discards,2
c_blast_off_1,modifiers,joker_slots,4
c_blast_off_1,banned_cards,v_grabber,
c_blast_off_1,banned_cards,v_nacho_tong,
c_blast_off_1,banned_cards,j_burglar,
c_five_card_1,modifiers,hand_size,5
c_five_card_1,modifiers,joker_slots,7
c_five_card_1,modifiers,discards,6
c_five_card_1,banned_cards,j_juggler,
c_five_card_1,banned_cards,j_troubadour,
c_five_card_1,banned_cards,j_turtle_bean,
c_golden_needle_1,custom,discard_cost,1
c_golden_needle_1,modifiers,hands,1
c_golden_needle_1,modifiers,discards,6
c_golden_needle_1,modifiers,dollars,10
c_golden_needle_1,banned_cards,v_grabber,
c_golden_needle_1,banned_cards,v_nacho_tong,
c_golden_needle_1,banned_cards,j_burglar,
c_cruelty_1,custom,no_reward_specific,Small
c_cruelty_1,custom,no_reward_specific,Big
c_cruelty_1,modifiers,joker_slots,3
c_jokerless_1,custom,no_shop_jokers,
c_jokerless_1,modifiers,joker_slots,0
c_jokerless_1,banned_cards,c_judgement,
c_jokerless_1,banned_cards,c_wraith,
c_jokerless_1,banned_cards,c_soul,
c_jokerless_1,banned_cards,v_antimatter,
c_jokerless_1,banned_cards,p_buffoon_normal_1,
c_jokerless_1,banned_tags,tag_rare,
c_jokerless_1,banned_tags,tag_uncommon,
c_jokerless_1,banned_tags,tag_holo,
c_jokerless_1,banned_tags,tag_polychrome,
c_jokerless_1,banned_tags,tag_negative,
c_jokerless_1,banned_tags,tag_foil,
c_jokerless_1,banned_tags,tag_buffoon,
c_jokerless_1,banned_tags,tag_top_up,
c_jokerless_1,banned_other,bl_final_acorn,blind
c_jokerless_1,banned_other,bl_final_heart,blind
c_jokerless_1,banned_other,bl_final_leaf,blind
