key,name,pos.x,pos.y,suit,value
C_2,2 of Clubs,0,1,Clubs,2
C_3,3 of Clubs,1,1,Clubs,3
C_4,4 of Clubs,2,1,Clubs,4
C_5,5 of Clubs,3,1,Clubs,5
C_6,6 of Clubs,4,1,Clubs,6
C_7,7 of Clubs,5,1,Clubs,7
C_8,8 of Clubs,6,1,Clubs,8
C_9,9 of Clubs,7,1,Clubs,9
C_A,Ace of Clubs,12,1,Clubs,Ace
C_J,Jack of Clubs,9,1,Clubs,Jack
C_K,King of Clubs,11,1,Clubs,King
C_Q,Queen of Clubs,10,1,Clubs,Queen
C_T,10 of Clubs,8,1,Clubs,10
D_2,2 of Diamonds,0,2,Diamonds,2
D_3,3 of Diamonds,1,2,Diamonds,3
D_4,4 of Diamonds,2,2,Diamonds,4
D_5,5 of Diamonds,3,2,Diamonds,5
D_6,6 of Diamonds,4,2,Diamonds,6
D_7,7 of Diamonds,5,2,Diamonds,7
D_8,8 of Diamonds,6,2,Diamonds,8
D_9,9 of Diamonds,7,2,Diamonds,9
D_A,Ace of Diamonds,12,2,Diamonds,Ace
D_J,Jack of Diamonds,9,2,Diamonds,Jack
D_K,King of Diamonds,11,2,Diamonds,King
D_Q,Queen of Diamonds,10,2,Diamonds,Queen
D_T,10 of Diamonds,8,2,Diamonds,10
H_2,2 of Hearts,0,0,Hearts,2
H_3,3 of Hearts,1,0,Hearts,3
H_4,4 of Hearts,2,0,Hearts,4
H_5,5 of Hearts,3,0,Hearts,5
H_6,6 of Hearts,4,0,Hearts,6
H_7,7 of Hearts,5,0,Hearts,7
H_8,8 of Hearts,6,0,Hearts,8
H_9,9 of Hearts,7,0,Hearts,9
H_A,Ace of Hearts,12,0,Hearts,Ace
H_J,Jack of Hearts,9,0,Hearts,Jack
H_K,King of Hearts,11,0,Hearts,King
H_Q,Queen of Hearts,10,0,Hearts,Queen
H_T,10 of Hearts,8,0,Hearts,10
S_2,2 of Spades,0,3,Spades,2
S_3,3 of Spades,1,3,Spades,3
S_4,4 of Spades,2,3,Spades,4
S_5,5 of Spades,3,3,Spades,5
S_6,6 of Spades,4,3,Spades,6
S_7,7 of Spades,5,3,Spades,7
S_8,8 of Spades,6,3,Spades,8
S_9,9 of Spades,7,3,Spades,9
S_A,Ace of Spades,12,3,Spades,Ace
S_J,Jack of Spades,9,3,Spades,Jack
S_K,King of Spades,11,3,Spades,King
S_Q,Queen of Spades,10,3,Spades,Queen
S_T,10 of Spades,8,3,Spades,10
