key,中文名,英文名,config.hand_type,config.softlock,consumeable,cost,cost_mult,discovered,effect,freq,name,order,pos.x,pos.y,set
c_ceres,谷神星,Ceres,Flush House,True,True,3,1.0,False,Hand Upgrade,1,Ceres,11,8,2,Planet
c_earth,地球,Earth,Full House,,True,3,1.0,False,Hand Upgrade,1,Earth,3,2,3,Planet
c_eris,阋神星,Eris,Flush Five,True,True,3,1.0,False,Hand Upgrade,1,Eris,12,3,2,Planet
c_jupiter,木星,Jupiter,Flush,,True,3,1.0,False,Hand Upgrade,1,Jupiter,5,4,3,Planet
c_mars,火星,Mars,Four of a Kind,,True,3,1.0,False,Hand Upgrade,1,Mars,4,3,3,Planet
c_mercury,水星,Mercury,Pair,,True,3,1.0,False,Hand Upgrade,1,Mercury,1,0,3,Planet
c_neptune,海王星,Neptune,Straight Flush,,True,3,1.0,False,Hand Upgrade,1,Neptune,8,7,3,Planet
c_planet_x,X行星,Planet X,Five of a Kind,True,True,3,1.0,False,Hand Upgrade,1,Planet X,10,9,2,Planet
c_pluto,冥王星,Pluto,High Card,,True,3,1.0,False,Hand Upgrade,1,Pluto,9,8,3,Planet
c_saturn,土星,Saturn,Straight,,True,3,1.0,False,Hand Upgrade,1,Saturn,6,5,3,Planet
c_uranus,天王星,Uranus,Two Pair,,True,3,1.0,False,Hand Upgrade,1,Uranus,7,6,3,Planet
c_venus,金星,Venus,Three of a Kind,,True,3,1.0,False,Hand Upgrade,1,Venus,2,1,3,Planet
