key,中文名,英文名,售价,卖价,档位,前置券,升级为,生效方式,生效字段,查询点,中文描述,英文描述,数值参数,占位变量取值,loc_vars原式,默认解锁,order,代码出处,图片
v_overstock_norm,库存过剩,Overstock,10,5,基础,,v_overstock_plus,apply_to_run 即时改全局,G.E_MANAGER:add_event() ; change_shop_size(),,商店內 卡牌槽位+1,+1 card slot available in shop,,,,是,1,card.lua:1887 ; functions/common_events.lua:2620,图片资源/Voucher/v_overstock_norm.png
v_overstock_plus,库存过剩加强版,Overstock Plus,10,5,升级,v_overstock_norm,,apply_to_run 即时改全局,G.E_MANAGER:add_event() ; change_shop_size(),,商店内 卡牌槽位+1,+1 card slot available in shop,,,,,2,card.lua:1887 ; functions/common_events.lua:2620,图片资源/Voucher/v_overstock_plus.png
v_clearance_sale,清仓特卖,Clearance Sale,10,5,基础,,v_liquidation,apply_to_run 即时改全局,G.E_MANAGER:add_event() ; G.GAME.discount_percent,,所有卡牌、补充包和优惠券 在店内均可享受25%折扣,All cards and packs in shop are 25% off,extra=25,#1#=25,_c.config.extra,是,3,card.lua:1919,图片资源/Voucher/v_clearance_sale.png
v_liquidation,清算,Liquidation,10,5,升级,v_clearance_sale,,apply_to_run 即时改全局,G.E_MANAGER:add_event() ; G.GAME.discount_percent,,所有卡牌、补充包和优惠券 在店内均可享受50%折扣,All cards and packs in shop are 50% off,extra=50,#1#=50,_c.config.extra,,4,card.lua:1919,图片资源/Voucher/v_liquidation.png
v_hone,打磨,Hone,10,5,基础,,v_glow_up,apply_to_run 即时改全局,G.E_MANAGER:add_event() ; G.GAME.edition_rate,,闪箔卡、镭射卡和 多彩卡 出现频率X2,"Foil, Holographic, and Polychrome cards appear 2X more often",extra=2,#1#=2,_c.config.extra,是,5,card.lua:1902,图片资源/Voucher/v_hone.png
v_glow_up,焕彩,Glow Up,10,5,升级,v_hone,,apply_to_run 即时改全局,G.E_MANAGER:add_event() ; G.GAME.edition_rate,,闪箔卡、镭射卡和 多彩卡 出现频率X4,"Foil, Holographic, and Polychrome cards appear 4X more often",extra=4,#1#=4,_c.config.extra,,6,card.lua:1902,图片资源/Voucher/v_glow_up.png
v_reroll_surplus,多次重掷,Reroll Surplus,10,5,基础,,v_reroll_glut,apply_to_run 即时改全局,G.E_MANAGER:add_event() ; G.GAME.round_resets.reroll_cost ; G.GAME.current_round.reroll_cost,,重掷费用 减少$2,Rerolls cost $2 less,extra=2,#1#=2,_c.config.extra,是,7,card.lua:1927,图片资源/Voucher/v_reroll_surplus.png
v_reroll_glut,重掷加強版,Reroll Glut,10,5,升级,v_reroll_surplus,,apply_to_run 即时改全局,G.E_MANAGER:add_event() ; G.GAME.round_resets.reroll_cost ; G.GAME.current_round.reroll_cost,,重掷费用 减少$2,Rerolls cost $2 less,extra=2,#1#=2,_c.config.extra,,8,card.lua:1927,图片资源/Voucher/v_reroll_glut.png
v_crystal_ball,水晶球,Crystal Ball,10,5,基础,,v_omen_globe,apply_to_run 即时改全局,G.E_MANAGER:add_event() ; G.consumeables.config.card_limit,,消耗牌槽位+1,+1 consumable slot,extra=3,,,是,9,card.lua:1914,图片资源/Voucher/v_crystal_ball.png
v_omen_globe,预兆球,Omen Globe,10,5,升级,v_crystal_ball,,被动查询 used_vouchers,,card.lua:1733,幻灵牌可能 会在任何 秘术包中出现,Spectral cards may appear in any of the Arcana Packs,extra=4,,,,10,,图片资源/Voucher/v_omen_globe.png
