key,中文名,英文名,售价,卖价,作用类型,生效方式,需选牌数,转换目标,消耗所选牌,中文描述,英文描述,数值参数,占位变量取值,loc_vars原式,默认解锁,order,代码出处,图片
c_fool,愚者,The Fool,3,1,专属逻辑,use_consumeable 按名字,不需选牌,,,生成本赛局中 上一次使用的 塔罗牌或星球牌 不包括愚者,Creates the last Tarot or Planet card used during this run The Fool excluded,,#1#=last_tarot_planet,last_tarot_planet,是,1,card.lua:1374 ; card.lua:1555 ; functions/common_events.lua:2719 ; functions/common_events.lua:2722,图片资源/Tarot/c_fool.png
c_magician,魔术师,The Magician,3,1,转强化,配置驱动,1~2,m_lucky,,增强2张 选定卡牌成为 幸运牌,Enhances 2 selected cards to 幸运牌s,max_highlighted=2; mod_conv=m_lucky,#1#=2 | #2#=幸运牌,"_c.config.max_highlighted, localize{type = 'name_text', set = 'Enhanced', key = _c.config.mod_conv}",是,2,,图片资源/Tarot/c_magician.png
c_high_priestess,女祭司,The High Priestess,3,1,产出星球,配置驱动,不需选牌,,,生成最多2张 张随机星球牌 （必须有空位）,Creates up to 2 random Planet cards (Must have room),planets=2,#1#=2,_c.config.planets,是,3,card.lua:1402 ; card.lua:1407 ; card.lua:1552,图片资源/Tarot/c_high_priestess.png
c_empress,皇后,The Empress,3,1,转强化,配置驱动,1~2,m_mult,,增强2张 选定卡牌成为 倍率牌,Enhances 2 selected cards to 倍率牌s,max_highlighted=2; mod_conv=m_mult,#1#=2 | #2#=倍率牌,"_c.config.max_highlighted, localize{type = 'name_text', set = 'Enhanced', key = _c.config.mod_conv}",是,4,functions/state_events.lua:1495,图片资源/Tarot/c_empress.png
c_emperor,皇帝,The Emperor,3,1,产出塔罗,配置驱动,不需选牌,,,生成最多2张 随机塔罗牌 （必须有空位）,Creates up to 2 random Tarot cards (Must have room),tarots=2,#1#=2,_c.config.tarots,是,5,card.lua:1402 ; card.lua:1407 ; card.lua:1552,图片资源/Tarot/c_emperor.png
c_heirophant,教皇,The Hierophant,3,1,转强化,配置驱动,1~2,m_bonus,,增强2张 选定卡牌成为 奖励牌,Enhances 2 selected cards to 奖励牌s,max_highlighted=2; mod_conv=m_bonus,#1#=2 | #2#=奖励牌,"_c.config.max_highlighted, localize{type = 'name_text', set = 'Enhanced', key = _c.config.mod_conv}",是,6,,图片资源/Tarot/c_heirophant.png
c_lovers,恋人,The Lovers,3,1,转强化,配置驱动,1~1,m_wild,,增强1张 选定卡牌成为 万能牌,Enhances 1 selected card into a 万能牌,max_highlighted=1; mod_conv=m_wild,#1#=1 | #2#=万能牌,"_c.config.max_highlighted, localize{type = 'name_text', set = 'Enhanced', key = _c.config.mod_conv}",是,7,,图片资源/Tarot/c_lovers.png
c_chariot,战车,The Chariot,3,1,转强化,配置驱动,1~1,m_steel,,增强1张 选定卡牌成为 钢铁牌,Enhances 1 selected card into a 钢铁牌,max_highlighted=1; mod_conv=m_steel,#1#=1 | #2#=钢铁牌,"_c.config.max_highlighted, localize{type = 'name_text', set = 'Enhanced', key = _c.config.mod_conv}",是,8,,图片资源/Tarot/c_chariot.png
c_justice,正义,Justice,3,1,转强化,配置驱动,1~1,m_glass,,增强1张 选定卡牌成为 玻璃牌,Enhances 1 selected card into a 玻璃牌,max_highlighted=1; mod_conv=m_glass,#1#=1 | #2#=玻璃牌,"_c.config.max_highlighted, localize{type = 'name_text', set = 'Enhanced', key = _c.config.mod_conv}",是,9,,图片资源/Tarot/c_justice.png
c_hermit,隐者,The Hermit,3,1,专属逻辑,use_consumeable 按名字,不需选牌,,,资金加倍 （最高$20）,Doubles money (Max of $20),extra=20,#1#=20,_c.config.extra,是,10,card.lua:1386 ; card.lua:1532,图片资源/Tarot/c_hermit.png
c_wheel_of_fortune,命运之轮,The Wheel of Fortune,3,1,专属逻辑,use_consumeable 按名字,不需选牌,,,有<运行时>/4几率 给一张随机小丑牌 添加闪箔、镭射 或多彩版本,"<运行时> in 4 chance to add Foil, Holographic, or Polychrome edition to a random Joker",extra=4,#1#=<运行时> | #2#=4,"G.GAME.probabilities.normal, _c.config.extra",是,11,card.lua:1468 ; card.lua:1469 ; card.lua:1475 ; card.lua:1484,图片资源/Tarot/c_wheel_of_fortune.png
c_strength,力量,Strength,3,1,转强化,配置驱动,1~2,up_rank,,将最多2张 选定卡牌 点数提高1,Increases rank of up to 2 selected cards by 1,max_highlighted=2; mod_conv=up_rank,#1#=2,_c.config.max_highlighted,是,12,card.lua:1122,图片资源/Tarot/c_strength.png
c_hanged_man,倒吊人,The Hanged Man,3,1,消耗所选牌,配置驱动,1~2,,是,摧毁最多2张 选定卡牌,Destroys up to 2 selected cards,max_highlighted=2; remove_card=True,#1#=2,_c.config.max_highlighted,是,13,card.lua:1272 ; card.lua:2712,图片资源/Tarot/c_hanged_man.png
c_death,死神,Death,3,1,转强化,配置驱动,2~2,card,,选定2张卡牌， 将靠左的那张牌 变成靠右的那张牌 （你可以拖动来改变位置）,"Select 2 cards, convert the left card into the right card (Drag to rearrange)",max_highlighted=2; min_highlighted=2; mod_conv=card,#1#=2,_c.config.max_highlighted,是,14,card.lua:1112,图片资源/Tarot/c_death.png
c_temperance,节制,Temperance,3,1,专属逻辑,use_consumeable 按名字,不需选牌,,,"获得拥有的小丑牌 售出价格总和的 资金（最高$50） （当前$math.min(50, _money)）","Gives the total sell value of all current Jokers (Max of $50) (Currently $math.min(50, _money))",extra=50,"#1#=50 | #2#=math.min(50, _money)","_c.config.extra, math.min(_c.config.extra, _money)",是,15,card.lua:1394 ; card.lua:1532 ; card.lua:4170 ; card.lua:4253,图片资源/Tarot/c_temperance.png
c_devil,恶魔,The Devil,3,1,转强化,配置驱动,1~1,m_gold,,增强1张 选定卡牌成为 黄金牌,Enhances 1 selected card into a 黄金牌,max_highlighted=1; mod_conv=m_gold,#1#=1 | #2#=黄金牌,"_c.config.max_highlighted, localize{type = 'name_text', set = 'Enhanced', key = _c.config.mod_conv}",是,16,,图片资源/Tarot/c_devil.png
c_tower,塔,The Tower,3,1,转强化,配置驱动,1~1,m_stone,,增强1张 选定卡牌成为 石头牌,Enhances 1 selected card into a 石头牌,max_highlighted=1; mod_conv=m_stone,#1#=1 | #2#=石头牌,"_c.config.max_highlighted, localize{type = 'name_text', set = 'Enhanced', key = _c.config.mod_conv}",是,17,,图片资源/Tarot/c_tower.png
c_star,星星,The Star,3,1,转花色,配置驱动,1~3,Diamonds,,将最多3张 选定卡牌 转换为方片,Converts up to 3 selected cards to 方片,max_highlighted=3; suit_conv=Diamonds,#1#=3 | #2#=方片 | #3#=<运行时>,"_c.config.max_highlighted,  localize(_c.config.suit_conv, 'suits_plural'), colours = {G.C.SUITS[_c.config.suit_conv]}",是,18,,图片资源/Tarot/c_star.png
