key,中文名,英文名,稀有度,售价,卖价,效果类型,生效方式,通用规则,通用规则说明,触发时机,成长型,中文描述,英文描述,数值参数,占位变量取值,loc_vars原式,蓝图可复制,永恒可,易腐可,默认解锁,解锁条件类型,解锁条件,order,代码出处,图片,描述模板_中文
j_joker,小丑,Joker,1-普通,2,1,Mult,calculate_joker 按名字,,,小丑区 > 计分主阶段,,+4倍率,+4 Mult,mult=4,#1#=4,self.ability.mult,是,是,是,是,,,1,card.lua:80 ; card.lua:165 ; card.lua:168 ; card.lua:169,图片资源/Joker/j_joker.png,"{C:red,s:1.1}+#1#{}倍率"
j_greedy_joker,贪婪小丑,Greedy Joker,1-普通,5,2,Suit Mult,通用规则,花色倍率,"按 config.extra.suit 匹配计分牌花色,给 extra.s_mult 倍率",逐张计分 > 计分区,,打出的 Diamonds花色牌 在计分时给予+3倍率,Played cards with Diamonds suit give +3 Mult when scored,extra.s_mult=3; extra.suit=Diamonds,#1#=3 | #2#=Diamonds,"self.ability.extra.s_mult, localize(self.ability.extra.suit, 'suits_singular')",是,是,是,是,,,2,,图片资源/Joker/j_greedy_joker.png,打出的 {C:diamonds}#2#{}花色牌 在计分时给予{C:mult}+#1#{}倍率
j_lusty_joker,色欲小丑,Lusty Joker,1-普通,5,2,Suit Mult,通用规则,花色倍率,"按 config.extra.suit 匹配计分牌花色,给 extra.s_mult 倍率",逐张计分 > 计分区,,打出的 Hearts花色牌 在计分时给予+3倍率,Played cards with Hearts suit give +3 Mult when scored,extra.s_mult=3; extra.suit=Hearts,#1#=3 | #2#=Hearts,"self.ability.extra.s_mult, localize(self.ability.extra.suit, 'suits_singular')",是,是,是,是,,,3,,图片资源/Joker/j_lusty_joker.png,打出的 {C:hearts}#2#{}花色牌 在计分时给予{C:mult}+#1#{}倍率
j_wrathful_joker,愤怒小丑,Wrathful Joker,1-普通,5,2,Suit Mult,通用规则,花色倍率,"按 config.extra.suit 匹配计分牌花色,给 extra.s_mult 倍率",逐张计分 > 计分区,,打出的 Spades花色牌 在计分时给予+3倍率,Played cards with Spades suit give +3 Mult when scored,extra.s_mult=3; extra.suit=Spades,#1#=3 | #2#=Spades,"self.ability.extra.s_mult, localize(self.ability.extra.suit, 'suits_singular')",是,是,是,是,,,4,,图片资源/Joker/j_wrathful_joker.png,打出的 {C:spades}#2#{}花色牌 在计分时给予{C:mult}+#1#{}倍率
j_gluttenous_joker,暴食小丑,Gluttonous Joker,1-普通,5,2,Suit Mult,通用规则,花色倍率,"按 config.extra.suit 匹配计分牌花色,给 extra.s_mult 倍率",逐张计分 > 计分区,,打出的 Clubs花色牌 在计分时给予+3倍率,Played cards with Clubs suit give +3 Mult when scored,extra.s_mult=3; extra.suit=Clubs,#1#=3 | #2#=Clubs,"self.ability.extra.s_mult, localize(self.ability.extra.suit, 'suits_singular')",是,是,是,是,,,5,,图片资源/Joker/j_gluttenous_joker.png,打出的 {C:clubs}#2#{}花色牌 在计分时给予{C:mult}+#1#{}倍率
j_jolly,开心小丑,Jolly Joker,1-普通,3,1,Type Mult,通用规则,牌型倍率,"打出的牌含 config.type 牌型时,给 config.t_mult 加倍率",小丑区 > 计分主阶段,,如果打出的牌中 包含Pair +8倍率,+8 Mult if played hand contains a Pair,t_mult=8; type=Pair,#1#=8 | #2#=Pair,"self.ability.t_mult, localize(self.ability.type, 'poker_hands')",是,是,是,是,,,6,,图片资源/Joker/j_jolly.png,如果打出的牌中 包含{C:attention}#2#{} {C:red}+#1#{}倍率
j_zany,古怪小丑,Zany Joker,1-普通,4,2,Type Mult,通用规则,牌型倍率,"打出的牌含 config.type 牌型时,给 config.t_mult 加倍率",小丑区 > 计分主阶段,,如果打出的牌中 包含Three of a Kind +12倍率,+12 Mult if played hand contains a Three of a Kind,t_mult=12; type=Three of a Kind,#1#=12 | #2#=Three of a Kind,"self.ability.t_mult, localize(self.ability.type, 'poker_hands')",是,是,是,是,,,7,,图片资源/Joker/j_zany.png,如果打出的牌中 包含{C:attention}#2#{} {C:red}+#1#{}倍率
j_mad,疯狂小丑,Mad Joker,1-普通,4,2,Type Mult,通用规则,牌型倍率,"打出的牌含 config.type 牌型时,给 config.t_mult 加倍率",小丑区 > 计分主阶段,,如果打出的牌中 包含Two Pair +10倍率,+10 Mult if played hand contains a Two Pair,t_mult=10; type=Two Pair,#1#=10 | #2#=Two Pair,"self.ability.t_mult, localize(self.ability.type, 'poker_hands')",是,是,是,是,,,8,,图片资源/Joker/j_mad.png,如果打出的牌中 包含{C:attention}#2#{} {C:red}+#1#{}倍率
j_crazy,狂野小丑,Crazy Joker,1-普通,4,2,Type Mult,通用规则,牌型倍率,"打出的牌含 config.type 牌型时,给 config.t_mult 加倍率",小丑区 > 计分主阶段,,如果打出的牌中 包含Straight +12倍率,+12 Mult if played hand contains a Straight,t_mult=12; type=Straight,#1#=12 | #2#=Straight,"self.ability.t_mult, localize(self.ability.type, 'poker_hands')",是,是,是,是,,,9,,图片资源/Joker/j_crazy.png,如果打出的牌中 包含{C:attention}#2#{} {C:red}+#1#{}倍率
j_droll,滑稽小丑,Droll Joker,1-普通,4,2,Type Mult,通用规则,牌型倍率,"打出的牌含 config.type 牌型时,给 config.t_mult 加倍率",小丑区 > 计分主阶段,,如果打出的牌中 包含Flush +10倍率,+10 Mult if played hand contains a Flush,t_mult=10; type=Flush,#1#=10 | #2#=Flush,"self.ability.t_mult, localize(self.ability.type, 'poker_hands')",是,是,是,是,,,10,,图片资源/Joker/j_droll.png,如果打出的牌中 包含{C:attention}#2#{} {C:red}+#1#{}倍率
j_sly,奸诈小丑,Sly Joker,1-普通,3,1,,通用规则,牌型筹码,"打出的牌含 config.type 牌型时,给 config.t_chips 加筹码",小丑区 > 计分主阶段,,如果打出的牌中 包含Pair +50筹码,+50 Chips if played hand contains a Pair,t_chips=50; type=Pair,#1#=50 | #2#=Pair,"self.ability.t_chips, localize(self.ability.type, 'poker_hands')",是,是,是,是,,,11,,图片资源/Joker/j_sly.png,如果打出的牌中 包含{C:attention}#2# {C:chips}+#1#{}筹码
j_wily,狡猾小丑,Wily Joker,1-普通,4,2,,通用规则,牌型筹码,"打出的牌含 config.type 牌型时,给 config.t_chips 加筹码",小丑区 > 计分主阶段,,如果打出的牌中 包含Three of a Kind +100筹码,+100 Chips if played hand contains a Three of a Kind,t_chips=100; type=Three of a Kind,#1#=100 | #2#=Three of a Kind,"self.ability.t_chips, localize(self.ability.type, 'poker_hands')",是,是,是,是,,,12,,图片资源/Joker/j_wily.png,如果打出的牌中 包含{C:attention}#2# {C:chips}+#1#{}筹码
j_clever,聪敏小丑,Clever Joker,1-普通,4,2,,通用规则,牌型筹码,"打出的牌含 config.type 牌型时,给 config.t_chips 加筹码",小丑区 > 计分主阶段,,如果打出的牌中 包含Two Pair +80筹码,+80 Chips if played hand contains a Two Pair,t_chips=80; type=Two Pair,#1#=80 | #2#=Two Pair,"self.ability.t_chips, localize(self.ability.type, 'poker_hands')",是,是,是,是,,,13,,图片资源/Joker/j_clever.png,如果打出的牌中 包含{C:attention}#2# {C:chips}+#1#{}筹码
j_devious,阴险小丑,Devious Joker,1-普通,4,2,,通用规则,牌型筹码,"打出的牌含 config.type 牌型时,给 config.t_chips 加筹码",小丑区 > 计分主阶段,,如果打出的牌中 包含Straight +100筹码,+100 Chips if played hand contains a Straight,t_chips=100; type=Straight,#1#=100 | #2#=Straight,"self.ability.t_chips, localize(self.ability.type, 'poker_hands')",是,是,是,是,,,14,,图片资源/Joker/j_devious.png,如果打出的牌中 包含{C:attention}#2# {C:chips}+#1#{}筹码
j_crafty,精明小丑,Crafty Joker,1-普通,4,2,,通用规则,牌型筹码,"打出的牌含 config.type 牌型时,给 config.t_chips 加筹码",小丑区 > 计分主阶段,,如果打出的牌中 包含Flush +80筹码,+80 Chips if played hand contains a Flush,t_chips=80; type=Flush,#1#=80 | #2#=Flush,"self.ability.t_chips, localize(self.ability.type, 'poker_hands')",是,是,是,是,,,15,,图片资源/Joker/j_crafty.png,如果打出的牌中 包含{C:attention}#2# {C:chips}+#1#{}筹码
