key,中文名,英文名,售价,卖价,作用类型,生效方式,需选牌数,转换目标,消耗所选牌,中文描述,英文描述,数值参数,占位变量取值,loc_vars原式,默认解锁,order,代码出处,图片
c_familiar,使魔,Familiar,4,2,消耗所选牌,配置驱动,不需选牌,,是,随机摧毁1张手牌 并添加3张 随机增强的人头牌 到手牌中,"Destroy 1 random card in your hand, add 3 random Enhanced face cards to your hand",extra=3; remove_card=True,#1#=3,_c.config.extra,是,1,card.lua:1293 ; card.lua:1320 ; card.lua:1572,图片资源/Spectral/c_familiar.png
c_grim,严峻,Grim,4,2,消耗所选牌,配置驱动,不需选牌,,是,随机摧毁1张手牌 并添加2张 随机增强的A 到手牌中,"Destroy 1 random card in your hand, add 2 random Enhanced Aces to your hand",extra=2; remove_card=True,#1#=2,_c.config.extra,是,2,card.lua:1293 ; card.lua:1323 ; card.lua:1572,图片资源/Spectral/c_grim.png
c_incantation,咒语,Incantation,4,2,消耗所选牌,配置驱动,不需选牌,,是,随机摧毁1张手牌 并添加4张 随机增强的数字牌 到手牌中,"Destroy 1 random card in your hand, add 4 random Enhanced numbered cards to your hand",extra=4; remove_card=True,#1#=4,_c.config.extra,是,3,card.lua:1293 ; card.lua:1326 ; card.lua:1573,图片资源/Spectral/c_incantation.png
c_talisman,护身符,Talisman,4,2,专属逻辑,use_consumeable 按名字,1~1,,,将金色蜡封添加到 1张选定的 手牌中,Add a Gold Seal to 1 selected card in your hand,extra=Gold; max_highlighted=1,,,是,4,card.lua:1179 ; functions/common_events.lua:2687,图片资源/Spectral/c_talisman.png
c_aura,光环,Aura,4,2,专属逻辑,use_consumeable 按名字,不需选牌,,,选定1张手牌，为其添加 闪箔卡、镭射卡、或多彩卡 效果中的一种,"Add Foil, Holographic, or Polychrome effect to 1 selected card in hand",,,,是,5,card.lua:1193 ; card.lua:1546 ; functions/common_events.lua:2706,图片资源/Spectral/c_aura.png
c_wraith,幽灵,Wraith,4,2,专属逻辑,use_consumeable 按名字,不需选牌,,,生成一张随机的 稀有小丑牌 将资金变为$0,"Creates a random Rare Joker, sets money to $0",,,,是,6,card.lua:1455 ; card.lua:1559,图片资源/Spectral/c_wraith.png
c_sigil,符印,Sigil,4,2,专属逻辑,use_consumeable 按名字,不需选牌,,,将手中所有 卡牌转换为同一种 随机花色,Converts all cards in hand to a single random suit,,,,是,7,card.lua:1223 ; card.lua:1233 ; card.lua:1574,图片资源/Spectral/c_sigil.png
c_ouija,占卜,Ouija,4,2,专属逻辑,use_consumeable 按名字,不需选牌,,,将手中所有 手持牌转换为同一个 随机点数 手牌上限-1,Converts all cards in hand to a single random rank -1 hand size,,,,是,8,card.lua:1223 ; card.lua:1247 ; card.lua:1574,图片资源/Spectral/c_ouija.png
c_ectoplasm,灵质,Ectoplasm,4,2,专属逻辑,use_consumeable 按名字,不需选牌,,,添加负片效果到 一张随机的小丑牌 手牌上限-<运行时>,"Add Negative to a random Joker, -<运行时> hand size",,#1#=<运行时>,G.GAME.ecto_minus or 1,是,9,card.lua:1468 ; card.lua:1470 ; card.lua:1471 ; card.lua:1476,图片资源/Spectral/c_ectoplasm.png
c_immolate,火祭,Immolate,4,2,消耗所选牌,配置驱动,不需选牌,,是,随机摧毁 5张手牌 获得$20,"Destroys 5 random cards in hand, gain $20",extra.destroy=5; extra.dollars=20; remove_card=True,#1#=5 | #2#=20,"_c.config.extra.destroy, _c.config.extra.dollars",是,10,card.lua:1341 ; card.lua:1573,图片资源/Spectral/c_immolate.png
c_ankh,生命十字章,Ankh,4,2,专属逻辑,use_consumeable 按名字,不需选牌,,,随机复制一张 小丑牌，摧毁 其他小丑牌,"Create a copy of a random Joker, destroy all other Jokers",extra=2,,,是,11,card.lua:1427 ; card.lua:1538 ; card.lua:1584 ; functions/common_events.lua:2691,图片资源/Spectral/c_ankh.png
c_deja_vu,既视感,Deja Vu,4,2,专属逻辑,use_consumeable 按名字,1~1,,,给你手牌中的 1张所选卡牌 加上红色蜡封,Add a Red Seal to 1 selected card in your hand,extra=Red; max_highlighted=1,,,是,12,card.lua:1179 ; functions/common_events.lua:2688,图片资源/Spectral/c_deja_vu.png
c_hex,妖法,Hex,4,2,专属逻辑,use_consumeable 按名字,不需选牌,,,随机为一张小丑牌添加 多彩，摧毁 其他小丑牌,"Add Polychrome to a random Joker, destroy all other Jokers",extra=2,,,是,13,card.lua:1468 ; card.lua:1470 ; card.lua:1471 ; card.lua:1477,图片资源/Spectral/c_hex.png
c_trance,入迷,Trance,4,2,专属逻辑,use_consumeable 按名字,1~1,,,给你手牌中的 1张所选卡牌 加上蓝色蜡封,Add a Blue Seal to 1 selected card in your hand,extra=Blue; max_highlighted=1,,,是,14,card.lua:1179 ; functions/common_events.lua:2689,图片资源/Spectral/c_trance.png
c_medium,灵媒,Medium,4,2,专属逻辑,use_consumeable 按名字,1~1,,,给你手牌中的 1张所选卡牌 加上紫色蜡封,Add a Purple Seal to 1 selected card in your hand,extra=Purple; max_highlighted=1,,,是,15,card.lua:1179 ; functions/common_events.lua:2690,图片资源/Spectral/c_medium.png
c_cryptid,神秘生物,Cryptid,4,2,专属逻辑,use_consumeable 按名字,1~1,,,选定手牌中的1张牌 生成2张其复制牌,Create 2 copies of 1 selected card in your hand,extra=2; max_highlighted=1,#1#=2,_c.config.extra,是,16,card.lua:1202,图片资源/Spectral/c_cryptid.png
c_soul,灵魂,The Soul,4,2,专属逻辑,use_consumeable 按名字,不需选牌,,,生成一张 传奇小丑牌 （必须有空位）,Creates a Legendary Joker (Must have room),,,,是,17,card.lua:1416 ; card.lua:1419 ; card.lua:1422 ; card.lua:1559,图片资源/Spectral/c_soul.png
c_black_hole,黑洞,Black Hole,4,2,专属逻辑,use_consumeable 按名字,不需选牌,,,所有牌型 提升1级,Upgrade every poker hand by 1 level,,,,是,18,card.lua:1154 ; card.lua:1532 ; functions/common_events.lua:2061,图片资源/Spectral/c_black_hole.png
