bundle,骨架,格式,动画名,时长秒,帧数,循环,时间线数
$28510_f_TravelPassTipsTrait,dragon_bones/gp/result_gold_ske,DragonBones,gold1,1.033,31,否,17
$28510_f_TravelPassTipsTrait,dragon_bones/gp/result_gold_ske,DragonBones,gold2,1.3,39,否,15
$28510_f_TravelPassTipsTrait,dragon_bones/gp/result_gold_ske,DragonBones,gold3,0.3,9,否,8
$28510_f_TravelPassTipsTrait,dragon_bones/result_gold_ske,DragonBones,gold1,1.033,31,否,17
$28510_f_TravelPassTipsTrait,dragon_bones/result_gold_ske,DragonBones,gold2,1.3,39,否,15
$28510_f_TravelPassTipsTrait,dragon_bones/result_gold_ske,DragonBones,gold3,0.3,9,否,8
$28510_f_TravelPassTipsTrait,dragon_bones_new/GP/result_gold_ske,DragonBones,gold1,1.033,31,否,17
$28510_f_TravelPassTipsTrait,dragon_bones_new/GP/result_gold_ske,DragonBones,gold2,1.3,39,否,15
$28510_f_TravelPassTipsTrait,dragon_bones_new/GP/result_gold_ske,DragonBones,gold3,0.3,9,否,8
$28510_f_TravelPassTipsTrait,dragon_bones_new/result_gold_ske,DragonBones,gold1,1.033,31,否,17
$28510_f_TravelPassTipsTrait,dragon_bones_new/result_gold_ske,DragonBones,gold2,1.3,39,否,15
$28510_f_TravelPassTipsTrait,dragon_bones_new/result_gold_ske,DragonBones,gold3,0.3,9,否,8
AdSubScribePopModelTrait,dragonBones/gameplay_popup_kuang,Spine,init1,1.333,,,1
AdSubScribePopModelTrait,dragonBones/gameplay_popup_kuang,Spine,init2,1.333,,,2
AdSubScribePopModelTrait,dragonBones/gameplay_popup_xian,Spine,in1,1.0,,,4
AdSubScribePopModelTrait,dragonBones/gameplay_popup_xian,Spine,in2,0.8,,,6
AdSubScribePopModelTrait,dragonBones/gameplay_popup_xian,Spine,init1,0.0,,,1
AdSubScribePopModelTrait,dragonBones/gameplay_popup_xian,Spine,init2,0.0,,,1
AddChapterUnlockProcessTrait,dragonbones/gameplay_unlockSetting_ske,DragonBones,in,0.3,9,否,5
AddChapterUnlockProcessTrait,dragonbones/gameplay_unlockSetting_ske,DragonBones,init_lock,0.0,0,否,2
AddChapterUnlockProcessTrait,dragonbones/gameplay_unlockSetting_ske,DragonBones,init_unlock,0.0,0,否,3
AddChapterUnlockProcessTrait,dragonbones/gameplay_unlockSetting_ske,DragonBones,out,0.733,22,否,4
AddChapterUnlockProcessTrait,dragonbones/main_unlockBtn_ske,DragonBones,init,0.0,0,否,2
AddChapterUnlockProcessTrait,dragonbones/main_unlockBtn_ske,DragonBones,out,1.167,35,否,88
BorderGemCollectSpreadTrait,dragonbones/gameplay_gemsOut_ske,DragonBones,in,1.233,37,否,137
ChangeBlockSizeByProducerTrait,dragonbones/gameplay_gemBlock_ske,DragonBones,in_1,0.833,25,否,3
ChangeBlockSizeByProducerTrait,dragonbones/gameplay_gemBlock_ske,DragonBones,in_2,0.233,7,否,4
ChapterCollectPreClearEffectTrait,dragonbones/gameplay_eliminatePrompt_increment_ske,DragonBones,build_in_1_1,1.667,50,否,45
ChapterCollectPreClearEffectTrait,dragonbones/gameplay_eliminatePrompt_increment_ske,DragonBones,build_in_1_2,0.0,0,否,47
ChapterCollectPreClearEffectTrait,dragonbones/gameplay_eliminatePrompt_increment_ske,DragonBones,build_in_2_2,5.9,177,否,80
ChapterCollectPreClearEffectTrait,dragonbones/gameplay_eliminatePrompt_increment_ske,DragonBones,build_in_2_3,5.9,177,否,80
ChapterCollectPreClearEffectTrait,dragonbones/gameplay_eliminatePrompt_increment_ske,DragonBones,color_in_1,6.0,180,否,162
ChapterCollectPreClearEffectTrait,dragonbones/gameplay_eliminatePrompt_increment_ske,DragonBones,color_in_2,6.7,201,否,86
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine,10000,0.867,,,258
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine,10001,0.867,,,258
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine,10002,0.867,,,258
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine,10003,0.867,,,258
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine,10004,0.867,,,259
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine,10005,0.867,,,258
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine,10006,0.867,,,258
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine,10007,0.867,,,258
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine,10008,0.867,,,258
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine,10009,0.867,,,258
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine,10010,0.867,,,258
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine,10011,0.867,,,258
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine,10012,1.9,,,259
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine,10013,0.867,,,258
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine,10014,0.867,,,258
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine,10015,0.867,,,258
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine,10016,0.867,,,258
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine,10017,0.867,,,258
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine,10018,0.867,,,258
