bundle,资产路径,格式,骨架名,骨骼,插槽,皮肤,附件,动画数,总时长秒,图集页,贴图齐套,图集尺寸,贴图格式,实际尺寸,宽,高,落盘,文件
$28510_f_TravelPassTipsTrait,dragon_bones/gp/result_gold_ske,DragonBones 5.5,armatureName,14,12,1,10,3,2.63,1,是,349x204,PNG,349x204,383.36,114,骨架/$28510_f_TravelPassTipsTrait/dragon_bones/gp,3
$28510_f_TravelPassTipsTrait,dragon_bones/result_gold_ske,DragonBones 5.5,armatureName,14,12,1,10,3,2.63,1,是,499x174,PNG,499x174,348.74,114,骨架/$28510_f_TravelPassTipsTrait/dragon_bones,3
$28510_f_TravelPassTipsTrait,dragon_bones_new/GP/result_gold_ske,DragonBones 5.5,armatureName,14,12,1,10,3,2.63,1,是,512x256,PNG,512x256,383.36,114,骨架/$28510_f_TravelPassTipsTrait/dragon_bones_new/GP,3
$28510_f_TravelPassTipsTrait,dragon_bones_new/result_gold_ske,DragonBones 5.5,armatureName,14,12,1,10,3,2.63,1,是,512x256,PNG,512x256,348.74,114,骨架/$28510_f_TravelPassTipsTrait/dragon_bones_new,3
AdSubScribePopModelTrait,dragonBones/gameplay_popup_kuang,Spine 3.6.53,,2,2,1,2,2,2.67,1,是,300x296,PNG,300x296,0,0,骨架/AdSubScribePopModelTrait/dragonBones,3
AdSubScribePopModelTrait,dragonBones/gameplay_popup_xian,Spine 3.6.53,,11,3,1,3,4,1.8,1,是,783x140,PNG,783x140,274.15,508.7,骨架/AdSubScribePopModelTrait/dragonBones,3
AddChapterUnlockProcessTrait,dragonbones/gameplay_unlockSetting_ske,DragonBones 5.5,Armature,5,4,1,4,4,1.03,1,是,64x93,PNG,64x93,61,63.7,骨架/AddChapterUnlockProcessTrait/dragonbones,3
AddChapterUnlockProcessTrait,dragonbones/main_unlockBtn_ske,DragonBones 5.5,Armature,50,45,1,45,2,1.17,1,是,581x249,PNG,581x249,582,170.32,骨架/AddChapterUnlockProcessTrait/dragonbones,3
BorderGemCollectSpreadTrait,dragonbones/gameplay_gemsOut_ske,DragonBones 5.5,Armature,62,78,1,78,1,1.23,1,是,253x317,PNG,253x317,925.69,952.58,骨架/BorderGemCollectSpreadTrait/dragonbones,3
ChangeBlockSizeByProducerTrait,dragonbones/gameplay_gemBlock_ske,DragonBones 5.5,armatureName,3,3,1,3,2,1.07,1,是,133x241,PNG,133x241,134,134,骨架/ChangeBlockSizeByProducerTrait/dragonbones,3
