骨架,格式,骨骼,预览,宽,高,包围盒,姿势,setup隐藏,警告,首条警告
$28510_f_TravelPassTipsTrait/dragon_bones/gp/result_gold_ske.json,DragonBones,14,_预览/$28510_f_TravelPassTipsTrait_dragon_bones_gp_result_gold_ske.png,900,167,"-348,-49~347,65",setup pose,,0,
$28510_f_TravelPassTipsTrait/dragon_bones/result_gold_ske.json,DragonBones,14,_预览/$28510_f_TravelPassTipsTrait_dragon_bones_result_gold_ske.png,900,167,"-348,-50~347,64",setup pose,,0,
$28510_f_TravelPassTipsTrait/dragon_bones_new/GP/result_gold_ske.json,DragonBones,14,_预览/$28510_f_TravelPassTipsTrait_dragon_bones_new_GP_result_gold_ske.png,900,167,"-348,-49~347,65",setup pose,,0,
$28510_f_TravelPassTipsTrait/dragon_bones_new/result_gold_ske.json,DragonBones,14,_预览/$28510_f_TravelPassTipsTrait_dragon_bones_new_result_gold_ske.png,900,167,"-348,-50~347,64",setup pose,,0,
AdSubScribePopModelTrait/dragonBones/gameplay_popup_kuang.json,Spine 3.6.53,2,_预览/AdSubScribePopModelTrait_dragonBones_gameplay_popup_kuang.png,900,888,"-149,-147~149,147",setup pose,,0,
AdSubScribePopModelTrait/dragonBones/gameplay_popup_xian.json,Spine 3.6.53,11,_预览/AdSubScribePopModelTrait_dragonBones_gameplay_popup_xian.png,900,571,"-137,-274~675,233",setup pose,,0,
AddChapterUnlockProcessTrait/dragonbones/gameplay_unlockSetting_ske.json,DragonBones,5,_预览/AddChapterUnlockProcessTrait_dragonbones_gameplay_unlockSetting_ske.png,900,1059,"-21,-18~21,33",setup pose,,0,
AddChapterUnlockProcessTrait/dragonbones/main_unlockBtn_ske.json,DragonBones,50,_预览/AddChapterUnlockProcessTrait_dragonbones_main_unlockBtn_ske.png,900,288,"-289,-375~289,-200",setup pose,,0,
BorderGemCollectSpreadTrait/dragonbones/gameplay_gemsOut_ske.json,DragonBones,62,_预览/BorderGemCollectSpreadTrait_dragonbones_gameplay_gemsOut_ske.png,900,938,"-454,-485~469,478",setup pose,,0,
ChangeBlockSizeByProducerTrait/dragonbones/gameplay_gemBlock_ske.json,DragonBones,3,_预览/ChangeBlockSizeByProducerTrait_dragonbones_gameplay_gemBlock_ske.png,900,900,"-65,-65~65,65",setup pose,,0,
ChapterCollectPreClearEffectTrait/dragonbones/gameplay_eliminatePrompt_increment_ske.json,DragonBones,86,_预览/ChapterCollectPreClearEffectTrait_dragonbones_gameplay_eliminatePrompt_increment_ske.png,900,234,"-488,-117~488,117",setup pose,,0,
ChapterReplaySkipGoalTrait/spine/gameplay_shuaping.json,Spine 3.6.53,28,_预览/ChapterReplaySkipGoalTrait_spine_gameplay_shuaping.png,900,901,"-490,-491~490,490",setup pose,,1,"插槽 png2/g1_129 的附件 png2/g1_00001 类型 linkedmesh, 跳过"
ChapterReplaySkipGoalTrait/spine/gameplay_shuaping2.json,Spine 3.6.53,3,_预览/ChapterReplaySkipGoalTrait_spine_gameplay_shuaping2.png,900,899,"-94,-91~98,101",setup pose,,0,
ChapterReviveWithComboTrait/effects/shipinbt_ske.json,DragonBones,11,_预览/ChapterReviveWithComboTrait_effects_shipinbt_ske.png,900,272,"-292,-79~291,87",setup pose,,0,
ChapterScoreSettlementModifyAnimationTrait/dragonbones/gameplay_clearanceDone_ske.json,DragonBones,104,_预览/ChapterScoreSettlementModifyAnimationTrait_dragonbones_gameplay_clearanceDone_ske.png,900,654,"-265,-240~267,143",setup pose,,0,
ClassDailySignTrait/dragonbones/main_logo_checkin_ske.json,DragonBones,5,_预览/ClassDailySignTrait_dragonbones_main_logo_checkin_ske.png,900,908,"-52,-52~52,52",setup pose,,0,
ClassGuideConfigEnhanceTrait/spine/gameplay_guide_eff.json,Spine 3.8.99,15,_预览/ClassGuideConfigEnhanceTrait_spine_gameplay_guide_eff.png,900,608,"-159,-106~159,106",动画首帧 in2,,0,
ClassGuideDirectThreeBlockTrait/spine/gameplay_biankuang_efc.json,Spine 3.8.99,94,_预览/ClassGuideDirectThreeBlockTrait_spine_gameplay_biankuang_efc.png,900,898,"-450,-450~450,448",setup pose,,0,
ClearScreenSkinTransitionTrait/dragonbones/gameplay_skinChange_model_ske.json,DragonBones,31,_预览/ClearScreenSkinTransitionTrait_dragonbones_gameplay_skinChange_model_ske.png,900,865,"-890,-818~890,891",setup pose,,0,
CollectedItemsEliminateAndReplaceTrait/dragonbones/collectinfo/gameplay_Collect_ske.json,DragonBones,12,_预览/CollectedItemsEliminateAndReplaceTrait_dragonbones_collectinfo_gameplay_Collect_ske.png,900,923,"-57,-60~57,57",动画首帧 blue_out,,1,摆的是动画 blue_out 的第 5 帧(显示插槽最多的那一帧)
CollectedItemsEliminateAndReplaceTrait/dragonbones/refresh/gameplay_refresh_ske.json,DragonBones,14,_预览/CollectedItemsEliminateAndReplaceTrait_dragonbones_refresh_gameplay_refresh_ske.png,900,899,"-51,-51~51,51",动画首帧 blue,,6,摆的是动画 blue 的第 7 帧(显示插槽最多的那一帧)
ComboBorderEffectTrait/effects/gameplay_combo4_biankuang_ske.json,DragonBones,151,_预览/ComboBorderEffectTrait_effects_gameplay_combo4_biankuang_ske.png,900,1142,"-518,-661~518,661",setup pose,,47,"骨骼 xinxin112111112113 不继承父的旋转/缩放, 未实现, 姿势可能有偏差"
