boardId,boardData,producerBlocks,blocksColors,guideTargetCell,move,spineTargetPositions
1,"[[-1, -1, -1, 2, 2, 2, -1, -1], [-1, -1, 2, 2, 2, 2, 2, -1], [-1, -1, 2, 7, 2, 7, 2, -1], [-1, 2, 2, 2, 4, 2, 2, 2], [-1, 2, 2, 2, 2, 2, 2, 2], [-1, -1, 2, 2, 2, 2, 2, -1], [-1, -1, -1, 4, -1, 4, -1, -1], [6, 6, 6, -1, -1, -1, 6, 6]]","[24, 10, 32]","[7, 2, 4]","{""row"": 7, ""col"": 4}","[{""x"": 0, ""y"": -553.75}, {""x"": 0, ""y"": -245.75}]","[[7, 3], [7, 4], [7, 5]]"
2,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, 4, 4, -1, -1, -1, -1], [-1, -1, 4, 4, -1, 4, -1, -1], [4, 4, 7, 7, 4, 4, -1, -1], [4, -1, 7, 7, -1, -1, 1, 1], [-1, -1, 7, 7, 4, -1, 1, 1], [-1, -1, 4, -1, -1, 6, -1, -1], [-1, 6, -1, -1, -1, -1, -1, -1]]","[25, 15, 9]","[7, 4, 4]",,,
3,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, 5, 1, 2, 3, -1, -1], [-1, -1, 6, -1, -1, 4, -1, -1], [-1, -1, 7, -1, -1, -1, -1, -1], [-1, -1, 4, 3, 2, 1, -1, -1], [-1, -1, -1, -1, -1, 5, -1, -1], [-1, -1, 1, -1, -1, 6, -1, -1], [-1, -1, 2, 3, 4, 7, -1, -1]]","[9, 17, 28]","[2, 2, 7]",,,
4,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, 7, -1, 7, -1, -1, -1], [-1, 7, 1, 7, 1, 7, -1, -1], [-1, 7, 7, 4, 7, 7, -1, -1], [-1, -1, 7, 7, 7, -1, -1, 4], [-1, -1, 7, 7, 7, 4, 4, -1], [-1, -1, 7, 7, 7, 7, -1, -1], [-1, 7, 7, 7, 7, 7, 7, -1]]","[9, 26, 25]","[2, 4, 1]",,,
5,"[[-1, -1, 2, 2, -1, -1, -1, -1], [-1, 2, 4, 1, 4, 4, -1, -1], [-1, 2, 4, 4, 4, -1, -1, -1], [-1, 2, 4, 4, -1, -1, -1, -1], [-1, -1, 2, 4, 4, -1, -1, -1], [7, -1, -1, 4, 4, -1, -1, -1], [7, -1, 7, 7, 4, -1, -1, -1], [-1, 7, 7, -1, -1, -1, -1, -1]]","[31, 20, 35]","[4, 2, 7]",,,
6,"[[4, -1, -1, -1, -1, -1, -1, 7], [3, 6, -1, -1, -1, -1, 4, 6], [2, -1, 5, 1, 2, 3, 7, 5], [1, -1, -1, -1, -1, -1, -1, 1], [5, -1, 7, -1, -1, 7, -1, 2], [6, -1, -1, -1, -1, -1, -1, 3], [7, -1, -1, -1, -1, -1, -1, 4], [-1, 4, 3, 2, 1, 5, 6, -1]]","[20, 9, 15]","[2, 4, 7]",,,
7,"[[-1, -1, 2, 2, -1, -1, -1, -1], [-1, 4, 2, -1, 2, -1, -1, -1], [-1, 2, -1, -1, 2, -1, -1, -1], [-1, -1, -1, 2, -1, -1, 4, 4], [-1, -1, 2, -1, -1, 4, 2, 2], [-1, 2, 2, 2, 4, 4, 2, -1], [-1, -1, 2, 2, 2, 2, -1, -1], [-1, 7, 7, 7, 7, 7, 7, 7]]","[19, 14, 32]","[7, 6, 5]",,,
8,"[[-1, -1, 7, -1, -1, 7, -1, -1], [-1, -1, 2, -1, -1, 2, -1, -1], [7, 2, -1, 2, 2, -1, 2, 7], [-1, -1, 2, -1, -1, 2, -1, -1], [-1, -1, 2, -1, -1, 2, -1, -1], [7, 2, -1, 2, 2, -1, 2, 7], [-1, -1, 2, -1, -1, 2, -1, -1], [-1, -1, 7, -1, -1, 7, -1, -1]]","[41, 39, 9]","[6, 4, 7]",,,
9,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, 3, 3, 3, 3, 3, -1, -1], [-1, 4, 1, 5, 6, 7, -1, -1], [-1, 3, -1, -1, -1, 3, -1, -1], [-1, -1, -1, 2, -1, -1, -1, -1], [-1, 3, -1, -1, -1, 3, -1, -1], [-1, 7, 6, 5, 1, 4, -1, -1], [-1, 3, 3, 3, 3, 3, -1, -1]]","[29, 24, 11]","[5, 2, 4]",,,
10,"[[-1, -1, 2, -1, -1, -1, -1, -1], [-1, -1, 2, -1, 4, -1, -1, -1], [-1, -1, 2, 4, -1, -1, -1, -1], [-1, 2, 4, -1, -1, -1, -1, -1], [-1, 2, 2, -1, -1, -1, 2, -1], [-1, -1, 2, 4, 4, 2, -1, -1], [-1, 2, 2, 2, 2, 2, 2, -1], [4, 2, -1, -1, -1, 4, 2, -1]]","[20, 19, 25]","[4, 2, 6]",,,
11,"[[2, 2, 3, 2, 2, 2, 7, -1], [2, 6, 2, 2, 2, 7, -1, 2], [5, 2, 2, 2, 7, -1, 2, 7], [2, 2, 2, 7, -1, 2, 7, 7], [2, 2, 7, -1, 2, 7, 7, 7], [2, 7, -1, 2, 7, 7, 7, 5], [7, -1, 2, 7, 7, 7, 6, 7], [-1, 2, 7, 7, 7, 3, 7, 7]]","[41, 41, 38]","[6, 6, 1]",,,
12,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, 4, 6, 1, 2, -1], [-1, -1, -1, 3, -1, -1, 3, -1], [-1, -1, -1, 2, -1, -1, 4, -1], [-1, -1, -1, 1, 5, 6, 7, -1], [-1, -1, -1, -1, -1, -1, -1, -1]]","[13, 9, 13]","[7, 4, 2]",,,
13,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, 3, 2, 3, -1, -1], [-1, -1, -1, 2, 5, 2, -1, -1], [-1, -1, -1, 3, 2, 3, -1, -1], [-1, -1, 1, 1, 1, 1, 1, -1], [-1, -1, -1, -1, -1, 7, 7, -1], [-1, -1, -1, 6, 6, 6, -1, -1]]","[35, 34, 22]","[2, 6, 2]",,,
14,"[[-1, 4, -1, -1, -1, -1, 4, -1], [-1, -1, 4, -1, -1, 4, -1, -1], [4, 4, 4, -1, -1, 4, 4, 4], [4, -1, -1, -1, -1, -1, -1, 4], [-1, -1, 6, -1, -1, 6, -1, -1], [4, -1, -1, -1, -1, -1, -1, 4], [4, 4, 4, -1, -1, 4, 4, 4], [-1, -1, -1, -1, -1, -1, -1, -1]]","[18, 14, 9]","[7, 2, 1]",,,
