_key,name,url,bundleName,page,platform,mutex
ChapterGame,ChapterGame,prefabs/game/ChapterGame,chapter,True,,
ChapterTopInfo,ChapterTopInfo,prefabs/topInfo/ChapterTopInfo,chapter,,,
PassLevelReward,PassLevelReward,prefabs/gameover/trait/continuityPassLevel/PassLevelReward,chapter,,ios,
ChapterHardLevelDefeat,ChapterHardLevelDefeat,prefabs/hardLevel/ChapterHardLevelDefeat,chapter,,,
ChapterHardLevelFailHardNode,ChapterHardLevelFailHardNode,prefabs/hardLevel/ChapterHardLevelFailHardNode,chapter,,,
ChapterTopInfoBtn,ChapterTopInfoBtn,prefabs/topInfo/ChapterTopInfoBtn,chapter,,,
ChapterTopInfoCollect,ChapterTopInfoCollect,prefabs/topInfo/ChapterTopInfoCollect,chapter,,,
ChapterTopInfoScore,ChapterTopInfoScore,prefabs/topInfo/ChapterTopInfoScore,chapter,,,
ChapterCollectItem,ChapterCollectItem,prefabs/chapterCollectItem/ChapterCollectItem,chapter,,,
ChapterScoreFail,ChapterScoreFail,prefabs/fail/ChapterScoreFail,chapter,True,,
ChapterCollectFail,ChapterCollectFail,prefabs/fail/ChapterCollectFail,chapter,True,,
ChapterScoreWin,ChapterScoreWin,prefabs/win/ChapterScoreWin,chapter,True,,
ChapterCollectWin,ChapterCollectWin,prefabs/win/ChapterCollectWin,chapter,True,,
ChapterReduceScoreFail,ChapterReduceScoreFail,prefabs/fail/trait/reduceTravelSettlement/ChapterReduceScoreFail,chapter,,,@o.PrefabMutexType.GAME_OVER
ChapterReduceCollectFail,ChapterReduceCollectFail,prefabs/fail/trait/reduceTravelSettlement/ChapterReduceCollectFail,chapter,,,@o.PrefabMutexType.GAME_OVER
ChapterReduceScoreWin,ChapterReduceScoreWin,prefabs/win/trait/reduceTravelSettlement/ChapterReduceScoreWin,chapter,,,@o.PrefabMutexType.GAME_OVER
ChapterReduceCollectWin,ChapterReduceCollectWin,prefabs/win/trait/reduceTravelSettlement/ChapterReduceCollectWin,chapter,,,@o.PrefabMutexType.GAME_OVER
ChapterGoal,ChapterGoal,prefabs/goal/ChapterGoal,chapter,,,
ChapterGoalScore,ChapterGoalScore,prefabs/goal/ChapterGoalScore,chapter,,,
ChapterGoalCollect,ChapterGoalCollect,prefabs/goal/ChapterGoalCollect,chapter,,,
ChapterGemFlyItem,ChapterGemFlyItem,prefabs/ChapterGemFlyItem,ChapterGemFlyAnimationTrait,,,
ChapterCollectEffectItem,ChapterCollectEffectItem,prefabs/collectItem/ChapterCollectEffectItem,chapter,,,
ChapterCollectTopItem,ChapterCollectTopItem,prefabs/collectItem/ChapterCollectTopItem,chapter,,,
ChapterTipsFail,ChapterTipsFail,prefabs/fail/ChapterTipsFail,chapter,,,
GrayEffect,GrayEffect,prefabs/blocksProducer/traits/GrayEffect,chapter,,,
Winstreak,Winstreak,prefabs/gameover/trait/gateWinStreakState/Winstreak,chapter,,,
repeatPreview,repeatPreview,prefabs/repeatPreview/repeatPreviewPrefab,chapter,,,
HardLevelRedUI,HardLevelRedUI,prefab/HardLevelRedUI,Remote_HardLevelRedUI,,,
levelSucClear,LevelSucClearPrefab,prefabs/LevelSucClearPrefab,Remote_LevelSucClear,,,
GameplayAniAllChange,GameplayAniAllChange,prefabs/clear_tips_node_new,Remote_GameplayAniAllChange,,,
IsTranspositionMovementNode,IsTranspositionMovementNode,prefabs/TranspositionMovementPre,Remote_isTranspositionMovement,,ios,
ChapterWellDone,ChapterWellDone,prefabs/wellDone/ChapterWellDone,chapter,,ios,
TravelShowStarInScoreBarFailed,TravelShowStarInScoreBarFailed,prefabs/FailedView,TravelShowStarInScoreBarTrait,,,
TravelShowStarInScoreBarWin,TravelShowStarInScoreBarWin,prefabs/WinView,TravelShowStarInScoreBarTrait,,,
TravelShowStarInScoreBar,TravelShowStarInScoreBar,prefabs/StarInScoreBar,TravelShowStarInScoreBarTrait,,,
