width,height,horizontalSpace,verticalSpace,minimumHorizontalMargin,minimumVerticalMargin,borderName
60,64,3,2,24,24,card_large
59,63,3,2,24,24,card_large
58,62,3,2,24,24,card_large
57,61,3,2,23,23,card_large
56,60,3,2,23,23,card_large
55,59,3,2,22,22,card_large
54,58,3,2,22,22,card_large
53,57,3,2,22,22,card_large
52,56,3,2,21,21,card_large
51,54,2,1,21,21,card_small
50,53,2,1,20,20,card_small
49,52,2,1,20,20,card_small
48,51,2,1,20,20,card_small
47,50,2,1,19,19,card_small
46,49,2,1,19,19,card_small
45,48,2,1,18,18,card_small
44,47,2,1,18,18,card_small
43,46,2,1,18,18,card_small
42,45,2,1,17,17,card_small
41,44,2,1,17,17,card_small
40,43,2,1,17,17,card_small
39,42,2,1,16,16,card_small
38,41,2,1,16,16,card_small
37,40,2,1,15,15,card_small
