_key,url,type,volume,platform,bundleName,loop,isRemote
preCompile,audios/e_score_streak_1,@r.AudioType.EFFECT,0,,,,
e_score_streak_1,audios/e_score_streak_1,@r.AudioType.EFFECT,1,,,,
e_score_streak_2,audios/e_score_streak_2,@r.AudioType.EFFECT,1,,,,
e_score_streak_3,audios/e_score_streak_3,@r.AudioType.EFFECT,1,,,,
e_score_streak_4,audios/e_score_streak_4,@r.AudioType.EFFECT,1,,,,
e_score_streak_5,audios/e_score_streak_5,@r.AudioType.EFFECT,1,,,,
e_score_streak_6,audios/e_score_streak_6,@r.AudioType.EFFECT,1,,,,
e_score_streak_7,audios/e_score_streak_7,@r.AudioType.EFFECT,1,,,,
e_score_streak_8,audios/e_score_streak_8,@r.AudioType.EFFECT,1,,,,
e_score_streak_9,audios/e_score_streak_9,@r.AudioType.EFFECT,1,,,,
e_score_streak_10,audios/e_score_streak_10,@r.AudioType.EFFECT,1,,,,
s_button,audios/s_button,,,,,,
s_put,audios/s_put,,1,,,,
s_restart,audios/s_restart,,,,,,
s_fail,audios/over/s_fail,,,,,,
s_win,audios/over/s_win,,,,,,
travel_nowayput,audios/over/travel_nowayput,,,,,,
travel_return,audios/travel_return,,,ios,,,
s_touch,audios/s_touch,,,,,,
site_button,audios/site_button,,,,,,
time,audios/time,,,,,,
number,audios/number,,0.1,,,,
s_btnShow,audios/s_btnShow,,,,,,
ios_btnShow,audios/SOUND_btn_play_over,,,ios,,,
s_new_record,audios/s_new_record,,,,,,
arrow,audios/arrow,,,ios,,,
Good2,audios/Good2,,1,,,,
Great2,audios/Great2,,1,,,,
Excellect2,audios/Excellect2,,1,,,,
Amazing2,audios/Amazing2,,1,,,,
Unbelievable2,audios/Unbelievable2,,1,,,,
txt_Magic_tanhao,audio/magic,@r.AudioType.EFFECT,1,,ScenarioEncourageWordsTrait,,
txt_Lucky_tanhao,audio/lucky,@r.AudioType.EFFECT,1,,ScenarioEncourageWordsTrait,,
txt_Jackpot_tanhao,audio/jackpot,@r.AudioType.EFFECT,1,,ScenarioEncourageWordsTrait,,
Good1,audios/trait/personSound/Good1,@r.AudioType.EFFECT,1,ios,,,
Great1,audios/trait/personSound/Great1,@r.AudioType.EFFECT,1,ios,,,
Excellect1,audios/trait/personSound/Excellect1,@r.AudioType.EFFECT,1,ios,,,
Amazing1,audios/trait/personSound/Amazing1,@r.AudioType.EFFECT,1,ios,,,
Unbelievable1,audios/trait/personSound/Unbelievable1,@r.AudioType.EFFECT,1,ios,,,
DianZan1,audios/trait/gamePlayDianzan/put_thumb1,,1,,,,
DianZan2,audios/trait/gamePlayDianzan/put_thumb2,,1,,,,
DianZan3,audios/trait/gamePlayDianzan/put_thumb3,,1,,,,
DianZan4,audios/trait/gamePlayDianzan/put_thumb4,,1,,,,
putRightPerfect,audios/trait/isOpenRightPut/feature_click,,1,,,,
CommonBgm,audios/bgm/commonBgm,@r.AudioType.SOUND,1,,,,
iosCommonBgm,audios/bgm/bg2,@r.AudioType.SOUND,1,ios,,,
iosCommonBgmFast,audio/bg2,@r.AudioType.SOUND,1,ios,TimeBgmSpeedTrait,,
BackgroundWhiteNoise,audios/trait/backgroundWhiteNoise/rain,,1,,,True,
BlockReturn,audio/s_return,,1,,BlockBackPlayAudioTrait,,
EffectAllClean,audios/all_clean,@r.AudioType.EFFECT,1,,Remote_effectAllClearPlus,,
RightPutHintThumb1,audios/thumb1,@r.AudioType.EFFECT,1,,Remote_19855,,
RightPutHintThumb2,audios/thumb2,@r.AudioType.EFFECT,1,,Remote_19855,,
GamelobbyMoreGameBgm,resource/audio/platform_menubgm,@r.AudioType.SOUND,1,,gl_hall,,True
all_clean_new,audio/all_clean_new,@r.AudioType.EFFECT,1,ios,Remote_14605_f_ClearBoardEffectOptimizeTrait,,True
restart_slide,vietnam/sound/restart_slide,@r.AudioType.EFFECT,1,,Vietnam_f_VietnamCtrTrait,,True
click1,vietnam/sound/click1,@r.AudioType.EFFECT,1,,Vietnam_f_VietnamCtrTrait,,True
s_restart_rock,audio/restar_rock,@r.AudioType.EFFECT,1,ios,RainbowAudioTrait,,True
piano_death,audios/put_fail_piano,@r.AudioType.EFFECT,1,,PlaceDeathBlockPianoSoundTrait,,
unbelievable2,audio/unbelievable2,@r.AudioType.EFFECT,1,ios,AudioReplaceTrait,,True
great2d,audio/great2d,@r.AudioType.EFFECT,1,ios,AudioReplaceTrait,,True
good2,audio/good2,@r.AudioType.EFFECT,1,ios,AudioReplaceTrait,,True
excellect2,audio/excellect2,@r.AudioType.EFFECT,1,ios,AudioReplaceTrait,,True
e_score_streak_9_1,audio/e_score_streak_9,@r.AudioType.EFFECT,1,ios,AudioReplaceTrait,,True
e_score_streak_8_1,audio/e_score_streak_8,@r.AudioType.EFFECT,1,ios,AudioReplaceTrait,,True
e_score_streak_7_1,audio/e_score_streak_7,@r.AudioType.EFFECT,1,ios,AudioReplaceTrait,,True
e_score_streak_6_1,audio/e_score_streak_6,@r.AudioType.EFFECT,1,ios,AudioReplaceTrait,,True
e_score_streak_5_1,audio/e_score_streak_5,@r.AudioType.EFFECT,1,ios,AudioReplaceTrait,,True
e_score_streak_4_1,audio/e_score_streak_4,@r.AudioType.EFFECT,1,ios,AudioReplaceTrait,,True
e_score_streak_3_1,audio/e_score_streak_3,@r.AudioType.EFFECT,1,ios,AudioReplaceTrait,,True
e_score_streak_2_1,audio/e_score_streak_2,@r.AudioType.EFFECT,1,ios,AudioReplaceTrait,,True
e_score_streak_10_1,audio/e_score_streak_10,@r.AudioType.EFFECT,1,ios,AudioReplaceTrait,,True
e_score_streak_1_1,audio/e_score_streak_1,@r.AudioType.EFFECT,1,ios,AudioReplaceTrait,,True
amazing2,audio/amazing2,@r.AudioType.EFFECT,1,ios,AudioReplaceTrait,,True
e_score_streak_10_3,audio/e_score_streak_10,@r.AudioType.EFFECT,1,ios,AudioReplace3Trait,,True
e_score_streak_9_3,audio/e_score_streak_9,@r.AudioType.EFFECT,1,ios,AudioReplace3Trait,,True
e_score_streak_8_3,audio/e_score_streak_8,@r.AudioType.EFFECT,1,ios,AudioReplace3Trait,,True
e_score_streak_7_3,audio/e_score_streak_7,@r.AudioType.EFFECT,1,ios,AudioReplace3Trait,,True
e_score_streak_6_3,audio/e_score_streak_6,@r.AudioType.EFFECT,1,ios,AudioReplace3Trait,,True
e_score_streak_5_3,audio/e_score_streak_5,@r.AudioType.EFFECT,1,ios,AudioReplace3Trait,,True
e_score_streak_4_3,audio/e_score_streak_4,@r.AudioType.EFFECT,1,ios,AudioReplace3Trait,,True
e_score_streak_3_3,audio/e_score_streak_3,@r.AudioType.EFFECT,1,ios,AudioReplace3Trait,,True
e_score_streak_2_3,audio/e_score_streak_2,,1,ios,AudioReplace3Trait,,True
e_score_streak_1_3,audio/e_score_streak_1,@r.AudioType.EFFECT,1,ios,AudioReplace3Trait,,True
e_score_streak_10_2,audio/e_score_streak_10,@r.AudioType.EFFECT,1,ios,AudioReplace2Trait,,True
e_score_streak_9_2,audio/e_score_streak_9,@r.AudioType.EFFECT,1,ios,AudioReplace2Trait,,True
e_score_streak_8_2,audio/e_score_streak_8,@r.AudioType.EFFECT,1,ios,AudioReplace2Trait,,True
e_score_streak_7_2,audio/e_score_streak_7,@r.AudioType.EFFECT,1,ios,AudioReplace2Trait,,True
e_score_streak_6_2,audio/e_score_streak_6,@r.AudioType.EFFECT,1,ios,AudioReplace2Trait,,True
e_score_streak_5_2,audio/e_score_streak_5,@r.AudioType.EFFECT,1,ios,AudioReplace2Trait,,True
e_score_streak_4_2,audio/e_score_streak_4,@r.AudioType.EFFECT,1,ios,AudioReplace2Trait,,True
e_score_streak_3_2,audio/e_score_streak_3,@r.AudioType.EFFECT,1,ios,AudioReplace2Trait,,True
e_score_streak_2_2,audio/e_score_streak_2,,1,ios,AudioReplace2Trait,,True
e_score_streak_1_2,audio/e_score_streak_1,@r.AudioType.EFFECT,1,ios,AudioReplace2Trait,,True
GLGameCommonTransition,audios/platform_transition,@r.AudioType.EFFECT,2,,GLGameCommonTransitionTrait,,
e_score_streak_change_1,audios/e_score_streak_1,@r.AudioType.EFFECT,1,gp,ComboAudiosReplaceTrait,,True
e_score_streak_change_2,audios/e_score_streak_2,@r.AudioType.EFFECT,1,gp,ComboAudiosReplaceTrait,,True
e_score_streak_change_3,audios/e_score_streak_3,@r.AudioType.EFFECT,1,gp,ComboAudiosReplaceTrait,,True
e_score_streak_change_4,audios/e_score_streak_4,@r.AudioType.EFFECT,1,gp,ComboAudiosReplaceTrait,,True
e_score_streak_change_5,audios/e_score_streak_5,@r.AudioType.EFFECT,1,gp,ComboAudiosReplaceTrait,,True
enhanceCollection_gem_collet,audios/travel_gem_collet,@r.AudioType.EFFECT,1,,EnhanceCollectionFeedbackTrait,,True
enhanceCollection_gem_streak,audios/travel_gem_streak,@r.AudioType.EFFECT,1,,EnhanceCollectionFeedbackTrait,,True
hint_25percent,audio/hint_25percent,@r.AudioType.EFFECT,1,ios,LevelPercentageTipsTrait,,True
hint_50percent,audio/hint_50percent,@r.AudioType.EFFECT,1,ios,LevelPercentageTipsTrait,,True
hint_75percent,audio/hint_75percent,@r.AudioType.EFFECT,1,ios,LevelPercentageTipsTrait,,True
