score,id,weight,color
0-300,1,30,2
0-300,2,10,1
0-300,3,0,1
0-300,4,0,3
0-300,5,23,3
0-300,6,23,4
0-300,7,23,5
0-300,8,18,1
0-300,9,25,6
0-300,10,9,7
0-300,11,30,3
0-300,12,35,6
0-300,13,26,2
0-300,14,0,7
0-300,15,0,4
0-300,16,0,7
0-300,17,0,5
0-300,18,0,7
0-300,19,0,7
0-300,20,0,7
0-300,21,0,6
0-300,22,0,3
0-300,23,0,6
0-300,24,0,6
0-300,25,0,7
0-300,26,0,7
0-300,27,0,4
0-300,28,0,4
0-300,29,0,1
0-300,30,0,1
0-300,31,0,1
300-500,1,15,2
300-500,2,20,1
300-500,3,10,1
300-500,4,0,3
300-500,5,16,3
300-500,6,20,4
300-500,7,16,5
300-500,8,16,1
300-500,9,18,6
300-500,10,20,7
300-500,11,20,3
300-500,12,15,6
300-500,13,20,2
300-500,14,0,7
300-500,15,0,4
300-500,16,0,7
300-500,17,0,5
300-500,18,0,7
300-500,19,0,7
300-500,20,0,7
300-500,21,0,6
300-500,22,0,3
300-500,23,0,6
300-500,24,0,6
300-500,25,0,7
300-500,26,0,7
300-500,27,0,4
300-500,28,0,4
300-500,29,0,1
300-500,30,0,1
300-500,31,0,1
500-700,1,16,2
500-700,2,10,1
500-700,3,10,1
500-700,4,12,3
500-700,5,12,3
500-700,6,14,4
500-700,7,24,5
500-700,8,16,1
500-700,9,10,6
500-700,10,20,7
500-700,11,18,3
500-700,12,12,6
500-700,13,16,2
500-700,14,2,7
500-700,15,0,4
500-700,16,0,7
500-700,17,0,5
500-700,18,0,7
500-700,19,0,7
500-700,20,0,7
500-700,21,0,6
500-700,22,0,3
500-700,23,0,6
500-700,24,0,6
500-700,25,0,7
500-700,26,0,7
500-700,27,0,4
500-700,28,0,4
500-700,29,0,1
500-700,30,0,1
500-700,31,0,1
700-1000,1,16,2
700-1000,2,6,1
700-1000,3,12,1
700-1000,4,18,3
700-1000,5,12,3
700-1000,6,10,4
700-1000,7,12,5
700-1000,8,8,1
700-1000,9,12,6
700-1000,10,12,7
700-1000,11,12,3
700-1000,12,14,6
700-1000,13,16,2
700-1000,14,16,7
700-1000,15,0,4
700-1000,16,0,7
700-1000,17,0,5
700-1000,18,0,7
700-1000,19,0,7
700-1000,20,0,7
700-1000,21,0,6
700-1000,22,0,3
700-1000,23,0,6
700-1000,24,0,6
700-1000,25,0,7
700-1000,26,0,7
700-1000,27,0,4
700-1000,28,0,4
700-1000,29,0,1
700-1000,30,0,1
700-1000,31,0,1
1000-1400,1,22,2
1000-1400,2,12,1
1000-1400,3,12,1
1000-1400,4,20,3
1000-1400,5,12,3
1000-1400,6,18,4
1000-1400,7,15,5
1000-1400,8,20,1
1000-1400,9,15,6
1000-1400,10,20,7
1000-1400,11,14,3
1000-1400,12,18,6
1000-1400,13,12,2
1000-1400,14,12,7
1000-1400,15,20,4
1000-1400,16,9,7
1000-1400,17,0,5
1000-1400,18,0,7
1000-1400,19,0,7
1000-1400,20,0,7
1000-1400,21,0,6
1000-1400,22,0,3
1000-1400,23,0,6
1000-1400,24,0,6
1000-1400,25,0,7
1000-1400,26,0,7
1000-1400,27,0,4
1000-1400,28,0,4
1000-1400,29,0,1
1000-1400,30,0,1
1000-1400,31,0,1
1400-1800,1,16,2
1400-1800,2,15,1
1400-1800,3,15,1
1400-1800,4,11,3
1400-1800,5,12,3
1400-1800,6,20,4
1400-1800,7,12,5
1400-1800,8,11,1
1400-1800,9,16,6
1400-1800,10,16,7
1400-1800,11,9,3
1400-1800,12,25,6
1400-1800,13,15,2
1400-1800,14,10,7
1400-1800,15,11,4
1400-1800,16,18,7
1400-1800,17,15,5
1400-1800,18,0,7
1400-1800,19,0,7
1400-1800,20,0,7
1400-1800,21,0,6
1400-1800,22,0,3
1400-1800,23,0,6
1400-1800,24,0,6
1400-1800,25,0,7
1400-1800,26,0,7
1400-1800,27,0,4
1400-1800,28,0,4
1400-1800,29,0,1
1400-1800,30,0,1
1400-1800,31,0,1
1800-2200,1,6,2
1800-2200,2,12,1
1800-2200,3,17,1
1800-2200,4,15,3
1800-2200,5,8,3
1800-2200,6,17,4
1800-2200,7,14,5
1800-2200,8,11,1
