_key,assetPath,platform,bundleName,backgroundType,fontLayout,backgroundColor,spriteLayout
home_page_background,mat/background_bg_5005,gp,Remote_Skin_Material_5005,gradient,,,
home_page_logo,res/homepage/main_loadingview_logo_material_5005,gp,Remote_Skin_Theme_5005,,,,
home_page_chapter_btn,res/homepage/main_btn_Adventure_material_5005,gp,Remote_Skin_Theme_5005,,,,
home_page_chapter_clock_btn,res/homepage/main_btn_Adventure1_material_5005,gp,Remote_Skin_Theme_5005,,,,
home_page_class_btn,res/homepage/main_btn_Classics_material_5005,gp,Remote_Skin_Theme_5005,,,,
home_page_icon_redpoint,res/homepage/main_icon_redpoint_material_5005,gp,Remote_Skin_Theme_5005,,,,
chapter_level_txt_font,,gp,Remote_Skin_Theme_5005,,"{""color"": {""r"": 95, ""g"": 85, ""b"": 148}}",,
chapter_item_bg,res/chapterlist/adventure_img_masaike_bg_material_5005,gp,Remote_Skin_Theme_5005,,,,
chapter_content_cup,res/chapterlist/adventure_img_CupBg_material_5005,gp,Remote_Skin_Theme_5005,,,,
chapter_content_cup_tip_img,res/chapterlist/txt_Join_material_5005,gp,Remote_Skin_Theme_5005,,,,
chapter_through_cup_bone_spine,effect/mosaic_clear_cup_5005,gp,Remote_Skin_Theme_5005,,,,
chapter_list_root_bg,,gp,,colorOnly,,"{""r"": 73, ""g"": 61, ""b"": 137}",
chapter_list_top_bg,res/chapterlist/adventure_img_topBg_material_5005,gp,Remote_Skin_Theme_5005,,,,
chapter_list_top_back_btn,res/btn_BackHome_material_5005,gp,Remote_Skin_Material_5005,,,,
chapter_list_top_title_img,res/chapterlist/txt_TittleJourney_material_5005,gp,Remote_Skin_Theme_5005,,,,
chapter_list_bottom_bg,res/chapterlist/adventure_img_dnBg_material_5005,gp,Remote_Skin_Theme_5005,,,,
chapter_list_bottom_start_game_btn,res/achievement/window_btn_confirm_material_5005,gp,Remote_Skin_Theme_5005,,,,
chapter_list_continue_btn,res/chapterlist/btn_Continue_material_green_5005,gp,Remote_Skin_Theme_5005,,,,
achievement_main_bg,res/achievement/achievement_panelUp_material_5005,gp,Remote_Skin_Theme_5005,,,,
achievement_main_title_bg,res/chapterlist/adventure_img_topBg_material_5005,gp,Remote_Skin_Theme_5005,,,,
achievement_main_title,res/achievement/achievement_txt_title_material_5005,gp,Remote_Skin_Theme_5005,,,,
achievement_main_awards_bg,res/achievement/achievement_panelDn_material_5005,gp,Remote_Skin_Theme_5005,,,,
achievement_statistics_item_bg,res/achievement/achievement_panel_information_material_5005,gp,Remote_Skin_Theme_5005,,,,
achievement_statistics_item_name_font,,gp,Remote_Skin_Theme_5005,,"{""color"": {""r"": 255, ""g"": 255, ""b"": 255}}",,
achievement_detail_content_bg,res/chapterlist/window_blue_material_5005,gp,Remote_Skin_Theme_5005,,,,"{""position"": {""x"": 0, ""y"": 20}, ""contentSize"": {""width"": 848, ""height"": 1330}}"
achievement_detail_title,res/achievement/window_txt_award_material_5005,gp,Remote_Skin_Theme_5005,,,,
achievement_detail_close_btn,res/achievement/window_btn_close_material_5005,gp,Remote_Skin_Theme_5005,,,,"{""y"": -10}"
achievement_detail_confirm_btn,res/achievement/window_btn_confirm_material_5005,gp,Remote_Skin_Theme_5005,,,,
achievement_detail_confirm_txt,res/achievement/window_btn_Txtconfirm_material_5005,gp,Remote_Skin_Theme_5005,,,,
achievement_detail_award_time_bg,res/achievement/window_mask_date_material_5005,gp,Remote_Skin_Theme_5005,,,,
achievement_detail_award_time_font,,gp,Remote_Skin_Theme_5005,,"{""color"": {""r"": 255, ""g"": 255, ""b"": 255}}",,
achievement_detail_desc_font,,gp,Remote_Skin_Theme_5005,,"{""color"": {""r"": 255, ""g"": 255, ""b"": 255}}",,
achievement_detail_award_icon_spine,effect/badge_icon_smallPanel_5005,gp,Remote_Skin_Theme_5005,,,,
