_key,assetPath,platform,bundleName,backgroundType,spriteLayout,fontLayout,backgroundColor
home_page_background,mat/game_bg_5006,gp,Remote_Skin_Material_5006,gradient,,,
home_page_logo,res/homepage/loadingview_logo_5006,gp,Remote_Skin_Theme_5006,,,,
home_page_chapter_btn,res/homepage/btn_adventure_5006,gp,Remote_Skin_Theme_5006,,,,
home_page_chapter_clock_btn,res/homepage/btn_adventure_1_5006,gp,Remote_Skin_Theme_5006,,,,
travel_entry_clock_shadow_main_btn_icon_time,res/homepage/main_btn_icon_time01_material_5006,gp,Remote_Skin_Theme_5006,,,,
travel_entry_clock_shadow_main_time_hour,res/homepage/main_time_hour_material_5006,gp,Remote_Skin_Theme_5006,,,,
travel_entry_clock_shadow_main_time_min_left,res/homepage/main_time_min_left_material_5006,gp,Remote_Skin_Theme_5006,,,,
travel_entry_clock_shadow_main_time_hour_light,res/homepage/main_time_hour_light_material_5006,gp,Remote_Skin_Theme_5006,,,,
travel_entry_clock_shadow_main_time_min_light,res/homepage/main_time_min_light_material_5006,gp,Remote_Skin_Theme_5006,,,,
travel_entry_clock_shadow_main_time_hour_shadow,res/homepage/main_time_hour_shadow_material_5006,gp,Remote_Skin_Theme_5006,,,,
travel_entry_clock_shadow_main_time_min_left_shadow,res/homepage/main_time_min_left_shadow_material_5006,gp,Remote_Skin_Theme_5006,,,,
home_page_class_btn,res/homepage/btn_classic_5006,gp,Remote_Skin_Theme_5006,,,,
home_page_icon_redpoint,res/homepage/homepage_img_dot_material1_5006,gp,Remote_Skin_Theme_5006,,"{""position"": {""x"": 274, ""y"": 72}}",,
home_page_logo_decoration_5006,res/backgroundbg_material_1_5006,gp,Remote_Skin_Theme_5006,,,,
chapter_level_txt_font,,gp,Remote_Skin_Theme_5006,,,"{""color"": {""r"": 76, ""g"": 95, ""b"": 152}}",
chapter_item_bg,res/chapterlist/adventure_img_mosaic_bg_material_5006,gp,Remote_Skin_Theme_5006,,,,
chapter_content_cup,res/chapterlist/adventure_img_CupBg_material_5006,gp,Remote_Skin_Theme_5006,,,,
chapter_content_cup_tip_img,res/chapterlist/txt_Join_material_5006,gp,Remote_Skin_Theme_5006,,,,
chapter_through_cup_bone_spine,effect/mosaic_clear_cup_5006_1,gp,Remote_Skin_Theme_5006,,,,
chapter_list_root_bg,,gp,,colorOnly,,,"{""r"": 59, ""g"": 56, ""b"": 137}"
chapter_list_top_bg,res/chapterlist/adventure_bg_TittleUp_material_5006,gp,Remote_Skin_Theme_5006,,,,
chapter_list_top_back_btn,res/adventure_btn_BackHome_material_5006,gp,Remote_Skin_Theme_5006,,,,
chapter_list_top_title_img,res/chapterlist/adventure_txt_TittleJourney_material_5006,gp,Remote_Skin_Theme_5006,,,,
chapter_list_bottom_bg,res/chapterlist/adventure_bg_TittleDown_material_5006,gp,Remote_Skin_Theme_5006,,,,
chapter_list_bottom_start_game_btn,res/chapterlist/adventure_btn_level_material_5006,gp,Remote_Skin_Theme_5006,,"{""contentSize"": {""width"": 580, ""height"": 180}}",,
chapter_list_chapter_lb_font,font/level_material_5006,gp,Remote_Skin_Theme_5006,,,,
chapter_list_continue_btn,res/chapterlist/adventure_btn_continue_material_5006,gp,Remote_Skin_Theme_5006,,,,
achievement_entrance_spine,effect/main_icon_achievement_5006_1,gp,Remote_Skin_Theme_5006,,,,
achievement_main_bg,res/achievement/achievement_panel_blue_1_material_5006,gp,Remote_Skin_Theme_5006,,,,
achievement_main_title_bg,res/chapterlist/adventure_bg_TittleUp_material_5006,gp,Remote_Skin_Theme_5006,,,,
achievement_main_title,res/achievement/Achievement_material_5006,gp,Remote_Skin_Theme_5006,,,,
achievement_main_awards_bg,res/achievement/achievement_panel_blue_material_5006,gp,Remote_Skin_Theme_5006,,,,
achievement_statistics_item_bg,res/achievement/achievement_panel_information_blue_material_5006,gp,Remote_Skin_Theme_5006,,,,
achievement_statistics_item_name_font,,gp,Remote_Skin_Theme_5006,,,"{""color"": {""r"": 255, ""g"": 255, ""b"": 255}}",
achievement_detail_content_bg,res/setup/setting_bg_common_material_5006,gp,Remote_Skin_Material_5006,,"{""position"": {""x"": 0, ""y"": 20}, ""contentSize"": {""width"": 848, ""height"": 1330}}",,
achievement_detail_title,res/achievement/window_txt_award_material_5006,gp,Remote_Skin_Theme_5006,,"{""position"": {""x"": 0, ""y"": 615}}",,
achievement_detail_close_btn,res/setup/setting_btn_close_material_5006,gp,Remote_Skin_Material_5006,,"{""position"": {""x"": 0, ""y"": 20}}",,
achievement_detail_confirm_btn,res/achievement/window_btn_confirm_material_5006,gp,Remote_Skin_Theme_5006,,"{""contentSize"": {""width"": 578, ""height"": 181}}",,
achievement_detail_confirm_txt,res/achievement/window_txt_confirm_material_5006,gp,Remote_Skin_Theme_5006,,,,
achievement_detail_award_time_bg,res/achievement/window_img_timeBg,gp,Remote_Skin_Theme_5006,,"{""opacity"": 255}",,
achievement_detail_award_time_font,,gp,Remote_Skin_Theme_5006,,,"{""color"": {""r"": 84, ""g"": 82, ""b"": 131}}",
achievement_detail_desc_font,,gp,Remote_Skin_Theme_5006,,,"{""color"": {""r"": 84, ""g"": 82, ""b"": 131}}",
achievement_detail_award_icon_spine,effect/badge_icon_smallPanel_5006,gp,Remote_Skin_Theme_5006,,,,
