_key,assetPath,platform,bundleName,armatureName
block_1_normal,res/game_cube_1_material_005,gp,Remote_Skin_Material_2005,
block_1_highlight,res/eliminatePrompt_005_1,gp,Remote_Skin_Material_2005,
block_2_normal,res/game_cube_2_material_005,gp,Remote_Skin_Material_2005,
block_2_highlight,res/eliminatePrompt_005_2,gp,Remote_Skin_Material_2005,
block_3_normal,res/game_cube_3_material_005,gp,Remote_Skin_Material_2005,
block_3_highlight,res/eliminatePrompt_005_3,gp,Remote_Skin_Material_2005,
block_4_normal,res/game_cube_4_material_005,gp,Remote_Skin_Material_2005,
block_4_highlight,res/eliminatePrompt_005_4,gp,Remote_Skin_Material_2005,
block_5_normal,res/game_cube_5_material_005,gp,Remote_Skin_Material_2005,
block_5_highlight,res/eliminatePrompt_005_5,gp,Remote_Skin_Material_2005,
block_6_normal,res/game_cube_6_material_005,gp,Remote_Skin_Material_2005,
block_6_highlight,res/eliminatePrompt_005_6,gp,Remote_Skin_Material_2005,
block_7_normal,res/game_cube_7_material_005,gp,Remote_Skin_Material_2005,
block_7_highlight,res/eliminatePrompt_005_7,gp,Remote_Skin_Material_2005,
combo_effect,effect/comb_005,gp,Remote_Skin_Material_2005,Armature
encourage_effect,effect/encourage_005,gp,Remote_Skin_Material_2005,
eliminate_effect,effect/xc_005,gp,Remote_Skin_Material_2005,
