_key,assetPath,platform,bundleName
block_1_normal,res/game_cube_1_material_017,gp,Remote_Skin_Material_2017
block_2_normal,res/game_cube_2_material_017,gp,Remote_Skin_Material_2017
block_3_normal,res/game_cube_3_material_017,gp,Remote_Skin_Material_2017
block_4_normal,res/game_cube_4_material_017,gp,Remote_Skin_Material_2017
block_5_normal,res/game_cube_5_material_017,gp,Remote_Skin_Material_2017
block_6_normal,res/game_cube_6_material_017,gp,Remote_Skin_Material_2017
block_7_normal,res/game_cube_7_material_017,gp,Remote_Skin_Material_2017
block_shadow,res/gridshadow_skin_material_017,gp,Remote_Skin_Material_2017
board_bg,res/gameplay_board_bg__material_017,gp,Remote_Skin_Material_2017
game_bg,res/gameplay_bg_material_017,gp,Remote_Skin_Material_2017
eliminate_effect,effect/xc_017,gp,Remote_Skin_Material_2017
eliminate_prompt_effect,effect/gameplay_eliminateprompt_017,gp,Remote_Skin_Material_2017
setting_btn,res/gameplay_btn_set_material_017,gp,Remote_Skin_Material_2017
setting_close_btn,res/gameplay_steeings_btn_close_material_017,gp,Remote_Skin_Material_2017
setting_line,res/gameplay_set_line_material_017,gp,Remote_Skin_Material_2017
setting_out_bg,res/gameplay_setting_frame1_material_017,gp,Remote_Skin_Material_2017
setting_in_bg,res/gameplay_setting_frame2_material_017,gp,Remote_Skin_Material_2017
combo_sprite,res/combo_txt_material_017,gp,Remote_Skin_Material_2017
combo_font,font/combo_fnt_material_017,gp,Remote_Skin_Material_2017
score_font,font/gameplay_score,gp,Remote_Skin_Material_2017
combo_tips_font,font/num_grade_material_017,gp,Remote_Skin_Material_2017
encourage_effect,effect/encourage_017,gp,Remote_Skin_Material_2017
combo_tips_effect,effect/comnb_017,gp,Remote_Skin_Material_2017
