_key,assetPath,platform,bundleName,fontLayout
block_1_normal,res/game_cube_1_material_4055,gp,Remote_Skin_Material_4055,
block_2_normal,res/game_cube_2_material_4055,gp,Remote_Skin_Material_4055,
block_3_normal,res/game_cube_1_material_4055,gp,Remote_Skin_Material_4055,
block_4_normal,res/game_cube_2_material_4055,gp,Remote_Skin_Material_4055,
block_5_normal,res/game_cube_1_material_4055,gp,Remote_Skin_Material_4055,
block_6_normal,res/game_cube_2_material_4055,gp,Remote_Skin_Material_4055,
block_7_normal,res/game_cube_1_material_4055,gp,Remote_Skin_Material_4055,
block_put_spine_effect,effect/gameplay_light_startBlock_055,gp,Remote_Skin_Material_4055,
block_shadow,res/game_cube_shadow_material_4055,gp,Remote_Skin_Material_4055,
board_bg,res/backgroundkuai-8x8_material_4055,gp,Remote_Skin_Material_4055,
combo_spine,effect/gameplay_combo_055,gp,Remote_Skin_Material_4055,
combo_spine_font,font/combo_fnt_material_4055,gp,Remote_Skin_Material_4055,"{""spacingX"": -10, ""fontSize"": 185, ""position"": {""x"": 40, ""y"": 0}, ""lineHeight"": 0}"
combo_spine_sprite,res/combo_txt_material_4055,gp,Remote_Skin_Material_4055,
combotips_spine_effect,effect/gameplay_comboTips_055,gp,Remote_Skin_Material_4055,
crown,res/backgroundscore_highest3_material_4055,gp,Remote_Skin_Material_4055,
eliminate_effect,effect/gameplay_eliminate_055,gp,Remote_Skin_Material_4055,
eliminate_prompt_effect,effect/gameplay_ready_eliminate_055,gp,Remote_Skin_Material_4055,
encourage_spine_effect,effect/gameplay_word_055,gp,Remote_Skin_Material_4055,
game_bg,res/backgroundbg_material_4055,gp,Remote_Skin_Material_4055,
revive_round_bg,res/die_quan_bg,gp,Remote_Skin_Material_4055,
revive_round_progress,res/die_quan,gp,Remote_Skin_Material_4055,
revive_spine_countdown,effect/revive_countdown_055,gp,Remote_Skin_Material_4055,
setting_bottom_btn_bg,res/common_btn_setting_android_4055,gp,Remote_Skin_Material_4055,
setting_btn,res/backgroundstop_material_4055,gp,Remote_Skin_Material_4055,
setting_close_btn,res/gameplay_steeings_btn_close_material_4055,gp,Remote_Skin_Material_4055,
setting_in_bg,res/gameplay_setting_frame2_material_4055,gp,Remote_Skin_Material_4055,
setting_line,res/gameplay_set_line_material_4055,gp,Remote_Skin_Material_4055,
setting_out_bg,res/gameplay_setting_frame1_material_4055,gp,Remote_Skin_Material_4055,
setting_title,res/gameplay_steeings_title_material_4055,gp,Remote_Skin_Material_4055,
spine_comboscoretip_font,font/Unbelievable_numb_material_4055,gp,Remote_Skin_Material_4055,"{""spacingX"": -10, ""fontSize"": 100, ""position"": {""x"": 0, ""y"": 0}, ""lineHeight"": 160}"
spine_highscore_font,font/typefacehigh_material_4055,gp,Remote_Skin_Material_4055,"{""spacingX"": -15, ""fontSize"": 86, ""position"": {""x"": 48, ""y"": -5}, ""lineHeight"": 20}"
spine_score_font,font/typeFaceCurrent_material_4055,gp,Remote_Skin_Material_4055,"{""spacingX"": -10, ""fontSize"": 115, ""position"": {""x"": 0, ""y"": -10}, ""lineHeight"": 20}"
unbelievable_spine_effect,effect/gameplay_clear_unbelievable_055,gp,Remote_Skin_Material_4055,
