_key,assetPath,platform,bundleName,backgroundType,spriteLayout,fontLayout
block_1_normal,res/common_game/game_cube_1_material_5006,gp,Remote_Skin_Material_5006,,,
block_2_normal,res/common_game/game_cube_2_material_5006,gp,Remote_Skin_Material_5006,,,
block_3_normal,res/common_game/game_cube_3_material_5006,gp,Remote_Skin_Material_5006,,,
block_4_normal,res/common_game/game_cube_4_material_5006,gp,Remote_Skin_Material_5006,,,
block_5_normal,res/common_game/game_cube_5_material_5006,gp,Remote_Skin_Material_5006,,,
block_6_normal,res/common_game/game_cube_6_material_5006,gp,Remote_Skin_Material_5006,,,
block_7_normal,res/common_game/game_cube_7_material_5006,gp,Remote_Skin_Material_5006,,,
block_shadow,res/common_game/game_cube_shadow_material_5006,gp,Remote_Skin_Material_5006,,,
board_bg,res/common_game/backgroundkuai-8x8_material_5006,gp,Remote_Skin_Material_5006,,,
chapter_block_1_normal,res/common_game/game_cube_1_material_5006,gp,Remote_Skin_Material_5006,,,
chapter_block_2_normal,res/common_game/game_cube_2_material_5006,gp,Remote_Skin_Material_5006,,,
chapter_block_3_normal,res/common_game/game_cube_3_material_5006,gp,Remote_Skin_Material_5006,,,
chapter_block_4_normal,res/common_game/game_cube_4_material_5006,gp,Remote_Skin_Material_5006,,,
chapter_block_5_normal,res/common_game/game_cube_5_material_5006,gp,Remote_Skin_Material_5006,,,
chapter_block_6_normal,res/common_game/game_cube_6_material_5006,gp,Remote_Skin_Material_5006,,,
chapter_block_7_normal,res/common_game/game_cube_7_material_5006,gp,Remote_Skin_Material_5006,,,
chapter_block_shadow,res/common_game/game_cube_shadow_material_5006,gp,Remote_Skin_Material_5006,,,
chapter_board_bg,res/common_game/backgroundkuai-8x8_material_5006,gp,Remote_Skin_Material_5006,,,
chapter_collect_fail_bg,mat/classfail_bg_5006,gp,Remote_Skin_Material_5006,gradient,,
chapter_collect_fail_bg1,,gp,Remote_Skin_Material_5006,,"{""opacity"": 0}",
chapter_collect_fail_collect_img,res/chapter/resultBest_collection_material_5006,gp,Remote_Skin_Material_5006,,"{""position"": {""x"": 0, ""y"": 160}}",
chapter_collect_fail_play_btn,res/chapter/btn_Retry_material_5006,gp,Remote_Skin_Material_5006,,,
chapter_collect_win_bg,mat/classwin_bg_5006,gp,Remote_Skin_Material_5006,gradient,,
chapter_collect_win_bg1,,gp,Remote_Skin_Material_5006,,"{""opacity"": 0}",
chapter_collect_win_collect_img,res/chapter/resultBest_collection_material_5006,gp,Remote_Skin_Material_5006,,"{""position"": {""x"": 0, ""y"": 180}}",
chapter_collect_win_effect_spine,effect/result_level_soClose_5006,gp,Remote_Skin_Material_5006,,,
chapter_collect_top_item_finish_spine,effect/gameplay_duigou_5006,gp,Remote_Skin_Material_5006,,,
chapter_collect_end_item_effect_spine,effect/result_level_gem_5006,gp,Remote_Skin_Material_5006,,,
chapter_collect_win_play_btn_continue,res/chapter/btn_Continue_material_5006,gp,Remote_Skin_Material_5006,,,
chapter_collect_win_play_btn_hard,res/chapter/btn_nextHardLevel_purple_material_5006,gp,Remote_Skin_Material_5006,,,
chapter_collect_win_play_btn_next,res/chapter/btn_NextLevel_material_5006,gp,Remote_Skin_Material_5006,,,
chapter_combo_spine,effect/gameplay_combo_5006_1,gp,Remote_Skin_Material_5006,,,
chapter_combo_spine_font,font/gameplay_combo_txt_material_5006,gp,Remote_Skin_Material_5006,,,"{""spacingX"": -70, ""fontSize"": 50, ""position"": {""x"": 10, ""y"": 0}, ""lineHeight"": 50}"
chapter_combo_spine_sprite,res/common_game/gameplay_combo_txt_material_5006,gp,Remote_Skin_Material_5006,,,
chapter_encourage_spine_effect,effect/gameplay_word_5006_1,gp,Remote_Skin_Material_5006,,,
chapter_game_bg,mat/game_bg_5006,gp,Remote_Skin_Material_5006,gradient,,
chapter_goal_bg,res/chapter/bg_Target_material_5006,gp,Remote_Skin_Material_5006,,,
chapter_goal_collect_way_title,res/chapter/txt_TargetCollection_material_5006,gp,Remote_Skin_Material_5006,,"{""position"": {""x"": 0, ""y"": 230}}",
chapter_goal_score_goal_score_bg,res/chapter/target_img_scoreBg_material_5006,gp,Remote_Skin_Material_5006,,"{""position"": {""x"": 0, ""y"": 25}}",
chapter_goal_score_goal_score_lb_font,font/bg_num_TargetScore,gp,Remote_Skin_Material_5006,,,"{""fontSize"": 100}"
chapter_goal_score_way_title,res/chapter/txt_Target_material_5006,gp,Remote_Skin_Material_5006,,"{""position"": {""x"": 0, ""y"": 230}}",
chapter_score_fail_bg,mat/classfail_bg_5006,gp,Remote_Skin_Material_5006,gradient,,
chapter_score_fail_bg1,,gp,Remote_Skin_Material_5006,,"{""opacity"": 0}",
