_key,spriteFrame,platform,bundleName
SetAddDefultSkinBtn,textures/SetAddDefultSkinBtnTrait/setting_btn_common_blue_android,gp,mainTraits
ClearScreenRelaxBg,textures/lightBg,ios,Remote_9723_f_clearScreenRelax
IosSetUpCheckClose,textures/iosSetUp/btn_SoundBg_Close,ios,
AddPlayReason,textures/loadingview_test,,Remote_addPlayReason
IosSetUpCheckOpen,textures/iosSetUp/btn_SoundBg_Open,ios,
IosSetUpCheckCloseUseSkin,textures/skin/setup/btn_SoundBg_Close,ios,
IosSetAddDefultSkinBtnTxt,textures/iosSetUp/btn_TxtSkin_EN_ios,ios,
IosSetAddDefultSkinBtn,textures/iosSetUp/btn_SetSkin_ios,ios,
IosSetAddDefultSkinIcon,textures/iosSetUp/icon_skin_ios,ios,
IosSetAddDefultSkinTxt,textures/iosSetUp/txt_Skin_EN_ios,ios,
IosSetAddShareBtn,textures/iosSetUp/btn_SetCommon,ios,
IosSetAddShareBtnTxt,textures/iosSetUp/btn_Share_EN,ios,
IosSetAddShareIcon,textures/iosSetUp/icon_Share,ios,
IosSetAddShareTxt,textures/iosSetUp/txt_ShareGame_EN,ios,
IosSetAddNextHardLevelEmpty,textures/win/trait/difficultChangeColorTrait/level_btn_nextHardLevelEmpty,ios,
IosSetAddNextLevelEmpty,textures/win/level_btn_nextLevelEmpty,ios,
GLMenuListNewGameIconFruit,textures/icon_fruitMerge,gp,GLMenuListNewGameIconTrait
GLMenuListNewGameIconMahjong,textures/icon_mahjong,gp,GLMenuListNewGameIconTrait
GLMenuListNewGameIconOnet,textures/icon_onet,gp,GLMenuListNewGameIconTrait
GLGameListUIAdaptButtonBg,textures/setting_btn_common,gp,GLGameListUIAdaptTrait
GLGameListUIAdaptGameIconBlockSlide,textures/icon_blockSlide,gp,GLGameListUIAdaptTrait
GLGameListUIAdaptGameIconFruitMerge,textures/icon_fruitMerge,gp,GLGameListUIAdaptTrait
GLGameListUIAdaptGameIconMahjong,textures/icon_mahjong,gp,GLGameListUIAdaptTrait
GLGameListUIAdaptGameIconOneLine,textures/icon_oneLine,gp,GLGameListUIAdaptTrait
GLGameListUIAdaptGameIconOnet,textures/icon_onet,gp,GLGameListUIAdaptTrait
GLGameListUIAdaptGameIconSudoku,textures/icon_sudoku,gp,GLGameListUIAdaptTrait
GLGameListUIAdaptGameIconTicTacToe,textures/icon_ticTacToe,gp,GLGameListUIAdaptTrait
GLGameListUIAdaptGameIconWaterSort,textures/icon_waterSort,gp,GLGameListUIAdaptTrait
