_key,condition,exclude_ids,features
1,[],[],"[{""id"": 328318005, ""feature_key"": ""long_term_color"", ""value"": [10000.0, 30000.0, 50000.0, 100000.0]}, {""id"": 328322001, ""feature_key"": ""roll_array"", ""value"": [1]}, {""id"": 328372001, ""feature_key"": ""sand_damp_percent"", ""value"": 100}, {""id"": 328373001, ""feature_key"": ""sand_damp_number_array"", ""value"": [10, 25]}, {""id"": 328316002, ""feature_key"": ""ad_interval_ingame"", ""value"": 180}, {""id"": 328356004, ""feature_key"": ""ad_interval_settle_with_ingame"", ""value"": 90}, {""id"": 328408001, ""feature_key"": ""ad_close_first_install_n_seconds"", ""value"": 300}, {""id"": 328317002, ""feature_key"": ""open_target_score"", ""value"": 2}, {""id"": 328457001, ""feature_key"": ""combo_score_display""}, {""id"": 328474002, ""feature_key"": ""sand_box_put_tolerance"", ""value"": 15}, {""id"": 328536001, ""feature_key"": ""sand_competitor_tutorial""}, {""id"": 328776001, ""feature_key"": ""sand_speed_upgrade_by_day"", ""value"": [2, 2, 1, 0.2, 3, 3]}, {""id"": 328523001, ""feature_key"": ""no_ad_ingame_round_n_offline_10min"", ""value"": 5}, {""id"": 328563001, ""feature_key"": ""sand_over_ui_light""}, {""id"": 328310024, ""feature_key"": ""sandalgoUnitID"", ""value"": 24}, {""id"": 328314011, ""feature_key"": ""triggeralgoUnitID"", ""value"": 31}, {""id"": 328312002, ""feature_key"": ""scorerateUnitID"", ""value"": 2}, {""id"": 328300001, ""feature_key"": ""sand_feat_skin"", ""value"": 2}, {""id"": 328598001, ""feature_key"": ""BlockSandIsMiniMix""}, {""id"": 328330001, ""feature_key"": ""sandcrushopen""}, {""id"": 329470001, ""feature_key"": ""GLAddGameNoticeShowTime"", ""delayTime"": 1000.0}]"
2,[],"[140000001, 55500001, 40100001, 52000001]","[{""id"": 328045001, ""feature_key"": ""skinUGC"", ""style"": 1}, {""id"": 328055002, ""feature_key"": ""skinUGCNum"", ""num"": 15}, {""id"": 327987001, ""feature_key"": ""skinRandom"", ""skinPoolPath"": ""RandomSkinPool""}, {""id"": 328039001, ""feature_key"": ""CleanSceneRandomSkin""}, {""id"": 328088001, ""feature_key"": ""isOpenChangeSkin""}, {""id"": 328261001, ""feature_key"": ""UGCDefultUseRandomSkin""}, {""id"": 328294001, ""feature_key"": ""skinUGCEditBack""}]"
3,[],"[55500001, 52000001]","[{""id"": 328045002, ""feature_key"": ""skinUGC"", ""style"": 2}, {""id"": 328055002, ""feature_key"": ""skinUGCNum"", ""num"": 15}, {""id"": 328092001, ""feature_key"": ""skinUGCUseBtn""}, {""id"": 328269001, ""feature_key"": ""PresetUgcSkin"", ""num"": 3}, {""id"": 328294001, ""feature_key"": ""skinUGCEditBack""}, {""id"": 328088001, ""feature_key"": ""isOpenChangeSkin""}]"
4,[],"[55500001, 52000001]","[{""id"": 328045002, ""feature_key"": ""skinUGC"", ""style"": 2}, {""id"": 328055002, ""feature_key"": ""skinUGCNum"", ""num"": 15}, {""id"": 328092001, ""feature_key"": ""skinUGCUseBtn""}, {""id"": 328269002, ""feature_key"": ""PresetUgcSkin"", ""num"": 5}, {""id"": 328294001, ""feature_key"": ""skinUGCEditBack""}, {""id"": 328088001, ""feature_key"": ""isOpenChangeSkin""}]"
5,[],"[140000001, 55500001, 40100001, 52000001]","[{""id"": 327985015, ""feature_key"": ""skinSwitch"", ""entry"": [0, 1], ""tutorial"": 0, ""skinPoolPath"": ""defultSkinPool_allUnLock""}, {""id"": 327992001, ""feature_key"": ""SwitchSkinNoLoading""}, {""id"": 328033001, ""feature_key"": ""SkinSwitchNoName""}, {""id"": 328088001, ""feature_key"": ""isOpenChangeSkin""}]"
6,[],"[18326002, 18365003, 18353002, 18356002]","[{""id"": 18344001, ""value"": 8}, {""id"": 18384001, ""value"": 100}, {""id"": 18383001, ""value"": [10, 25]}, {""id"": 18368003, ""value"": 180}, {""id"": 18382001, ""value"": 90}, {""id"": 18362003, ""value"": [1]}, {""id"": 18331003, ""value"": 3}, {""id"": 18338001, ""value"": 1}, {""id"": 18348001}, {""id"": 18369003, ""value"": 2}, {""id"": 18326005, ""value"": 4}, {""id"": 18365001, ""value"": [10000.0, 30000.0, 50000.0, 100000.0]}, {""id"": 18341001}, {""id"": 18353001, ""value"": 3}, {""id"": 18356001, ""value"": 3}, {""id"": 18349001}, {""id"": 18386001, ""isStop"": 1}]"
7,[],[],"[{""id"": 18605001}, {""id"": 18516001}, {""id"": 18518001}, {""id"": 18519001, ""firing"": 1, ""showAdsTime"": 2}, {""id"": 18750001}, {""id"": 18522001}, {""id"": 18523001}, {""id"": 18603002}]"
8,[],[],"[{""id"": 18605001}, {""id"": 18516001}, {""id"": 18518001}, {""id"": 18519001, ""firing"": 1, ""showAdsTime"": 2}, {""id"": 18750001}, {""id"": 18522001}, {""id"": 18523001}, {""id"": 18603002}, {""id"": 18344001, ""value"": 8}, {""id"": 18384001, ""value"": 100}, {""id"": 18383001, ""value"": [10, 25]}, {""id"": 18368003, ""value"": 180}, {""id"": 18382001, ""value"": 90}, {""id"": 18362003, ""value"": [1]}, {""id"": 18331003, ""value"": 3}, {""id"": 18338001, ""value"": 1}, {""id"": 18348001}, {""id"": 18369003, ""value"": 2}, {""id"": 18326005, ""value"": 4}, {""id"": 18365001, ""value"": [10000.0, 30000.0, 50000.0, 100000.0]}, {""id"": 18341001}, {""id"": 18353001, ""value"": 3}, {""id"": 18356001, ""value"": 3}, {""id"": 18349001}, {""id"": 18386001, ""isStop"": 1}, {""id"": 18767001}]"
9,[],"[10120001, 9450006, 7350001, 768001, 17768001, 9810001, 652001, 970001, 11180001, 942001, 11260001, 18045001, 17924001, 993001]","[{""id"": 18268002, ""style"": 1}, {""id"": 18269002, ""num"": 15}, {""id"": 18240003, ""skinPoolPath"": ""RandomSkinPool""}, {""id"": 18248001}, {""id"": 18260001}, {""id"": 18242001}, {""id"": 18264001}, {""id"": 18144001, ""firing"": 1}]"
10,[],"[10120001, 9450006, 7350001, 768001, 17768001, 9810001, 652001, 970001, 11180001, 942001, 11260001, 18045001, 17924001, 993001]","[{""id"": 18238003, ""entry"": [0, 1], ""tutorial"": 0, ""skinPoolPath"": ""defultSkinPool_allUnLock""}, {""id"": 18263001}, {""id"": 18236001}, {""id"": 18260001}, {""id"": 18144001, ""firing"": 1}]"
