id,width,height,shape,border,count,info,offsetCol,entroy,blockBox,blockBit
1,1,1,[1],4,1,[[1]],0,0,1,"[1, 1]"
2,1,2,"[1, 1]",6,2,"[[1], [1]]",0,0,2,"[1, 2]"
3,2,1,[3],6,2,"[[1, 1]]",0,0,2,"[2, 1]"
4,1,3,"[1, 1, 1]",8,3,"[[1], [1], [1]]",0,0,3,"[1, 3]"
5,3,1,[7],8,3,"[[1, 1, 1]]",0,0,3,"[3, 1]"
6,2,2,"[3, 2]",8,3,"[[1, 1], [1, 0]]",0,0.4,4,"[2, 2]"
7,1,4,"[1, 1, 1, 1]",10,4,"[[1], [1], [1], [1]]",0,0,4,"[1, 4]"
8,3,2,"[4, 7]",10,4,"[[1, 0, 0], [1, 1, 1]]",0,0.8,6,"[3, 2]"
9,2,2,"[3, 3]",8,4,"[[1, 1], [1, 1]]",0,0,4,"[2, 2]"
10,3,2,"[2, 7]",10,4,"[[0, 1, 0], [1, 1, 1]]",1,0.8,6,"[3, 2]"
11,5,1,[31],12,5,"[[1, 1, 1, 1, 1]]",0,0,5,"[5, 1]"
12,3,3,"[7, 1, 1]",12,5,"[[1, 1, 1], [0, 0, 1], [0, 0, 1]]",0,1.3,9,"[3, 3]"
13,3,3,"[7, 7, 7]",12,9,"[[1, 1, 1], [1, 1, 1], [1, 1, 1]]",0,0,9,"[3, 3]"
14,3,2,"[3, 6]",10,4,"[[0, 1, 1], [1, 1, 0]]",1,0.8,6,"[3, 2]"
15,2,2,"[3, 1]",8,3,"[[1, 1], [0, 1]]",0,0.4,4,"[2, 2]"
16,2,3,"[2, 3, 1]",10,4,"[[1, 0], [1, 1], [0, 1]]",0,0.8,6,"[2, 3]"
17,4,1,[15],10,4,"[[1, 1, 1, 1]]",0,0,4,"[4, 1]"
18,3,2,"[6, 3]",10,4,"[[1, 1, 0], [0, 1, 1]]",0,0.8,6,"[3, 2]"
19,2,3,"[1, 3, 2]",10,4,"[[0, 1], [1, 1], [1, 0]]",1,0.8,6,"[2, 3]"
20,2,3,"[2, 3, 2]",10,4,"[[1, 0], [1, 1], [1, 0]]",0,0.8,6,"[2, 3]"
21,3,3,"[7, 4, 4]",12,5,"[[1, 1, 1], [1, 0, 0], [1, 0, 0]]",0,1.3,9,"[3, 3]"
22,1,5,"[1, 1, 1, 1, 1]",12,5,"[[1], [1], [1], [1], [1]]",0,0,5,"[1, 5]"
23,3,3,"[4, 4, 7]",12,5,"[[1, 0, 0], [1, 0, 0], [1, 1, 1]]",0,1.3,9,"[3, 3]"
24,3,3,"[1, 1, 7]",12,5,"[[0, 0, 1], [0, 0, 1], [1, 1, 1]]",2,1.3,9,"[3, 3]"
25,2,3,"[1, 3, 1]",10,4,"[[0, 1], [1, 1], [0, 1]]",1,0.8,6,"[2, 3]"
26,3,2,"[7, 2]",10,4,"[[1, 1, 1], [0, 1, 0]]",0,0.8,6,"[3, 2]"
27,2,2,"[2, 3]",8,3,"[[1, 0], [1, 1]]",0,0.4,4,"[2, 2]"
28,2,2,"[1, 3]",8,3,"[[0, 1], [1, 1]]",1,0.4,4,"[2, 2]"
29,2,3,"[1, 1, 3]",10,4,"[[0, 1], [0, 1], [1, 1]]",1,0.8,6,"[2, 3]"
30,3,2,"[7, 1]",10,4,"[[1, 1, 1], [0, 0, 1]]",0,0.8,6,"[3, 2]"
31,2,3,"[3, 2, 2]",10,4,"[[1, 1], [1, 0], [1, 0]]",0,0.8,6,"[2, 3]"
32,2,3,"[3, 1, 1]",10,4,"[[1, 1], [0, 1], [0, 1]]",0,0.8,6,"[2, 3]"
33,3,2,"[1, 7]",10,4,"[[0, 0, 1], [1, 1, 1]]",2,0.8,6,"[3, 2]"
34,3,2,"[7, 4]",10,4,"[[1, 1, 1], [1, 0, 0]]",0,0.8,6,"[3, 2]"
35,3,2,"[7, 7]",10,6,"[[1, 1, 1], [1, 1, 1]]",0,0,6,"[3, 2]"
36,2,3,"[3, 3, 3]",10,6,"[[1, 1], [1, 1], [1, 1]]",0,0,6,"[2, 3]"
37,2,2,"[2, 1]",8,2,"[[1, 0], [0, 1]]",0,0.6,4,"[2, 2]"
38,2,2,"[1, 2]",8,2,"[[0, 1], [1, 0]]",1,0.6,4,"[2, 2]"
39,3,3,"[4, 2, 1]",12,3,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",0,1.2,9,"[3, 3]"
40,3,3,"[1, 2, 4]",12,3,"[[0, 0, 1], [0, 1, 0], [1, 0, 0]]",2,1.2,9,"[3, 3]"
