id,pos,borderNum,border,ratio
1,"[[{""x"": 0, ""y"": -1}], [{""x"": 1, ""y"": 0}], [{""x"": 0, ""y"": 1}], [{""x"": -1, ""y"": 0}]]",4,"[1111, 111, 11, 101, 1011, 1101, 1110, 1010, 110, 1100, 1001, 1, 100, 10, 1000.0, 0]","[1, 2, 4, 3, 2, 2, 2, 3, 4, 4, 4, 7, 7, 7, 7, 7]"
2,"[[{""x"": 0, ""y"": -1}], [{""x"": 1, ""y"": 0}, {""x"": 1, ""y"": 1}], [{""x"": 0, ""y"": 2}], [{""x"": -1, ""y"": 0}, {""x"": -1, ""y"": 1}]]",6,"[111, 1111, 1110, 1101, 101, 11, 1011, 110, 1010, 1100, 1001, 100, 1, 10, 1000.0, 0]","[2, 1, 2, 2, 3, 5, 2, 5, 3, 5, 7, 6, 6, 6, 6, 7]"
3,"[[{""x"": 0, ""y"": -1}, {""x"": 1, ""y"": -1}], [{""x"": 2, ""y"": 0}], [{""x"": 0, ""y"": 1}, {""x"": 1, ""y"": 1}], [{""x"": -1, ""y"": 0}]]",6,"[1111, 111, 1110, 101, 1011, 1101, 1010, 11, 110, 1100, 1001, 10, 1000.0, 1, 100, 0]","[1, 2, 2, 3, 2, 2, 3, 5, 5, 5, 7, 6, 6, 6, 6, 7]"
4,"[[{""x"": 0, ""y"": -1}], [{""x"": 1, ""y"": 0}, {""x"": 1, ""y"": 1}, {""x"": 1, ""y"": 2}], [{""x"": 0, ""y"": 3}], [{""x"": -1, ""y"": 0}, {""x"": -1, ""y"": 1}, {""x"": -1, ""y"": 2}]]",8,"[111, 1101, 1111, 11, 1110, 101, 110, 1011, 1100, 1001, 1010, 1, 100, 10, 1000.0, 0]","[2, 2, 1, 7, 2, 3, 7, 2, 7, 7, 3, 6, 6, 7, 7, 7]"
5,"[[{""x"": 0, ""y"": -1}, {""x"": 1, ""y"": -1}, {""x"": 2, ""y"": -1}], [{""x"": 3, ""y"": 0}], [{""x"": 0, ""y"": 1}, {""x"": 1, ""y"": 1}, {""x"": 2, ""y"": 1}], [{""x"": -1, ""y"": 0}]]",8,"[1110, 11, 111, 1011, 110, 1111, 1101, 101, 1100, 1001, 1010, 10, 1, 1000.0, 100, 0]","[2, 7, 2, 2, 7, 1, 2, 3, 7, 7, 3, 6, 7, 6, 7, 7]"
6,"[[{""x"": 0, ""y"": -1}, {""x"": 1, ""y"": -1}], [{""x"": 2, ""y"": 0}], [{""x"": 1, ""y"": 1}], [{""x"": 0, ""y"": 2}], [{""x"": -1, ""y"": 0}, {""x"": -1, ""y"": 1}]]",8,"[11, 10001, 111, 110, 101, 11100, 1101, 11001, 11000.0, 1111, 11101, 100, 1100, 10011, 10111, 1001, 10100, 1110, 10101, 11111, 10110, 11110, 1011, 11010, 10010, 11011, 1, 1010, 10, 1000.0, 10000.0, 0]","[5, 7, 7, 5, 7, 7, 3, 7, 5, 2, 2, 6, 5, 7, 2, 7, 7, 4, 7, 1, 3, 2, 7, 7, 7, 2, 6, 7, 6, 6, 6, 7]"
7,"[[{""x"": 0, ""y"": -1}], [{""x"": 1, ""y"": 0}, {""x"": 1, ""y"": 1}, {""x"": 1, ""y"": 2}, {""x"": 1, ""y"": 3}], [{""x"": 0, ""y"": 4}], [{""x"": -1, ""y"": 0}, {""x"": -1, ""y"": 1}, {""x"": -1, ""y"": 2}, {""x"": -1, ""y"": 3}]]",10,"[11, 110, 111, 1100, 1101, 1001, 1110, 1011, 1111, 1010, 101, 10, 1, 100, 1000.0, 0]","[5, 5, 2, 5, 2, 7, 2, 2, 1, 3, 3, 6, 6, 6, 6, 7]"
8,"[[{""x"": 0, ""y"": -1}], [{""x"": 1, ""y"": 0}, {""x"": 2, ""y"": 0}], [{""x"": 3, ""y"": 1}], [{""x"": 0, ""y"": 2}, {""x"": 1, ""y"": 2}, {""x"": 2, ""y"": 2}], [{""x"": -1, ""y"": 0}, {""x"": -1, ""y"": 1}]]",10,"[11, 111, 110, 1010, 1001, 1011, 10011, 1000.0, 10001, 1100, 101, 11000.0, 11100, 1110, 11010, 1101, 1111, 11001, 11011, 10101, 1, 11101, 11110, 10010, 10110, 10, 10111, 11111, 100, 10100, 10000.0, 0]","[5, 7, 5, 7, 7, 7, 7, 6, 7, 5, 7, 5, 4, 7, 3, 3, 2, 7, 2, 7, 6, 2, 2, 7, 7, 6, 2, 1, 6, 7, 6, 7]"
9,"[[{""x"": 0, ""y"": -1}, {""x"": 1, ""y"": -1}], [{""x"": 2, ""y"": 0}, {""x"": 2, ""y"": 1}], [{""x"": 0, ""y"": 2}, {""x"": 1, ""y"": 2}], [{""x"": -1, ""y"": 0}, {""x"": -1, ""y"": 1}]]",8,"[11, 1110, 111, 110, 1111, 1101, 1100, 1011, 101, 1010, 1001, 10, 1, 100, 1000.0, 0]","[5, 2, 2, 5, 1, 2, 5, 2, 3, 3, 7, 6, 6, 6, 6, 7]"
10,"[[{""x"": 0, ""y"": -1}], [{""x"": 1, ""y"": 0}], [{""x"": 2, ""y"": 1}], [{""x"": -1, ""y"": 2}, {""x"": 0, ""y"": 2}, {""x"": 1, ""y"": 2}], [{""x"": -2, ""y"": 1}], [{""x"": -1, ""y"": 0}]]",10,"[110, 1110, 1100, 1010, 101100, 100110, 111, 10100, 100100, 10101, 101, 101010, 11100, 101110, 10001, 11000.0, 110000.0, 10000.0, 11, 110001, 10010, 110101, 100001, 10110, 110100, 100, 100101, 1, 11010, 1101, 1111, 100010, 11110, 1011, 1001, 11101, 101000.0, 10111, 100011, 111000.0, 10, 11001, 10011, 111101, 11111, 110010, 101001, 101101, 1000.0, 111100, 100111, 110111, 100000.0, 111001, 11011, 110110, 101011, 110011, 101111, 111111, 111010, 111011, 111110, 0]","[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 4, 7, 7, 7, 2, 2, 7, 7, 7, 7, 7, 7, 2, 7, 7, 3, 7, 7, 7, 2, 1, 7, 2, 2, 7]"
